"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","back","targ","resp"
"1550","key"," "," ","16.666","500","250","psychophysics","0","1558","0.0-0.0","6","27","","",""
"2806","key"," "," ","16.666000000000004","500","250","psychophysics","1","4367","0.0-1.0","6","27","","",""
"null","key","null","null","16.666000000000007","500","250","psychophysics","2","6171","0.0-2.0","6","27","","",""
"5445","key"," "," ","16.66885582822086","500","250","psychophysics","3","11627","0.0-3.0","6","27","","",""
"3270","key"," "," ","16.666","500","250","psychophysics","4","14902","0.0-4.0","6","27","","",""
"7023","key"," "," ","16.668209523809526","500","250","psychophysics","5","21927","0.0-5.0","6","27","","",""
"9064","key"," "," ","16.667709023941065","500","250","psychophysics","6","30993","0.0-6.0","6","27","0","0.2","0.3799999999999999"
"2752","key"," "," ","16.665999999999997","500","250","psychophysics","7","33749","0.0-7.0","6","27","","",""
"4706","key"," "," ","16.669290780141864","500","250","psychophysics","8","38466","0.0-8.0","6","27","","",""
"5079","key"," "," ","16.666","500","250","psychophysics","9","43548","0.0-9.0","6","27","0","0.8","0.8300000000000003"
"1017","key"," "," ","16.665999999999986","500","250","psychophysics","10","44568","0.0-10.0","6","27","","",""
"3893","key"," "," ","16.669982832618025","500","250","psychophysics","11","48472","0.0-11.0","6","27","0","0.78","0.8300000000000003"
"3419","key"," "," ","16.666000000000007","500","250","psychophysics","12","51895","0.0-12.0","6","27","0","0.6","0.6500000000000001"
"3726","key"," "," ","16.666000000000018","500","250","psychophysics","13","55626","0.0-13.0","6","27","0","0.72","0.8000000000000003"
"5146","key"," "," ","16.668568181818188","500","250","psychophysics","14","60777","0.0-14.0","6","27","1","0.7","0.6800000000000002"
"4436","key"," "," ","16.665999999999983","500","250","psychophysics","15","65217","0.0-15.0","6","27","0","0.24","0.4099999999999999"
"3254","key"," "," ","16.6706546391752","500","250","psychophysics","16","68476","0.0-16.0","6","27","1","0.36","0.47"
"3685","key"," "," ","16.66599999999994","500","250","psychophysics","17","72166","0.0-17.0","6","27","1","0.64","0.6500000000000001"
"3631","key"," "," ","16.665999999999986","500","250","psychophysics","18","75800","0.0-18.0","6","27","0","0.6","0.6800000000000002"
"3320","key"," "," ","16.670560606060572","500","250","psychophysics","19","79124","0.0-19.0","6","27","1","0.56","0.5"
"3697","key"," "," ","16.66599999999994","500","250","psychophysics","20","82824","0.0-20.0","6","27","0","0.54","0.53"
"4544","key"," "," ","16.666000000000007","500","250","psychophysics","21","87373","0.0-21.0","6","27","1","0.7","0.7400000000000002"
"2546","key"," "," ","16.67194078947365","500","250","psychophysics","22","89924","0.0-22.0","6","27","0","0.5","0.5900000000000001"
"3798","key"," "," ","16.666000000000004","500","250","psychophysics","23","93726","0.0-23.0","6","27","0","0.74","0.8300000000000003"
"3703","key"," "," ","16.665999999999997","500","250","psychophysics","24","97444","0.0-24.0","6","27","1","0.8","0.8900000000000003"
"3004","key"," "," ","16.67101666666664","500","250","psychophysics","25","100452","0.0-25.0","6","27","0","0.52","0.6200000000000001"
"2845","key"," "," ","16.666000000000007","500","250","psychophysics","26","103301","0.0-26.0","6","27","1","0.28","0.3799999999999999"
"2529","key"," "," ","16.66600000000004","500","250","psychophysics","27","105834","0.0-27.0","6","27","1","0.32","0.4099999999999999"
"3662","key"," "," ","16.670123287671224","500","250","psychophysics","28","109499","0.0-28.0","6","27","0","0.34","0.5"
"3364","key"," "," ","16.666000000000047","500","250","psychophysics","29","112866","0.0-29.0","6","27","0","0.72","0.7100000000000002"
"3897","key"," "," ","16.666","500","250","psychophysics","30","116766","0.0-30.0","6","27","0","0.4","0.6200000000000001"
"3782","key"," "," ","16.669995575221215","500","250","psychophysics","31","120551","0.0-31.0","6","27","0","0.7","0.8300000000000003"
"3613","key"," "," ","16.666","500","250","psychophysics","32","124168","0.0-32.0","6","27","0","0.74","0.7400000000000002"
"2635","key"," "," ","16.66599999999994","500","250","psychophysics","33","126808","0.0-33.0","6","27","0","0.34","0.43999999999999995"
"3165","key"," "," ","16.67077777777771","500","250","psychophysics","34","129978","0.0-34.0","6","27","1","0.68","0.7400000000000002"
"3284","key"," "," ","16.6660000000001","500","250","psychophysics","35","133267","0.0-35.0","6","27","1","0.68","0.6800000000000002"
"3388","key"," "," ","16.666000000000032","500","250","psychophysics","36","136658","0.0-36.0","6","27","1","0.74","0.8000000000000003"
"2688","key"," "," ","16.67160869565209","500","250","psychophysics","37","139350","0.0-37.0","6","27","1","0.46","0.5"
"3539","key"," "," ","16.66600000000006","500","250","psychophysics","38","142893","0.0-38.0","6","27","0","0.7","0.8300000000000003"
"3427","key"," "," ","16.665999999999993","500","250","psychophysics","39","146324","0.0-39.0","6","27","0","0.34","0.47"
"2305","key"," "," ","16.672543478260774","500","250","psychophysics","40","148634","0.0-40.0","6","27","0","0.36","0.5"
