"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","23643","0.0-0.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","","","","","","","","","","","","","","",""
"true","preload","1","23647","0.0-1.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","28052","0.0-2.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","4363","key"," "," ","18.034717213114746","500","250","inst","","","","","","",""
"","psychophysics","3","29605","0.0-3.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","1549","key"," "," ","16.660760869565227","500","250","inst","","","","","","",""
"","psychophysics","4","55499","0.0-4.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","25890","key"," "," ","16.7323257918552","500","250","instMl","168","-28","-5","9","-22","",""
"","psychophysics","5","76906","0.0-5.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","21403","key"," "," ","16.66749883086516","500","250","instMl","168","-28","21","27","-23","",""
"","psychophysics","6","81572","0.0-6.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","4662","key"," "," ","16.668032258064496","500","250","inst","","","","","","",""
"","psychophysics","7","95029","0.0-7.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","13451","key"," "," ","16.667704714640216","500","250","ml","216","43","-11","21","-18","",""
"","psychophysics","8","100261","0.0-8.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","5223","key"," "," ","16.66827476038338","500","250","ml","228","-25","-7","-16","-23","",""
"","psychophysics","9","111516","0.0-9.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","11248","key"," "," ","16.66795400593472","500","250","ml","218","47","-1","-5","-17","",""
"","psychophysics","10","121424","0.0-10.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","9887","key"," "," ","16.667767676767692","500","250","ml","156","24","-21","-3","-13","",""
"","psychophysics","11","131216","0.0-11.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","9765","key"," "," ","16.66789078498292","500","250","ml","182","13","28","16","-15","",""
"","psychophysics","12","139060","0.0-12.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","7837","key"," "," ","16.667687234042543","500","250","ml","164","-16","19","-14","-12","",""
"","psychophysics","13","147380","0.0-13.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","8308","key"," "," ","16.668098393574276","500","250","ml","174","15","-11","21","-11","",""
"","psychophysics","14","153834","0.0-14.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","6451","key"," "," ","16.667585492227964","500","250","ml","234","-6","-6","-26","-14","",""
"","psychophysics","15","158846","0.0-15.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","5003","key"," "," ","16.668073333333304","500","250","ml","172","-15","-13","25","-12","",""
"","psychophysics","16","164865","0.0-16.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","6015","key"," "," ","16.668286111111147","500","250","ml","206","8","-7","-11","-14","",""
"","psychophysics","17","167848","0.0-17.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","2980","key"," "," ","16.667202247191106","500","250","ml","190","-21","-1","-26","-19","",""
"","psychophysics","18","174644","0.0-18.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","6793","key"," "," ","16.667825552825608","500","250","ml","190","3","-20","30","-12","",""
"","psychophysics","19","181231","0.0-19.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","6583","key"," "," ","16.66767258883255","500","250","ml","214","-2","-7","11","-12","",""
"","psychophysics","20","187728","0.0-20.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","6493","key"," "," ","16.667498714652897","500","250","ml","196","-6","-4","-28","-15","",""
"","psychophysics","21","197232","0.0-21.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","9501","key"," "," ","16.66758875219685","500","250","ml","202","50","-29","-7","-10","",""
"","psychophysics","22","198842","0.0-22.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","1606","key"," "," ","16.66819791666664","500","250","inst","","","","","","",""
"","psychophysics","23","217872","0.0-23.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","19023","key"," "," ","16.667814912280708","500","250","instPog","","","","","130","130",""
"","psychophysics","24","228376","0.0-24.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","10498","key"," "," ","16.667838095238114","500","250","instPog","","","","","141","130",""
"","psychophysics","25","234159","0.0-25.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","5780","key"," "," ","16.66767826086953","500","250","instPog","","","","","160","130",""
"","psychophysics","26","236822","0.0-26.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","2657","key"," "," ","16.667704402515774","500","250","inst","","","","","","",""
"","psychophysics","27","244056","0.0-27.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","7227","key"," "," ","16.668595842956204","500","250","pog","","","","","158","135",""
"","psychophysics","28","256445","0.0-28.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","12381","key"," "," ","16.667197846567973","500","250","pog","","","","","176","152",""
"","psychophysics","29","263688","0.0-29.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","7241","key"," "," ","16.669226327944493","500","250","pog","","","","","197","173",""
"","psychophysics","30","270212","0.0-30.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","6521","key"," "," ","16.667156010230197","500","250","pog","","","","","182","159",""
"","psychophysics","31","276459","0.0-31.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","6244","key"," "," ","16.668415549597746","500","250","pog","","","","","199","168",""
"","psychophysics","32","281597","0.0-32.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","5131","key"," "," ","16.668149350649283","500","250","pog","","","","","185","156",""
"","psychophysics","33","285393","0.0-33.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","3793","key"," "," ","16.66850442477874","500","250","pog","","","","","180","151",""
"","psychophysics","34","290155","0.0-34.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","4757","key"," "," ","16.667912280701895","500","250","pog","","","","","193","170",""
"","psychophysics","35","296614","0.0-35.0","57581be800ca3200072679b3","625757b0db950a57cc6dead1","","","","","6456","key"," "," ","16.667343669250613","500","250","pog","","","","","148","120",""
