"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","6617","0.0-0.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","","","","","","","","","","","","","","",""
"true","preload","1","6619","0.0-1.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","21871","0.0-2.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","15237","key"," "," ","8.338465281574631","499.84","249.92","inst","","","","","","",""
"","psychophysics","3","24246","0.0-3.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","2372","key"," "," ","8.33386619718311","499.84","249.92","inst","","","","","","",""
"","psychophysics","4","49494","0.0-4.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","25245","key"," "," ","8.333923051519154","499.84","249.92","instMl","172","-28.666666666666668","-29","24","-11.666666666666686","",""
"","psychophysics","5","66646","0.0-5.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","17147","key"," "," ","8.333627126883812","499.84","249.92","instMl","226","-37.666666666666664","-1","12","-11.666666666666686","",""
"","psychophysics","6","89438","0.0-6.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","22786","key"," "," ","8.333905632772495","499.84","249.92","inst","","","","","","",""
"","psychophysics","7","96150","0.0-7.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","6710","key"," "," ","8.333908074534145","499.84","249.92","ml","186","-23","-28","-14","-16","",""
"","psychophysics","8","104566","0.0-8.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","8413","key"," "," ","8.333924603174609","499.84","249.92","ml","162","13","-1","29","-16","",""
"","psychophysics","9","113389","0.0-9.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","8822","key"," "," ","8.333919659735347","499.84","249.92","ml","184","36","-3","-2","-11","",""
"","psychophysics","10","120245","0.0-10.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","6853","key"," "," ","8.333883211678838","499.84","249.92","ml","228","24","-26","-1","-14","",""
"","psychophysics","11","124510","0.0-11.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","4262","key"," "," ","8.33389628180039","499.84","249.92","ml","170","15","19","22","-17","",""
"","psychophysics","12","128589","0.0-12.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","4076","key"," "," ","8.333807377049183","499.84","249.92","ml","220","32","-2","-13","-13","",""
"","psychophysics","13","134821","0.0-13.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","6230","key"," "," ","8.333919678714853","499.84","249.92","ml","250","-37","-5","-22","-15","",""
"","psychophysics","14","140677","0.0-14.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","5854","key"," "," ","8.333905982905986","499.84","249.92","ml","208","33","7","-13","-15","",""
"","psychophysics","15","149565","0.0-15.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","8885","key"," "," ","8.333908920187804","499.84","249.92","ml","212","36","19","-6","-14","",""
"","psychophysics","16","156925","0.0-16.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","7358","key"," "," ","8.333895691609992","499.84","249.92","ml","176","5","-17","3","-10","",""
"","psychophysics","17","160893","0.0-17.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","3965","key"," "," ","8.333957894736852","499.84","249.92","ml","194","-26","-9","28","-15","",""
"","psychophysics","18","175278","0.0-18.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","14382","key"," "," ","8.333914202898555","499.84","249.92","ml","250","34","25","-13","-14","",""
"","psychophysics","19","179478","0.0-19.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","4197","key"," "," ","8.333908548707706","499.84","249.92","ml","184","9","20","21","-13","",""
"","psychophysics","20","184662","0.0-20.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","5182","key"," "," ","8.333916264090167","499.84","249.92","ml","188","26","-9","24","-12","",""
"","psychophysics","21","194774","0.0-21.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","10110","key"," "," ","8.333915910964558","499.84","249.92","ml","154","-8","-25","-19","-10","",""
"","psychophysics","22","197726","0.0-22.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","2950","key"," "," ","8.333912181303155","499.84","249.92","inst","","","","","","",""
"","psychophysics","23","221926","0.0-23.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","24197","key"," "," ","8.333905959352393","499.84","249.92","instPog","","","","","130","130",""
"","psychophysics","24","228334","0.0-24.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","6406","key"," "," ","8.33390755208336","499.84","249.92","instPog","","","","","141","130",""
"","psychophysics","25","280941","0.0-25.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","52605","key"," "," ","8.333916495008717","499.84","249.92","instPog","","","","","130","130",""
"","psychophysics","26","282709","0.0-26.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","1766","key"," "," ","8.333777251184953","499.84","249.92","inst","","","","","","",""
"","psychophysics","27","296222","0.0-27.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","13510","key"," "," ","8.333911165946958","499.84","249.92","pog","","","","","188","186",""
"","psychophysics","28","307998","0.0-28.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","11773","key"," "," ","8.333919263456094","499.84","249.92","pog","","","","","128","125",""
"","psychophysics","29","314774","0.0-29.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","6773","key"," "," ","8.333918719211814","499.84","249.92","pog","","","","","134","122",""
"","psychophysics","30","326022","0.0-30.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","11245","key"," "," ","8.333895400593482","499.84","249.92","pog","","","","","179","175",""
"","psychophysics","31","339638","0.0-31.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","13615","key"," "," ","8.33393631353339","499.84","249.92","pog","","","","","157","158",""
"","psychophysics","32","356903","0.0-32.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","17262","key"," "," ","8.333897151134712","499.84","249.92","pog","","","","","139","138",""
"","psychophysics","33","370711","0.0-33.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","13805","key"," "," ","8.333909365558945","499.84","249.92","pog","","","","","162","166",""
"","psychophysics","34","388031","0.0-34.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","17319","key"," "," ","8.333928777670828","499.84","249.92","pog","","","","","125","123",""
"","psychophysics","35","405726","0.0-35.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","17692","key"," "," ","8.333901979264835","499.84","249.92","pog","","","","","166","170",""
"","psychophysics","36","424126","0.0-36.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","18398","key"," "," ","8.333913910285444","499.84","249.92","pog","","","","","179","178",""
"","psychophysics","37","436294","0.0-37.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","12166","key"," "," ","8.333886223440722","499.84","249.92","pog","","","","","182","186",""
"","psychophysics","38","448414","0.0-38.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","12116","key"," "," ","8.333906400550564","499.84","249.92","pog","","","","","140","137",""
"","psychophysics","39","458334","0.0-39.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","9918","key"," "," ","8.333936974789923","499.84","249.92","pog","","","","","148","134",""
"","psychophysics","40","472126","0.0-40.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","13789","key"," "," ","8.333914147521158","499.84","249.92","pog","","","","","140","141",""
"","psychophysics","41","477982","0.0-41.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","5853","key"," "," ","8.333967189729007","499.84","249.92","pog","","","","","134","130",""
"","psychophysics","42","480927","0.0-42.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","2943","key"," "," ","8.333898016997276","499.84","249.92","inst","","","","","","",""
"","psychophysics","43","497574","0.0-43.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","16646","key"," "," ","8.333896793587167","499.84","249.92","instTilt","","","","","NaN","0","0"
"","psychophysics","44","513358","0.0-44.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","15781","key"," "," ","8.33391706286317","499.84","249.92","instTilt","","","","","-1","0","0"
"","psychophysics","45","532366","0.0-45.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","19005","key"," "," ","8.333918859649106","499.84","249.92","instTilt","","","","","2","0","0"
"","psychophysics","46","545367","0.0-46.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","12998","key"," "," ","8.333914047466278","499.84","249.92","inst","","","","","","",""
"","psychophysics","47","552262","0.0-47.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","6894","key"," "," ","8.333927360774846","499.84","249.92","tilt","","","","","5","9","1"
"","psychophysics","48","561022","0.0-48.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","8757","key"," "," ","8.33390095238097","499.84","249.92","tilt","","","","","-9","-9","1"
"","psychophysics","49","571198","0.0-49.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","10174","key"," "," ","8.333922131147549","499.84","249.92","tilt","","","","","3","-1","0"
"","psychophysics","50","588222","0.0-50.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","17021","key"," "," ","8.33388344760041","499.84","249.92","tilt","","","","","0","1","1"
"","psychophysics","51","599502","0.0-51.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","11277","key"," "," ","8.333929046563266","499.84","249.92","tilt","","","","","1","-3","0"
"","psychophysics","52","610911","0.0-52.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","11406","key"," "," ","8.33391008771929","499.84","249.92","tilt","","","","","-1","-1","1"
"","psychophysics","53","615214","0.0-53.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","4300","key"," "," ","8.333864077669794","499.84","249.92","tilt","","","","","-3","-4","1"
"","psychophysics","54","620663","0.0-54.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","5447","key"," "," ","8.333909647779576","499.84","249.92","tilt","","","","","2","3","0"
"","psychophysics","55","630982","0.0-55.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","10317","key"," "," ","8.333871463217518","499.84","249.92","tilt","","","","","-13","-10","1"
"","psychophysics","56","637447","0.0-56.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","6462","key"," "," ","8.333922580645059","499.84","249.92","tilt","","","","","2","2","0"
"","psychophysics","57","648151","0.0-57.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","10702","key"," "," ","8.333910366328922","499.84","249.92","tilt","","","","","-1","0","1"
"","psychophysics","58","677542","0.0-58.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","29389","key"," "," ","8.333912648893945","499.84","249.92","tilt","","","","","-4","-10","0"
"","psychophysics","59","685230","0.0-59.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","7685","key"," "," ","8.333893593919719","499.84","249.92","tilt","","","","","6","6","0"
"","psychophysics","60","689126","0.0-60.0","59a88f5b321f870001d16d68","62575734e86340921f11ffe1","","","","","3894","key"," "," ","8.333897216274199","499.84","249.92","tilt","","","","","9","10","0"
