"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"6106","key"," "," ","16.652173913043477","500","250","inst","psychophysics","0","6136","0.0-0.0","5","35","","","","","","",""
"1913","key"," "," ","16.666666666666668","500","250","inst","psychophysics","1","8053","0.0-1.0","5","35","","","","","","",""
"15447","key"," "," ","16.794341675734493","500","250","instML","psychophysics","2","23503","0.0-2.0","5","35","224","-37.333333333333336","-18","-2","-30.333333333333314","",""
"5061","key"," "," ","16.666666666666668","500","250","inst","psychophysics","3","28568","0.0-3.0","5","35","","","","","","",""
"4179","key"," "," ","16.668","500","250","ml","psychophysics","4","32752","0.0-4.0","5","35","194","-17","-28","21","-21","",""
"5667","key"," "," ","16.666666666666668","500","250","ml","psychophysics","5","38421","0.0-5.0","5","35","170","-35","6","5","-25","",""
"12685","key"," "," ","16.731836195508585","500","250","ml","psychophysics","6","51109","0.0-6.0","5","35","182","41","15","-12","-21","",""
"9139","key"," "," ","16.664233576642335","500","250","ml","psychophysics","7","60250","0.0-7.0","5","35","176","41","-4","25","-13","",""
"4293","key"," "," ","16.66147859922179","500","250","ml","psychophysics","8","64547","0.0-8.0","5","35","226","-20","5","29","-20","",""
"12060","key"," "," ","16.666204986149584","500","250","ml","psychophysics","9","76609","0.0-9.0","5","35","176","42","-15","3","-20","",""
"8093","key"," "," ","16.668041237113403","500","250","ml","psychophysics","10","84705","0.0-10.0","5","35","162","-39","-5","14","-19","",""
"5276","key"," "," ","16.667721518987342","500","250","ml","psychophysics","11","89987","0.0-11.0","5","35","236","-45","-26","-6","-25","",""
"5937","key"," "," ","16.668539325842698","500","250","ml","psychophysics","12","95931","0.0-12.0","5","35","178","-28","22","28","-21","",""
"4227","key"," "," ","16.666666666666668","500","250","ml","psychophysics","13","100161","0.0-13.0","5","35","194","-25","-11","19","-20","",""
"6257","key"," "," ","16.658666666666665","500","250","ml","psychophysics","14","106421","0.0-14.0","5","35","230","-57","-24","21","-23","",""
"10773","key"," "," ","16.6656346749226","500","250","ml","psychophysics","15","117197","0.0-15.0","5","35","162","31","23","21","-15","",""
"7278","key"," "," ","16.665137614678898","500","250","ml","psychophysics","16","124479","0.0-16.0","5","35","242","39","19","4","-17","",""
"2720","key"," "," ","16.67283950617284","500","250","ml","psychophysics","17","127202","0.0-17.0","5","35","166","-23","25","-26","-21","",""
"2440","key"," "," ","16.664383561643834","500","250","ml","psychophysics","18","129645","0.0-18.0","5","35","238","-29","-3","-17","-24","",""
"7849","key"," "," ","16.66808510638298","500","250","inst","psychophysics","19","137497","0.0-19.0","5","35","","","","","","",""
"16231","key"," "," ","16.667009249743064","500","250","instPog","psychophysics","20","153733","0.0-20.0","5","35","","","","","198","180",""
"1096","key"," "," ","16.676923076923078","500","250","inst","psychophysics","21","154833","0.0-21.0","5","35","","","","","","",""
"3725","key"," "," ","16.666666666666668","500","250","pog","psychophysics","22","158560","0.0-22.0","5","35","","","","","179","152",""
"2326","key"," "," ","16.640287769784173","500","250","pog","psychophysics","23","160890","0.0-23.0","5","35","","","","","178","149",""
"312","key"," "," ","16.72222222222222","500","250","pog","psychophysics","24","161206","0.0-24.0","5","35","","","","","160","145",""
"4971","key"," "," ","16.664429530201343","500","250","pog","psychophysics","25","166181","0.0-25.0","5","35","","","","","171","142",""
"1272","key"," "," ","16.653333333333332","500","250","pog","psychophysics","26","167456","0.0-26.0","5","35","","","","","161","135",""
"10856","key"," "," ","16.666666666666668","500","250","pog","psychophysics","27","178314","0.0-27.0","5","35","","","","","207","184",""
"3833","key"," "," ","16.66812227074236","500","250","pog","psychophysics","28","182150","0.0-28.0","5","35","","","","","156","133",""
"6777","key"," "," ","16.665024630541872","500","250","pog","psychophysics","29","188931","0.0-29.0","5","35","","","","","180","166",""
"4431","key"," "," ","16.664150943396226","500","250","pog","psychophysics","30","193365","0.0-30.0","5","35","","","","","151","127",""
"9188","key"," "," ","16.665454545454544","500","250","pog","psychophysics","31","202556","0.0-31.0","5","35","","","","","174","153",""
"1705","key"," "," ","16.666666666666668","500","250","pog","psychophysics","32","204265","0.0-32.0","5","35","","","","","168","141",""
"6854","key"," "," ","16.665853658536584","500","250","pog","psychophysics","33","211123","0.0-33.0","5","35","","","","","193","166",""
"8689","key"," "," ","16.66602687140115","500","250","pog","psychophysics","34","219815","0.0-34.0","5","35","","","","","192","168",""
"6972","key"," "," ","16.666666666666668","500","250","pog","psychophysics","35","226791","0.0-35.0","5","35","","","","","166","141",""
"5433","key"," "," ","16.662576687116566","500","250","pog","psychophysics","36","232232","0.0-36.0","5","35","","","","","192","162",""
"791","key"," "," ","16.652173913043477","500","250","inst","psychophysics","37","233025","0.0-37.0","5","35","","","","","","",""
"6426","key"," "," ","16.65714285714286","500","250","instTilt","psychophysics","38","239456","0.0-38.0","5","35","","","","","NaN","0","0"
"4957","key"," "," ","16.663299663299664","500","250","instTilt","psychophysics","39","244416","0.0-39.0","5","35","","","","","0","0","0"
"16203","key"," "," ","16.66735324407827","500","250","instTilt","psychophysics","40","260622","0.0-40.0","5","35","","","","","1","0","0"
"1599","key"," "," ","16.645833333333332","500","250","inst","psychophysics","41","262226","0.0-41.0","5","35","","","","","","",""
"3234","key"," "," ","16.66839378238342","500","250","tilt","psychophysics","42","265463","0.0-42.0","5","35","","","","","-6","-2","1"
"3193","key"," "," ","16.670157068062828","500","250","tilt","psychophysics","43","268659","0.0-43.0","5","35","","","","","-2","-3","0"
"4458","key"," "," ","16.665413533834588","500","250","tilt","psychophysics","44","273121","0.0-44.0","5","35","","","","","4","8","0"
"2555","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","45","275679","0.0-45.0","5","35","","","","","4","2","0"
"2818","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","46","278501","0.0-46.0","5","35","","","","","-5","-6","1"
"2952","key"," "," ","16.664772727272727","500","250","tilt","psychophysics","47","281455","0.0-47.0","5","35","","","","","3","1","0"
"3909","key"," "," ","16.662393162393162","500","250","tilt","psychophysics","48","285369","0.0-48.0","5","35","","","","","-8","-10","1"
"4887","key"," "," ","16.66552901023891","500","250","tilt","psychophysics","49","290258","0.0-49.0","5","35","","","","","-4","-4","1"
"6625","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","50","296887","0.0-50.0","5","35","","","","","-6","-9","0"
"3189","key"," "," ","16.664921465968586","500","250","tilt","psychophysics","51","300080","0.0-51.0","5","35","","","","","3","8","1"
"3029","key"," "," ","16.662983425414364","500","250","tilt","psychophysics","52","303113","0.0-52.0","5","35","","","","","1","-1","0"
"1015","key"," "," ","16.65","500","250","tilt","psychophysics","53","304131","0.0-53.0","5","35","","","","","0","2","0"
"2769","key"," "," ","16.672727272727272","500","250","tilt","psychophysics","54","306904","0.0-54.0","5","35","","","","","3","1","0"
"1960","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","55","308867","0.0-55.0","5","35","","","","","5","7","1"
"7867","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","56","316738","0.0-56.0","5","35","","","","","-2","1","1"
"3463","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","57","320205","0.0-57.0","5","35","","","","","-4","-5","1"
"3926","key"," "," ","16.65531914893617","500","250","tilt","psychophysics","58","324135","0.0-58.0","5","35","","","","","-6","-7","1"
"1057","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","59","325194","0.0-59.0","5","35","","","","","0","-5","0"
"3859","key"," "," ","16.660869565217393","500","250","tilt","psychophysics","60","329057","0.0-60.0","5","35","","","","","-2","-6","0"
"2567","key"," "," ","16.649350649350648","500","250","tilt","psychophysics","61","331628","0.0-61.0","5","35","","","","","-3","-4","0"
"2062","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","62","333693","0.0-62.0","5","35","","","","","-2","-4","0"
"4606","key"," "," ","16.669090909090908","500","250","tilt","psychophysics","63","338301","0.0-63.0","5","35","","","","","1","2","1"
"2219","key"," "," ","16.669172932330827","500","250","tilt","psychophysics","64","340524","0.0-64.0","5","35","","","","","-2","-5","0"
"2698","key"," "," ","16.664596273291924","500","250","tilt","psychophysics","65","343225","0.0-65.0","5","35","","","","","-3","-2","1"
"687","key"," "," ","16.675","500","250","tilt","psychophysics","66","343916","0.0-66.0","5","35","","","","","0","-7","1"
"2368","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","67","346286","0.0-67.0","5","35","","","","","2","0","0"
"2205","key"," "," ","16.666666666666668","500","250","tilt","psychophysics","68","348493","0.0-68.0","5","35","","","","","3","2","0"
