"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3618","0.0-0.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3620","0.0-1.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7906","0.0-2.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4275","key"," "," ","6.956490259740264","500","250","inst","","","","","","",""
"","psychophysics","3","9555","0.0-3.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","1644","key"," "," ","6.9445105485232155","500","250","inst","","","","","","",""
"","psychophysics","4","77633","0.0-4.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","68075","key"," "," ","6.944994388327723","500","250","instMl","182","-30.333333333333332","27","21","-27.333333333333258","",""
"","psychophysics","5","99265","0.0-5.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","21626","key"," "," ","6.945029222864481","500","250","instMl","248","-41.333333333333336","-11","0","-15.333333333333258","",""
"","psychophysics","6","102681","0.0-6.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3413","key"," "," ","6.944953156822828","500","250","inst","","","","","","",""
"","psychophysics","7","106745","0.0-7.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4059","key"," "," ","6.94500342465753","500","250","ml","174","-25","-12","15","-19","",""
"","psychophysics","8","109139","0.0-8.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2389","key"," "," ","6.945090116279083","500","250","ml","164","-2","-16","14","-17","",""
"","psychophysics","9","113282","0.0-9.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4140","key"," "," ","6.945005042016792","500","250","ml","166","-28","12","-27","-14","",""
"","psychophysics","10","118745","0.0-10.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5459","key"," "," ","6.944982188295158","500","250","ml","174","-40","24","-17","-15","",""
"","psychophysics","11","121505","0.0-11.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2757","key"," "," ","6.945227272727267","500","250","ml","244","-32","-29","11","-21","",""
"","psychophysics","12","123273","0.0-12.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","1764","key"," "," ","6.945129921259879","500","250","ml","250","-46","21","-1","-32","",""
"","psychophysics","13","130201","0.0-13.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6925","key"," "," ","6.945005020080327","500","250","ml","200","-33","16","23","-13","",""
"","psychophysics","14","134921","0.0-14.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4716","key"," "," ","6.945147275405014","500","250","ml","202","14","10","3","-16","",""
"","psychophysics","15","142249","0.0-15.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","7324","key"," "," ","6.9449876660341765","500","250","ml","172","8","-18","-27","-16","",""
"","psychophysics","16","147482","0.0-16.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5228","key"," "," ","6.945025232403708","500","250","ml","190","-16","-26","18","-16","",""
"","psychophysics","17","149257","0.0-17.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","1772","key"," "," ","6.945362204724422","500","250","ml","162","-19","-22","20","-22","",""
"","psychophysics","18","155129","0.0-18.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5868","key"," "," ","6.944943195266288","500","250","ml","242","-35","8","18","-16","",""
"","psychophysics","19","163153","0.0-19.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8021","key"," "," ","6.945038994800703","500","250","ml","206","32","-25","8","-22","",""
"","psychophysics","20","171067","0.0-20.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","7909","key"," "," ","6.945060579455662","500","250","ml","238","-11","-19","-24","-18","",""
"","psychophysics","21","176707","0.0-21.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5638","key"," "," ","6.944852034525306","500","250","ml","242","-33","8","18","-24","",""
"","psychophysics","22","178305","0.0-22.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","1595","key"," "," ","6.945013100436663","500","250","inst","","","","","","",""
"","psychophysics","23","195849","0.0-23.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","17539","key"," "," ","6.945007524752476","500","250","instPog","","","","","130","130",""
"","psychophysics","24","210092","0.0-24.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","14240","key"," "," ","6.945004390243898","500","250","instPog","","","","","133","130",""
"","psychophysics","25","218129","0.0-25.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8034","key"," "," ","6.944975778546707","500","250","instPog","","","","","142","130",""
"","psychophysics","26","220497","0.0-26.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2366","key"," "," ","6.9452382352941","500","250","inst","","","","","","",""
"","psychophysics","27","229745","0.0-27.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","9244","key"," "," ","6.945019534184842","500","250","pog","","","","","155","146",""
"","psychophysics","28","236434","0.0-28.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6686","key"," "," ","6.944988565488563","500","250","pog","","","","","161","157",""
"","psychophysics","29","244712","0.0-29.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8276","key"," "," ","6.945019311502948","500","250","pog","","","","","166","149",""
"","psychophysics","30","250088","0.0-30.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5373","key"," "," ","6.945009055627423","500","250","pog","","","","","149","131",""
"","psychophysics","31","256963","0.0-31.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6872","key"," "," ","6.944951466127402","500","250","pog","","","","","140","128",""
"","psychophysics","32","268464","0.0-32.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","11499","key"," "," ","6.9449468277945545","500","250","pog","","","","","159","147",""
"","psychophysics","33","278632","0.0-33.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","10165","key"," "," ","6.944968557758032","500","250","pog","","","","","160","144",""
"","psychophysics","34","294682","0.0-34.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","16047","key"," "," ","6.945030303030311","500","250","pog","","","","","139","132",""
"","psychophysics","35","306065","0.0-35.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","11380","key"," "," ","6.945010378510358","500","250","pog","","","","","131","125",""
"","psychophysics","36","314208","0.0-36.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8140","key"," "," ","6.944913748932541","500","250","pog","","","","","190","176",""
"","psychophysics","37","350256","0.0-37.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","36044","key"," "," ","6.944999807321772","500","250","pog","","","","","187","170",""
"","psychophysics","38","365112","0.0-38.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","14854","key"," "," ","6.945038821328352","500","250","pog","","","","","198","177",""
"","psychophysics","39","370194","0.0-39.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5080","key"," "," ","6.94497264021891","500","250","pog","","","","","200","181",""
"","psychophysics","40","378585","0.0-40.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8388","key"," "," ","6.945154929577486","500","250","pog","","","","","155","128",""
"","psychophysics","41","384120","0.0-41.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5533","key"," "," ","6.945022613065341","500","250","pog","","","","","198","171",""
"","psychophysics","42","385570","0.0-42.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","1448","key"," "," ","6.945552884615329","500","250","inst","","","","","","",""
"","psychophysics","43","389217","0.0-43.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3643","key"," "," ","6.945009541984728","500","250","instTilt","","","","","NaN","0","0"
"","psychophysics","44","397960","0.0-44.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8741","key"," "," ","6.944895071542142","500","250","instTilt","","","","","-45","0","0"
"","psychophysics","45","442097","0.0-45.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","44133","key"," "," ","6.945000944287067","500","250","instTilt","","","","","0","0","0"
"","psychophysics","46","446897","0.0-46.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4798","key"," "," ","6.945011594202842","500","250","inst","","","","","","",""
"","psychophysics","47","452553","0.0-47.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5654","key"," "," ","6.9450098400984075","500","250","tilt","","","","","0","0","0"
"","psychophysics","48","468828","0.0-48.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","16270","key"," "," ","6.945006402048666","500","250","tilt","","","","","-7","-9","0"
"","psychophysics","49","476745","0.0-49.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","7914","key"," "," ","6.945020193151911","500","250","tilt","","","","","-1","-1","1"
"","psychophysics","50","488635","0.0-50.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","11887","key"," "," ","6.945014611338389","500","250","tilt","","","","","-8","-10","1"
"","psychophysics","51","556912","0.0-51.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","68275","key"," "," ","6.9449877924720225","500","250","tilt","","","","","11","10","1"
"","psychophysics","52","560072","0.0-52.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3157","key"," "," ","6.944544052863381","500","250","tilt","","","","","-7","-9","0"
"","psychophysics","53","563001","0.0-53.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2925","key"," "," ","6.944940617577076","500","250","tilt","","","","","-7","-7","1"
"","psychophysics","54","566096","0.0-54.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3093","key"," "," ","6.94489864864846","500","250","tilt","","","","","8","6","0"
"","psychophysics","55","572928","0.0-55.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6828","key"," "," ","6.9450244150559834","500","250","tilt","","","","","4","4","1"
"","psychophysics","56","580200","0.0-56.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","7268","key"," "," ","6.944904397705541","500","250","tilt","","","","","-11","-10","1"
"","psychophysics","57","589136","0.0-57.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8931","key"," "," ","6.945057542768305","500","250","tilt","","","","","1","0","0"
"","psychophysics","58","597408","0.0-58.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8269","key"," "," ","6.945006722689043","500","250","tilt","","","","","-9","-9","1"
"","psychophysics","59","606520","0.0-59.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","9107","key"," "," ","6.945016018306612","500","250","tilt","","","","","-3","-3","1"
"","psychophysics","60","614256","0.0-60.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","7730","key"," "," ","6.944954177897519","500","250","tilt","","","","","-2","-3","1"
"","psychophysics","61","621224","0.0-61.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6965","key"," "," ","6.9449051896208","500","250","tilt","","","","","-4","-6","1"
"","psychophysics","62","629904","0.0-62.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8676","key"," "," ","6.9449479583666855","500","250","tilt","","","","","4","3","0"
"","psychophysics","63","641176","0.0-63.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","11270","key"," "," ","6.9449334155363935","500","250","tilt","","","","","1","1","1"
"","psychophysics","64","645392","0.0-64.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4211","key"," "," ","6.94493894389444","500","250","tilt","","","","","9","9","1"
"","psychophysics","65","651321","0.0-65.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5924","key"," "," ","6.9451488862836355","500","250","tilt","","","","","-2","-3","0"
"","psychophysics","66","662474","0.0-66.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","11151","key"," "," ","6.94500498442368","500","250","tilt","","","","","-4","-3","1"
"","psychophysics","67","667120","0.0-67.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4643","key"," "," ","6.944986526946004","500","250","tilt","","","","","-9","-6","1"
"","psychophysics","68","672802","0.0-68.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5679","key"," "," ","6.945183598531314","500","250","tilt","","","","","1","1","1"
"","psychophysics","69","679768","0.0-69.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6963","key"," "," ","6.944936127744512","500","250","tilt","","","","","8","8","0"
"","psychophysics","70","685248","0.0-70.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5477","key"," "," ","6.945017766497461","500","250","tilt","","","","","5","6","1"
"","psychophysics","71","691424","0.0-71.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6171","key"," "," ","6.945045045044993","500","250","tilt","","","","","-1","-3","0"
"","psychophysics","72","697880","0.0-72.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6451","key"," "," ","6.945082884822346","500","250","tilt","","","","","6","8","1"
"","psychophysics","73","707744","0.0-73.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","9861","key"," "," ","6.944996476391792","500","250","tilt","","","","","6","8","1"
"","psychophysics","74","712625","0.0-74.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4878","key"," "," ","6.945054131054069","500","250","tilt","","","","","-2","-3","1"
"","psychophysics","75","718208","0.0-75.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5581","key"," "," ","6.944993773349886","500","250","tilt","","","","","3","6","1"
"","psychophysics","76","726633","0.0-76.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","8422","key"," "," ","6.9449158415841685","500","250","tilt","","","","","-5","-6","0"
"","psychophysics","77","727905","0.0-77.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","1269","key"," "," ","6.944857142857343","500","250","inst","","","","","","",""
"","psychophysics","78","740544","0.0-78.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","12637","key"," "," ","6.945004947773522","500","250","instPz","","","","","50","50",""
"","psychophysics","79","750728","0.0-79.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","10182","key"," "," ","6.945018430034083","500","250","instPz","","","","","47","50",""
"","psychophysics","80","756857","0.0-80.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6124","key"," "," ","6.944911564625863","500","250","instPz","","","","","29","30",""
"","psychophysics","81","777505","0.0-81.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","20644","key"," "," ","6.944985531628563","500","250","instPz","","","","","41","40",""
"","psychophysics","82","780272","0.0-82.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2764","key"," "," ","6.94508816120895","500","250","inst","","","","","","",""
"","psychophysics","83","786457","0.0-83.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6180","key"," "," ","6.944893258426919","500","250","pz","","","","","62","58",""
"","psychophysics","84","790600","0.0-84.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4140","key"," "," ","6.944808403361479","500","250","pz","","","","","41","37",""
"","psychophysics","85","793874","0.0-85.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3270","key"," "," ","6.944921443736894","500","250","pz","","","","","32","30",""
"","psychophysics","86","799280","0.0-86.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","5403","key"," "," ","6.944900900901007","500","250","pz","","","","","45","41",""
"","psychophysics","87","804016","0.0-87.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4732","key"," "," ","6.944900146842984","500","250","pz","","","","","55","50",""
"","psychophysics","88","810904","0.0-88.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6883","key"," "," ","6.945040363269458","500","250","pz","","","","","45","38",""
"","psychophysics","89","817432","0.0-89.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6526","key"," "," ","6.9450191693289725","500","250","pz","","","","","32","26",""
"","psychophysics","90","821481","0.0-90.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4046","key"," "," ","6.945032646048045","500","250","pz","","","","","42","36",""
"","psychophysics","91","825392","0.0-91.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3908","key"," "," ","6.944921708185006","500","250","pz","","","","","38","34",""
"","psychophysics","92","832495","0.0-92.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","7099","key"," "," ","6.945109589041098","500","250","pz","","","","","61","54",""
"","psychophysics","93","836601","0.0-93.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4103","key"," "," ","6.94494237288146","500","250","pz","","","","","66","58",""
"","psychophysics","94","843760","0.0-94.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","7157","key"," "," ","6.944998058252425","500","250","pz","","","","","40","35",""
"","psychophysics","95","850679","0.0-95.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6916","key"," "," ","6.945081407035205","500","250","pz","","","","","30","26",""
"","psychophysics","96","853122","0.0-96.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2438","key"," "," ","6.944945868945806","500","250","pz","","","","","33","29",""
"","psychophysics","97","856008","0.0-97.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2881","key"," "," ","6.9450603864734415","500","250","pz","","","","","27","22",""
"","psychophysics","98","858992","0.0-98.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2980","key"," "," ","6.945037296037233","500","250","inst","","","","","","",""
"","psychophysics","99","866696","0.0-99.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","7699","key"," "," ","6.945066787003576","500","250","inst","","","","","","",""
"","psychophysics","100","879193","0.0-100.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","12491","key"," "," ","6.944962201222882","500","250","instFlank","","","","","0.5","0.3","1"
"","psychophysics","101","882959","0.0-101.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3763","key"," "," ","6.9451756007393115","500","250","inst","","","","","","",""
"","psychophysics","102","889168","0.0-102.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","6203","key"," "," ","6.944913773796149","500","250","instFlank","","","","","0.31999999999999984","0.3","1"
"","psychophysics","103","891344","0.0-103.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2172","key"," "," ","6.945016025640936","500","250","inst","","","","","","",""
"","psychophysics","104","896080","0.0-104.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4731","key"," "," ","6.945013215859037","500","250","instFlank","","","","","0.34999999999999987","0.3","0"
"","psychophysics","105","900224","0.0-105.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4140","key"," "," ","6.945177852348995","500","250","inst","","","","","","",""
"","psychophysics","106","903808","0.0-106.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3578","key"," "," ","6.944809708737732","500","250","flank","","","","","0.8300000000000003","0.8","1"
"","psychophysics","107","907072","0.0-107.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3260","key"," "," ","6.945070362473373","500","250","flank","","","","","0.7100000000000002","0.62","1"
"","psychophysics","108","909786","0.0-108.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2709","key"," "," ","6.944905128205219","500","250","flank","","","","","0.43999999999999995","0.32","0"
"","psychophysics","109","912682","0.0-109.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","2893","key"," "," ","6.944838942307587","500","250","flank","","","","","0.8000000000000003","0.72","0"
"","psychophysics","110","916217","0.0-110.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3531","key"," "," ","6.945001968503911","500","250","flank","","","","","0.8300000000000003","0.76","1"
"","psychophysics","111","920009","0.0-111.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3789","key"," "," ","6.9450385321100425","500","250","flank","","","","","0.8000000000000003","0.64","1"
"","psychophysics","112","923184","0.0-112.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3171","key"," "," ","6.944778508771969","500","250","flank","","","","","0.8000000000000003","0.72","0"
"","psychophysics","113","927378","0.0-113.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","4190","key"," "," ","6.944910447761126","500","250","flank","","","","","0.2899999999999998","0.22","0"
"","psychophysics","114","931128","0.0-114.0","5af529ca222e4d0001878444","6257569273e6ac13acfba228","","","","","3744","key"," "," ","6.945018552875679","500","250","flank","","","","","0.7400000000000002","0.68","1"
