"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3236","0.0-0.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3238","0.0-1.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","4640","0.0-2.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","1397","key"," "," ","16.686746987951807","500","250","inst","","","","","","",""
"","psychophysics","3","6074","0.0-3.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","1432","key"," "," ","16.68235294117647","500","250","inst","","","","","","",""
"","psychophysics","4","19776","0.0-4.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","13699","key"," "," ","16.66626065773447","500","250","instMl","150","-25","18","-2","-24","",""
"","psychophysics","5","24344","0.0-5.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","4566","key"," "," ","16.67032967032967","500","250","instMl","186","-31","-27","-12","-29","",""
"","psychophysics","6","28928","0.0-6.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","4575","key"," "," ","16.66788321167883","500","250","inst","","","","","","",""
"","psychophysics","7","31955","0.0-7.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","3020","key"," "," ","16.65745856353591","500","250","ml","202","-21","23","24","-22","",""
"","psychophysics","8","33320","0.0-8.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","1362","key"," "," ","16.679012345679013","500","250","ml","170","-29","9","11","-28","",""
"","psychophysics","9","38615","0.0-9.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","5293","key"," "," ","16.662460567823345","500","250","ml","226","-55","-9","-16","-29","",""
"","psychophysics","10","46755","0.0-10.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","8137","key"," "," ","16.66735112936345","500","250","ml","238","44","14","2","-17","",""
"","psychophysics","11","50501","0.0-11.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","3744","key"," "," ","16.669642857142858","500","250","ml","224","-42","-3","-1","-28","",""
"","psychophysics","12","57666","0.0-12.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","7160","key"," "," ","16.666666666666668","500","250","ml","174","23","8","21","-18","",""
"","psychophysics","13","63419","0.0-13.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","5751","key"," "," ","16.662790697674417","500","250","ml","242","3","-24","17","-25","",""
"","psychophysics","14","69371","0.0-14.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","5950","key"," "," ","16.662921348314608","500","250","ml","228","20","-22","4","-21","",""
"","psychophysics","15","73599","0.0-15.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","4224","key"," "," ","16.66403162055336","500","250","ml","196","4","-4","-5","-18","",""
"","psychophysics","16","76616","0.0-16.0","5be3237a3193e90001798302","62575792b8c0cad7d9a8d44a","","","","","3015","key"," "," ","16.666666666666668","500","250","ml","186","-9","22","26","-18","",""
