"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2997","0.0-0.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2998","0.0-1.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7536","0.0-2.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4530","key"," "," ","16.85203333333334","500","250","inst","","","","","","",""
"","psychophysics","3","7607","0.0-3.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","68","key"," "," ","16.66600000000047","500","250","inst","","","","","","",""
"","psychophysics","4","23289","0.0-4.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","15679","key"," "," ","16.666728723404255","500","250","instMl","240","-40","25","-18","-21","",""
"","psychophysics","5","37507","0.0-5.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","14215","key"," "," ","16.666920187793423","500","250","instMl","212","-35.333333333333336","-26","-20","-23.333333333333314","",""
"","psychophysics","6","41475","0.0-6.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3966","key"," "," ","16.66674683544304","500","250","inst","","","","","","",""
"","psychophysics","7","47428","0.0-7.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5950","key"," "," ","16.66670505617978","500","250","ml","210","51","-13","19","-19","",""
"","psychophysics","8","51869","0.0-8.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4438","key"," "," ","16.666710526315793","500","250","ml","180","27","4","-11","-14","",""
"","psychophysics","9","56661","0.0-9.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4790","key"," "," ","16.66671328671329","500","250","ml","202","34","10","-7","-19","",""
"","psychophysics","10","62862","0.0-10.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","6198","key"," "," ","16.666730458221036","500","250","ml","240","15","-10","-20","-20","",""
"","psychophysics","11","68855","0.0-11.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5990","key"," "," ","16.666757660167136","500","250","ml","186","-41","-25","10","-17","",""
"","psychophysics","12","75616","0.0-12.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","6758","key"," "," ","16.666728395061714","500","250","ml","248","-52","22","-19","-16","",""
"","psychophysics","13","79560","0.0-13.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3942","key"," "," ","16.666740425531888","500","250","ml","154","-16","18","5","-18","",""
"","psychophysics","14","86641","0.0-14.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","7078","key"," "," ","16.666742924528286","500","250","ml","244","-17","20","-27","-17","",""
"","psychophysics","15","93882","0.0-15.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","7239","key"," "," ","16.666716589861743","500","250","ml","172","28","-5","24","-13","",""
"","psychophysics","16","99251","0.0-16.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5365","key"," "," ","16.666710280373863","500","250","ml","180","37","2","20","-12","",""
"","psychophysics","17","104628","0.0-17.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5374","key"," "," ","16.6667040498442","500","250","ml","162","21","-3","-26","-17","",""
"","psychophysics","18","109468","0.0-18.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4837","key"," "," ","16.666717241379303","500","250","ml","182","-8","14","21","-21","",""
"","psychophysics","19","113901","0.0-19.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4430","key"," "," ","16.666732075471675","500","250","ml","236","-16","-30","18","-18","",""
"","psychophysics","20","117973","0.0-20.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4070","key"," "," ","16.66674897119343","500","250","ml","168","23","-11","28","-16","",""
"","psychophysics","21","122014","0.0-21.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4038","key"," "," ","16.666734439834045","500","250","ml","156","-21","24","-23","-18","",""
"","psychophysics","22","124230","0.0-22.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","2215","key"," "," ","16.666643939393964","500","250","inst","","","","","","",""
"","psychophysics","23","137224","0.0-23.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","12989","key"," "," ","16.688137532133673","500","250","instPog","","","","","130","130",""
"","psychophysics","24","146409","0.0-24.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","9183","key"," "," ","16.66673999999999","500","250","instPog","","","","","152","130",""
"","psychophysics","25","159354","0.0-25.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","12943","key"," "," ","16.666520618556703","500","250","instPog","","","","","152","130",""
"","psychophysics","26","161979","0.0-26.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","2623","key"," "," ","16.666705128205276","500","250","inst","","","","","","",""
"","psychophysics","27","172836","0.0-27.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","10855","key"," "," ","16.666725038402458","500","250","pog","","","","","150","122",""
"","psychophysics","28","184582","0.0-28.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","11743","key"," "," ","16.666725462304427","500","250","pog","","","","","193","174",""
"","psychophysics","29","190727","0.0-29.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","6142","key"," "," ","16.666692934782592","500","250","pog","","","","","158","140",""
"","psychophysics","30","195463","0.0-30.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4734","key"," "," ","16.666749116607782","500","250","pog","","","","","212","188",""
"","psychophysics","31","199576","0.0-31.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4110","key"," "," ","16.666743902439027","500","250","pog","","","","","180","167",""
"","psychophysics","32","203064","0.0-32.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3486","key"," "," ","16.666692307692266","500","250","pog","","","","","188","161",""
"","psychophysics","33","208681","0.0-33.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5615","key"," "," ","16.66671130952385","500","250","pog","","","","","216","191",""
"","psychophysics","34","212161","0.0-34.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3479","key"," "," ","16.666740384615387","500","250","pog","","","","","156","129",""
"","psychophysics","35","216138","0.0-35.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3974","key"," "," ","16.66668487394959","500","250","pog","","","","","193","176",""
"","psychophysics","36","219034","0.0-36.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","2895","key"," "," ","16.666676300577986","500","250","pog","","","","","158","129",""
"","psychophysics","37","224187","0.0-37.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5151","key"," "," ","16.66670454545455","500","250","pog","","","","","219","195",""
"","psychophysics","38","228083","0.0-38.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3894","key"," "," ","16.666751072961386","500","250","pog","","","","","190","168",""
"","psychophysics","39","233652","0.0-39.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5567","key"," "," ","16.666714714714725","500","250","pog","","","","","222","200",""
"","psychophysics","40","238405","0.0-40.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4750","key"," "," ","16.666704225352053","500","250","pog","","","","","162","134",""
"","psychophysics","41","243701","0.0-41.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5295","key"," "," ","16.666722397476324","500","250","pog","","","","","229","197",""
"","psychophysics","42","245846","0.0-42.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","2142","key"," "," ","16.66672440944881","500","250","inst","","","","","","",""
"","psychophysics","43","249670","0.0-43.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3823","key"," "," ","16.66668995633184","500","250","instTilt","","","","","NaN","0","0"
"","psychophysics","44","252975","0.0-44.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3302","key"," "," ","16.666670050761436","500","250","instTilt","","","","","0","0","0"
"","psychophysics","45","264608","0.0-45.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","11632","key"," "," ","16.6667360114778","500","250","instTilt","","","","","1","0","0"
"","psychophysics","46","267937","0.0-46.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3327","key"," "," ","16.666713567839082","500","250","inst","","","","","","",""
"","psychophysics","47","273209","0.0-47.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","5270","key"," "," ","16.6661904761904","500","250","tilt","","","","","-7","-8","1"
"","psychophysics","48","280874","0.0-48.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","7662","key"," "," ","16.666723311546868","500","250","tilt","","","","","-4","-7","1"
"","psychophysics","49","285035","0.0-49.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","4159","key"," "," ","16.66667068273088","500","250","tilt","","","","","-2","-2","1"
"","psychophysics","50","288779","0.0-50.0","5bf3761862e1bc0001f15cb2","6257558b69c774a289a61d4d","","","","","3743","key"," "," ","16.666686098654587","500","250","tilt","","","","","4","7","0"
