"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2955","0.0-0.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2956","0.0-1.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","6829","0.0-2.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","3863","key"," "," ","16.667271551724138","500","250","inst","","","","","","",""
"","psychophysics","3","8814","0.0-3.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","1983","key"," "," ","16.667542372881353","500","250","inst","","","","","","",""
"","psychophysics","4","27382","0.0-4.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","18558","key"," "," ","16.666716981132076","500","250","instMl","210","-35","-24","9","-12","",""
"","psychophysics","5","39623","0.0-5.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","12235","key"," "," ","16.666700272479563","500","250","instMl","150","-25","23","-15","-9","",""
"","psychophysics","6","44574","0.0-6.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","4948","key"," "," ","16.666260135135122","500","250","inst","","","","","","",""
"","psychophysics","7","50629","0.0-7.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","6053","key"," "," ","16.66617955801105","500","250","ml","244","-32","-19","-27","-11","",""
"","psychophysics","8","58022","0.0-8.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","7390","key"," "," ","16.666273137697534","500","250","ml","248","-1","-30","9","-13","",""
"","psychophysics","9","63143","0.0-9.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","5116","key"," "," ","16.666601307189552","500","250","ml","212","16","-5","-30","-14","",""
"","psychophysics","10","67438","0.0-10.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","4291","key"," "," ","16.66638132295718","500","250","ml","236","-50","2","6","-16","",""
"","psychophysics","11","71127","0.0-11.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","3684","key"," "," ","16.666100000000007","500","250","ml","242","-12","18","20","-20","",""
"","psychophysics","12","76143","0.0-12.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","5012","key"," "," ","16.666833333333344","500","250","ml","186","28","-30","-12","-12","",""
"","psychophysics","13","79511","0.0-13.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","3364","key"," "," ","16.667134328358195","500","250","ml","174","-17","18","-12","-10","",""
"","psychophysics","14","85950","0.0-14.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","6436","key"," "," ","16.666911688311686","500","250","ml","170","36","-21","24","-11","",""
"","psychophysics","15","88510","0.0-15.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","2557","key"," "," ","16.667222222222264","500","250","ml","224","-15","-12","20","-15","",""
"","psychophysics","16","94149","0.0-16.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","5635","key"," "," ","16.66645400593472","500","250","ml","184","20","-29","4","-10","",""
"","psychophysics","17","101358","0.0-17.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","7207","key"," "," ","16.666886574074077","500","250","ml","230","-34","-18","-3","-13","",""
"","psychophysics","18","105774","0.0-18.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","4413","key"," "," ","16.666643939393907","500","250","ml","188","31","-30","12","-9","",""
"","psychophysics","19","110079","0.0-19.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","4300","key"," "," ","16.66675097276263","500","250","ml","150","9","-21","-8","-10","",""
"","psychophysics","20","117195","0.0-20.0","5bf6fc936c445d0001aeba98","625758a147c36a38f4f6653b","","","","","7114","key"," "," ","16.66616901408451","500","250","ml","242","42","-4","-6","-10","",""
