"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","4528","0.0-0.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4532","0.0-1.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8543","0.0-2.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","3983","key"," "," ","16.711704166666667","500","250","inst","","","","","","",""
"","psychophysics","3","10252","0.0-3.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","1706","key"," "," ","16.711","500","250","inst","","","","","","",""
"","psychophysics","4","28949","0.0-4.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","18694","key"," "," ","16.71133184257603","500","250","instMl","170","-28.333333333333332","3","-28","-19.333333333333314","",""
"","psychophysics","5","42083","0.0-5.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","13130","key"," "," ","16.71124585987262","500","250","instMl","186","-31","-2","9","-17","",""
"","psychophysics","6","48150","0.0-6.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","6064","key"," "," ","16.711455801104968","500","250","inst","","","","","","",""
"","psychophysics","7","54069","0.0-7.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","5916","key"," "," ","16.711000000000002","500","250","ml","216","-49","-19","7","-21","",""
"","psychophysics","8","59332","0.0-8.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","5259","key"," "," ","16.711582802547788","500","250","ml","198","-44","-15","0","-18","",""
"","psychophysics","9","67555","0.0-9.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","8220","key"," "," ","16.711272912423627","500","250","ml","212","52","19","-25","-13","",""
"","psychophysics","10","72377","0.0-10.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","4819","key"," "," ","16.711000000000002","500","250","ml","188","10","-29","-30","-16","",""
"","psychophysics","11","77031","0.0-11.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","4647","key"," "," ","16.710999999999984","500","250","ml","166","-2","-9","-23","-19","",""
"","psychophysics","12","82570","0.0-12.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","5536","key"," "," ","16.711727272727302","500","250","ml","164","-39","10","-26","-16","",""
"","psychophysics","13","88997","0.0-13.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","6420","key"," "," ","16.711429687499997","500","250","ml","184","19","-8","-27","-14","",""
"","psychophysics","14","95334","0.0-14.0","5c4783b51d1ad90001228d05","62574cd373ffeebb4a493c15","","","","","6334","key"," "," ","16.711000000000006","500","250","ml","230","25","-26","0","-17","",""
