"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3381","0.0-0.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3382","0.0-1.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","9060","0.0-2.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","5664","key"," "," ","16.66778823529412","500","250","inst","","","","","","",""
"","psychophysics","3","11211","0.0-3.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","2147","key"," "," ","16.666898437499995","500","250","inst","","","","","","",""
"","psychophysics","4","36202","0.0-4.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","24985","key"," "," ","16.667655103402268","500","250","instMl","210","-35","3","23","-13","",""
"","psychophysics","5","61002","0.0-5.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","24797","key"," "," ","16.667622057834567","500","250","instMl","250","-41.666666666666664","22","0","-9.666666666666742","",""
"","psychophysics","6","66186","0.0-6.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","5182","key"," "," ","16.66752903225809","500","250","inst","","","","","","",""
"","psychophysics","7","80330","0.0-7.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","14142","key"," "," ","16.667565525383708","500","250","ml","246","32","3","-29","-7","",""
"","psychophysics","8","88394","0.0-8.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","8061","key"," "," ","16.667592132505177","500","250","ml","222","-16","6","23","-11","",""
"","psychophysics","9","103042","0.0-9.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","14646","key"," "," ","16.667594533029614","500","250","ml","186","-3","0","-23","-10","",""
"","psychophysics","10","113042","0.0-10.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","9996","key"," "," ","16.667584307178632","500","250","ml","168","31","-8","29","-9","",""
"","psychophysics","11","124202","0.0-11.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","11158","key"," "," ","16.66753213751868","500","250","ml","248","-57","21","-29","-9","",""
"","psychophysics","12","139210","0.0-12.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","15006","key"," "," ","16.667614015572855","500","250","ml","210","2","10","18","-10","",""
"","psychophysics","13","159338","0.0-13.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","20126","key"," "," ","16.667689312344667","500","250","ml","240","-29","21","23","-7","",""
"","psychophysics","14","173538","0.0-14.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","14199","key"," "," ","16.667549941245582","500","250","ml","186","-37","22","5","-10","",""
"","psychophysics","15","187698","0.0-15.0","5c6dcac242fe6b0001908ed9","6257525615da144e9321de43","","","","","14158","key"," "," ","16.667608490566018","500","250","ml","200","11","-11","26","-8","",""
