"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","43029","0.0-0.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","","","","","","","","","","","","","","",""
"true","preload","1","43035","0.0-1.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","49491","0.0-2.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","6422","key"," "," ","16.769742187499997","500","250","inst","","","","","","",""
"","psychophysics","3","53179","0.0-3.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","3673","key"," "," ","16.725345454545458","500","250","inst","","","","","","",""
"","psychophysics","4","73531","0.0-4.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","20333","key"," "," ","16.725339638157887","500","250","instMl","212","-35.333333333333336","-2","30","-24.333333333333314","",""
"","psychophysics","5","89894","0.0-5.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","16355","key"," "," ","16.725339815762545","500","250","instMl","208","-34.666666666666664","-30","-18","-20.666666666666686","",""
"","psychophysics","6","95920","0.0-6.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","6009","key"," "," ","16.725345403899695","500","250","inst","","","","","","",""
"","psychophysics","7","100614","0.0-7.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","4682","key"," "," ","16.725328571428534","500","250","ml","200","-9","-8","19","-18","",""
"","psychophysics","8","106303","0.0-8.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","5676","key"," "," ","16.725345132743385","500","250","ml","174","2","22","29","-16","",""
"","psychophysics","9","114183","0.0-9.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","7866","key"," "," ","16.72533829787234","500","250","ml","220","39","26","-27","-22","",""
"","psychophysics","10","122536","0.0-10.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","8342","key"," "," ","16.72534669338675","500","250","ml","196","43","-6","-20","-22","",""
"","psychophysics","11","127478","0.0-11.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","4933","key"," "," ","16.72534013605442","500","250","ml","248","-58","-30","-23","-23","",""
"","psychophysics","12","133461","0.0-12.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","5971","key"," "," ","16.72533893557426","500","250","ml","194","17","13","-25","-18","",""
"","psychophysics","13","136117","0.0-13.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","2648","key"," "," ","16.72537974683554","500","250","ml","208","-15","11","11","-20","",""
"","psychophysics","14","140590","0.0-14.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","4466","key"," "," ","16.725323308270628","500","250","ml","218","3","-9","10","-19","",""
"","psychophysics","15","147257","0.0-15.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","6655","key"," "," ","16.72533165829146","500","250","ml","230","38","23","26","-17","",""
"","psychophysics","16","152399","0.0-16.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","5134","key"," "," ","16.7253333333333","500","250","ml","206","29","24","-26","-17","",""
"","psychophysics","17","155468","0.0-17.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","3056","key"," "," ","16.72534426229515","500","250","ml","168","6","-17","30","-17","",""
"","psychophysics","18","160219","0.0-18.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","4744","key"," "," ","16.725346289752704","500","250","ml","192","43","-9","-12","-17","",""
"","psychophysics","19","163951","0.0-19.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","3725","key"," "," ","16.725364864864943","500","250","ml","248","17","-18","18","-25","",""
"","psychophysics","20","167713","0.0-20.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","3756","key"," "," ","16.725392857142783","500","250","ml","164","13","-15","-18","-18","",""
"","psychophysics","21","173432","0.0-21.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","5710","key"," "," ","16.72537243401755","500","250","ml","180","45","-30","3","-18","",""
"","psychophysics","22","187097","0.0-22.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","13659","key"," "," ","16.725340686274507","500","250","inst","","","","","","",""
"","psychophysics","23","211732","0.0-23.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","24628","key"," "," ","16.72533899456523","500","250","instPog","","","","","131","130",""
"","psychophysics","24","219426","0.0-24.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","7687","key"," "," ","16.725337690631857","500","250","instPog","","","","","147","130",""
"","psychophysics","25","228127","0.0-25.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","8694","key"," "," ","16.725337186897903","500","250","instPog","","","","","150","130",""
"","psychophysics","26","231255","0.0-26.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","3122","key"," "," ","16.725327956989364","500","250","inst","","","","","","",""
"","psychophysics","27","237506","0.0-27.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","6240","key"," "," ","16.725340482573717","500","250","pog","","","","","147","125",""
"","psychophysics","28","254774","0.0-28.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","17261","key"," "," ","16.725341416100864","500","250","pog","","","","","213","192",""
"","psychophysics","29","261273","0.0-29.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","6488","key"," "," ","16.7253350515463","500","250","pog","","","","","174","162",""
"","psychophysics","30","269990","0.0-30.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","8711","key"," "," ","16.72533653846163","500","250","pog","","","","","206","195",""
"","psychophysics","31","278670","0.0-31.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","8674","key"," "," ","16.79017248062014","500","250","pog","","","","","204","185",""
"","psychophysics","32","283335","0.0-32.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","4657","key"," "," ","16.725327338129507","500","250","pog","","","","","165","141",""
"","psychophysics","33","289873","0.0-33.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","6532","key"," "," ","16.72534358974364","500","250","pog","","","","","207","189",""
"","psychophysics","34","292600","0.0-34.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","2720","key"," "," ","16.725314814814748","500","250","pog","","","","","159","142",""
"","psychophysics","35","299879","0.0-35.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","7272","key"," "," ","16.725384792626684","500","250","pog","","","","","187","174",""
"","psychophysics","36","302920","0.0-36.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","3029","key"," "," ","16.725353591160484","500","250","pog","","","","","169","153",""
"","psychophysics","37","306920","0.0-37.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","3993","key"," "," ","16.725260504201778","500","250","pog","","","","","149","130",""
"","psychophysics","38","313527","0.0-38.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","6600","key"," "," ","16.725304568527967","500","250","pog","","","","","206","192",""
"","psychophysics","39","317939","0.0-39.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","4405","key"," "," ","16.72535741444878","500","250","pog","","","","","151","127",""
"","psychophysics","40","320318","0.0-40.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","2373","key"," "," ","16.72536170212775","500","250","pog","","","","","159","147",""
"","psychophysics","41","326671","0.0-41.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","6340","key"," "," ","16.725332453825892","500","250","pog","","","","","202","186",""
"","psychophysics","42","328359","0.0-42.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","1683","key"," "," ","16.725340000000433","500","250","inst","","","","","","",""
"","psychophysics","43","332544","0.0-43.0","5c720c7278263500015665f9","62575428e3b6625201efe5e1","","","","","4167","key"," "," ","16.725429718875436","500","250","instTilt","","","","","NaN","0","0"
