"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","9708","0.0-0.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","","","","","","","","","","","","","","",""
"true","preload","1","9710","0.0-1.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","13883","0.0-2.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","4157","key"," "," ","7.073723728813558","500","250","inst","","","","","","",""
"","psychophysics","3","15484","0.0-3.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","1598","key"," "," ","7.005412280701756","500","250","inst","","","","","","",""
"","psychophysics","4","43204","0.0-4.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","27718","key"," "," ","6.99357103204643","500","250","instMl","220","-36.666666666666664","-3","1","-15.666666666666686","",""
"","psychophysics","5","57583","0.0-5.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","14376","key"," "," ","6.981608843537414","500","250","instMl","174","-29","-20","12","-15","",""
"","psychophysics","6","71908","0.0-6.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","14321","key"," "," ","6.974912323429126","500","250","inst","","","","","","",""
"","psychophysics","7","72699","0.0-7.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","790","key"," "," ","7.069378378378387","500","250","ml","154","12","3","10","12","",""
"","psychophysics","8","81122","0.0-8.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","8421","key"," "," ","6.984798340248963","500","250","ml","242","-52","-14","24","-13","",""
"","psychophysics","9","89635","0.0-9.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","8510","key"," "," ","6.961527004909987","500","250","ml","156","-29","-4","20","-12","",""
"","psychophysics","10","97144","0.0-10.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","7506","key"," "," ","6.963818941504188","500","250","ml","208","-14","22","-1","-10","",""
"","psychophysics","11","103778","0.0-11.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","6632","key"," "," ","6.981145416227612","500","250","ml","206","38","13","-8","-12","",""
"","psychophysics","12","122731","0.0-12.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","18951","key"," "," ","7.013913735653459","500","250","ml","218","27","-2","6","-14","",""
"","psychophysics","13","129315","0.0-13.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","6581","key"," "," ","6.951790697674419","500","250","ml","228","38","-7","3","-7","",""
"","psychophysics","14","142595","0.0-14.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","13278","key"," "," ","7.134889247311828","500","250","ml","164","-7","-15","22","-13","",""
"","psychophysics","15","150232","0.0-15.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","7635","key"," "," ","7.001820183486262","500","250","ml","194","-48","-19","18","-9","",""
"","psychophysics","16","155221","0.0-16.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","4986","key"," "," ","6.973654545454546","500","250","ml","196","47","-22","24","-11","",""
"","psychophysics","17","159011","0.0-17.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","3787","key"," "," ","6.995985212569332","500","250","ml","230","-35","27","-28","-12","",""
"","psychophysics","18","164446","0.0-18.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","5432","key"," "," ","7.0072157622738915","500","250","ml","244","39","6","-17","-14","",""
"","psychophysics","19","166984","0.0-19.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","2535","key"," "," ","6.96444230769231","500","250","ml","194","-11","-25","14","-13","",""
"","psychophysics","20","171155","0.0-20.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","4169","key"," "," ","7.002904040404001","500","250","ml","240","13","29","5","-12","",""
"","psychophysics","21","174213","0.0-21.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","3056","key"," "," ","7.122613053613042","500","250","ml","214","7","19","16","-15","",""
"","psychophysics","22","176031","0.0-22.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","1817","key"," "," ","7.0253178294572765","500","250","inst","","","","","","",""
"","psychophysics","23","189681","0.0-23.0","5c82d0ac51b0e00015cbd2fc","62575088f5dc05767593d9ca","","","","","13647","key"," "," ","6.972846625766874","500","250","instPog","","","","","130","130",""
