"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","4524","0.0-0.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4528","0.0-1.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8013","0.0-2.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","3461","key"," "," ","16.666","500","250","inst","","","","","","",""
"","psychophysics","3","9626","0.0-3.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","1610","key"," "," ","16.65132291666667","500","250","inst","","","","","","",""
"","psychophysics","4","25394","0.0-4.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","15766","key"," "," ","16.666307936507938","500","250","instMl","238","-39.666666666666664","-22","-11","-23.666666666666686","",""
"","psychophysics","5","40409","0.0-5.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","15012","key"," "," ","16.666590000000003","500","250","instMl","164","-27.333333333333332","-8","29","-15.333333333333314","",""
"","psychophysics","6","44330","0.0-6.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","3919","key"," "," ","16.66599999999999","500","250","inst","","","","","","",""
"","psychophysics","7","51134","0.0-7.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","6801","key"," "," ","16.666653562653565","500","250","ml","200","-9","-17","-25","-20","",""
"","psychophysics","8","59340","0.0-8.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","8202","key"," "," ","16.666540650406507","500","250","ml","184","-17","-1","-3","-12","",""
"","psychophysics","9","68873","0.0-9.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","9531","key"," "," ","16.666462346760063","500","250","ml","216","24","3","6","-16","",""
"","psychophysics","10","83362","0.0-10.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","14486","key"," "," ","16.6663133640553","500","250","ml","236","54","-4","18","-11","",""
"","psychophysics","11","89844","0.0-11.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","6479","key"," "," ","16.666672680412358","500","250","ml","194","21","0","5","-13","",""
"","psychophysics","12","97973","0.0-12.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","8127","key"," "," ","16.666000000000007","500","250","ml","162","10","-15","4","-12","",""
"","psychophysics","13","107659","0.0-13.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","9683","key"," "," ","16.666456896551722","500","250","ml","222","20","12","-8","-18","",""
"","psychophysics","14","116975","0.0-14.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","9315","key"," "," ","16.666480286738366","500","250","ml","228","-52","26","-24","-13","",""
"","psychophysics","15","127606","0.0-15.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","10628","key"," "," ","16.666416012558866","500","250","ml","242","-60","29","-18","-14","",""
"","psychophysics","16","137077","0.0-16.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","9469","key"," "," ","16.6664126984127","500","250","ml","232","-36","-26","-15","-16","",""
"","psychophysics","17","145673","0.0-17.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","8593","key"," "," ","16.6665786407767","500","250","ml","194","-44","16","21","-12","",""
"","psychophysics","18","161810","0.0-18.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","16135","key"," "," ","16.666549120992777","500","250","ml","222","-28","-30","-13","-10","",""
"","psychophysics","19","171945","0.0-19.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","10132","key"," "," ","16.6664398682043","500","250","ml","196","28","10","-20","-15","",""
"","psychophysics","20","180857","0.0-20.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","8909","key"," "," ","16.666499999999985","500","250","ml","218","8","-17","3","-14","",""
"","psychophysics","21","191071","0.0-21.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","10213","key"," "," ","16.66643137254902","500","250","ml","182","-44","-25","-21","-12","",""
"","psychophysics","22","194032","0.0-22.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","2959","key"," "," ","16.66600000000007","500","250","inst","","","","","","",""
"","psychophysics","23","214723","0.0-23.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","20678","key"," "," ","16.666427419354836","500","250","instPog","","","","","130","130",""
"","psychophysics","24","243489","0.0-24.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","28764","key"," "," ","16.66646376811594","500","250","instPog","","","","","135","130",""
"","psychophysics","25","258654","0.0-25.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","15163","key"," "," ","16.66629262926293","500","250","instPog","","","","","146","130",""
"","psychophysics","26","263272","0.0-26.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","4616","key"," "," ","16.66671739130433","500","250","inst","","","","","","",""
"","psychophysics","27","275553","0.0-27.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","12279","key"," "," ","16.666452445652123","500","250","pog","","","","","152","134",""
"","psychophysics","28","289524","0.0-28.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","13968","key"," "," ","16.66663799283157","500","250","pog","","","","","164","143",""
"","psychophysics","29","301859","0.0-29.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","12332","key"," "," ","16.666355886332852","500","250","pog","","","","","200","181",""
"","psychophysics","30","334353","0.0-30.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","32491","key"," "," ","16.66640944073884","500","250","pog","","","","","208","179",""
"","psychophysics","31","344001","0.0-31.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","9646","key"," "," ","16.666456747404844","500","250","pog","","","","","202","181",""
"","psychophysics","32","354890","0.0-32.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","10886","key"," "," ","16.6664125766871","500","250","pog","","","","","175","154",""
"","psychophysics","33","367787","0.0-33.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","12896","key"," "," ","16.66634411384214","500","250","pog","","","","","211","186",""
"","psychophysics","34","392409","0.0-34.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","24619","key"," "," ","16.666540650406514","500","250","pog","","","","","222","196",""
"","psychophysics","35","401985","0.0-35.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","9575","key"," "," ","16.666440766550544","500","250","pog","","","","","162","137",""
"","psychophysics","36","409659","0.0-36.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","7672","key"," "," ","16.66599999999991","500","250","pog","","","","","177","160",""
"","psychophysics","37","419289","0.0-37.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","9628","key"," "," ","16.66647140381283","500","250","pog","","","","","184","162",""
"","psychophysics","38","429986","0.0-38.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","10694","key"," "," ","16.666733229329246","500","250","pog","","","","","204","192",""
"","psychophysics","39","442206","0.0-39.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","12219","key"," "," ","16.666407103825133","500","250","pog","","","","","212","195",""
"","psychophysics","40","450641","0.0-40.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","8432","key"," "," ","16.66659603960395","500","250","pog","","","","","159","135",""
"","psychophysics","41","459434","0.0-41.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","8790","key"," "," ","16.666000000000036","500","250","pog","","","","","176","159",""
"","psychophysics","42","461087","0.0-42.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","1649","key"," "," ","16.66870408163261","500","250","inst","","","","","","",""
"","psychophysics","43","463969","0.0-43.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","2880","key"," "," ","16.666000000000146","500","250","instTilt","","","","","NaN","0","0"
"","psychophysics","44","468370","0.0-44.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","4394","key"," "," ","16.665999999999983","500","250","instTilt","","","","","0","0","0"
"","psychophysics","45","489552","0.0-45.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","21179","key"," "," ","16.666422047244073","500","250","instTilt","","","","","6","0","0"
"","psychophysics","46","493301","0.0-46.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","3747","key"," "," ","16.667183035714384","500","250","inst","","","","","","",""
"","psychophysics","47","504518","0.0-47.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","11215","key"," "," ","16.666395833333375","500","250","tilt","","","","","-2","1","1"
"","psychophysics","48","513284","0.0-48.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","8763","key"," "," ","16.666502857142838","500","250","tilt","","","","","4","-1","0"
"","psychophysics","49","524420","0.0-49.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","11134","key"," "," ","16.666395802098915","500","250","tilt","","","","","2","1","0"
"","psychophysics","50","531921","0.0-50.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","7499","key"," "," ","16.6666057906461","500","250","tilt","","","","","6","9","1"
"","psychophysics","51","545243","0.0-51.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","13319","key"," "," ","16.666284461152816","500","250","tilt","","","","","-1","3","1"
"","psychophysics","52","550197","0.0-52.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","4950","key"," "," ","16.66701010100995","500","250","tilt","","","","","-13","-10","1"
"","psychophysics","53","562851","0.0-53.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","12650","key"," "," ","16.666350923482902","500","250","tilt","","","","","-2","2","1"
"","psychophysics","54","572950","0.0-54.0","5c99901553deaa0014cc1565","625755b8ed5cd1d771ac6622","","","","","10097","key"," "," ","16.666438016529032","500","250","tilt","","","","","0","-3","0"
