"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2891","0.0-0.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2895","0.0-1.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","6106","0.0-2.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","3197","key"," "," ","16.918730158730156","500","250","inst","","","","","","",""
"","psychophysics","3","7281","0.0-3.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","1167","key"," "," ","16.692571428571423","500","250","inst","","","","","","",""
"","psychophysics","4","18977","0.0-4.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","11691","key"," "," ","16.69793991416309","500","250","instMl","244","-40.666666666666664","17","-9","-16.666666666666742","",""
"","psychophysics","5","26856","0.0-5.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","7870","key"," "," ","16.698131634819532","500","250","instMl","190","-31.666666666666668","20","20","-13.666666666666742","",""
"","psychophysics","6","29945","0.0-6.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","3083","key"," "," ","16.69608695652173","500","250","inst","","","","","","",""
"","psychophysics","7","35809","0.0-7.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","5858","key"," "," ","16.698228571428583","500","250","ml","216","-14","4","0","-12","",""
"","psychophysics","8","48848","0.0-8.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","13032","key"," "," ","16.699384615384613","500","250","ml","164","-25","0","21","-3","",""
"","psychophysics","9","55321","0.0-9.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","6469","key"," "," ","16.696020671834628","500","250","ml","200","-4","22","-27","-5","",""
"","psychophysics","10","61473","0.0-10.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","6147","key"," "," ","16.70054495912808","500","250","ml","156","20","25","-17","-2","",""
"","psychophysics","11","65233","0.0-11.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","3756","key"," "," ","16.69107142857141","500","250","ml","194","-5","12","-15","-6","",""
"","psychophysics","12","70474","0.0-12.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","5231","key"," "," ","16.70345047923325","500","250","ml","182","23","-22","28","-2","",""
"","psychophysics","13","77616","0.0-13.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","7134","key"," "," ","16.69658079625293","500","250","ml","198","-30","0","-24","-6","",""
"","psychophysics","14","82089","0.0-14.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","4467","key"," "," ","16.701123595505607","500","250","ml","174","16","-7","-11","-7","",""
"","psychophysics","15","94184","0.0-15.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","12092","key"," "," ","16.696735822959877","500","250","ml","222","-46","-2","7","-10","",""
"","psychophysics","16","100809","0.0-16.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","6619","key"," "," ","16.698484848484863","500","250","ml","176","14","19","0","-7","",""
"","psychophysics","17","106576","0.0-17.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","5763","key"," "," ","16.698255813953523","500","250","ml","224","44","6","-4","-9","",""
"","psychophysics","18","112032","0.0-18.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","5449","key"," "," ","16.700061349693254","500","250","ml","156","14","25","-28","-11","",""
"","psychophysics","19","117472","0.0-19.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","5436","key"," "," ","16.694399999999977","500","250","ml","250","-23","0","17","-13","",""
"","psychophysics","20","122313","0.0-20.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","4835","key"," "," ","16.69778546712799","500","250","ml","204","-3","-15","-11","-5","",""
"","psychophysics","21","127993","0.0-21.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","5674","key"," "," ","16.698643067846596","500","250","ml","156","-20","4","8","-8","",""
"","psychophysics","22","129368","0.0-22.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","1372","key"," "," ","16.71209876543219","500","250","inst","","","","","","",""
"","psychophysics","23","139537","0.0-23.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","10160","key"," "," ","16.697072368421065","500","250","instPog","","","","","131","130",""
"","psychophysics","24","149665","0.0-24.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","10125","key"," "," ","16.69689768976899","500","250","instPog","","","","","136","130",""
"","psychophysics","25","159561","0.0-25.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","9892","key"," "," ","16.701049069373955","500","250","instPog","","","","","158","130",""
"","psychophysics","26","161104","0.0-26.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","1536","key"," "," ","16.68695652173926","500","250","inst","","","","","","",""
"","psychophysics","27","170249","0.0-27.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","9140","key"," "," ","16.69985347985347","500","250","pog","","","","","137","123",""
"","psychophysics","28","176530","0.0-28.0","5d1653de3935ca001b87ff71","6257531f322e3f5570f570f0","","","","","6275","key"," "," ","16.69478723404253","500","250","pog","","","","","151","136",""
