"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","4893","0.0-0.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4903","0.0-1.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","10283","0.0-2.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","5308","key"," "," ","16.8788526645768","500","249.77777777777777","inst","","","","","","",""
"","psychophysics","3","12912","0.0-3.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","2615","key"," "," ","16.669936305732485","500","249.77777777777777","inst","","","","","","",""
"","psychophysics","4","70602","0.0-4.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","57682","key"," "," ","16.684296296296296","500","249.77777777777777","instMl","230","-38.333333333333336","-13","-20","-20.333333333333314","",""
"","psychophysics","5","112245","0.0-5.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","41630","key"," "," ","16.669824659727787","500","249.77777777777777","instMl","246","-41","19","-23","-25","",""
"","psychophysics","6","120115","0.0-6.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","7864","key"," "," ","16.66981740976645","500","249.77777777777777","inst","","","","","","",""
"","psychophysics","7","152087","0.0-7.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","31966","key"," "," ","16.669828377673458","500","249.77777777777777","ml","208","19","-4","-14","-12","",""
"","psychophysics","8","164583","0.0-8.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","12486","key"," "," ","16.669830213903737","500","249.77777777777777","ml","214","5","16","17","-11","",""
"","psychophysics","9","188369","0.0-9.0","5d41df0ca7b5800001a0341a","625752bd04a8f690ce932dad","","","","","23773","key"," "," ","16.669826086956515","500","249.77777777777777","ml","226","32","24","0","-12","",""
