"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","4136","0.0-0.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4140","0.0-1.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8895","0.0-2.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","4725","key"," "," ","16.742190140845068","500","250","inst","","","","","","",""
"","psychophysics","3","10607","0.0-3.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","1707","key"," "," ","16.684264705882352","500","250","inst","","","","","","",""
"","psychophysics","4","35600","0.0-4.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","24988","key"," "," ","16.683316633266536","500","250","instMl","184","-30.666666666666668","23","19","-16.666666666666742","",""
"","psychophysics","5","49903","0.0-5.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","14298","key"," "," ","16.68318808411215","500","250","instMl","224","-37.333333333333336","13","15","-23.333333333333314","",""
"","psychophysics","6","54791","0.0-6.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","4882","key"," "," ","16.683613013698622","500","250","inst","","","","","","",""
"","psychophysics","7","71103","0.0-7.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","16306","key"," "," ","16.68333162743091","500","250","ml","174","-12","26","0","-13","",""
"","psychophysics","8","78967","0.0-8.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","7859","key"," "," ","16.68360638297872","500","250","ml","156","-21","12","-30","-17","",""
"","psychophysics","9","90455","0.0-9.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","11480","key"," "," ","16.683412790697666","500","250","ml","176","27","7","-26","-10","",""
"","psychophysics","10","103897","0.0-10.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","13437","key"," "," ","16.683195031055913","500","250","ml","156","37","25","-5","-5","",""
"","psychophysics","11","123327","0.0-11.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","19425","key"," "," ","16.683401547721413","500","250","ml","178","-29","19","5","-19","",""
"","psychophysics","12","129591","0.0-12.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","6255","key"," "," ","16.683226666666684","500","250","ml","218","45","-20","6","-15","",""
"","psychophysics","13","133047","0.0-13.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","3452","key"," "," ","16.683713592233016","500","250","ml","240","-8","22","3","-11","",""
"","psychophysics","14","141617","0.0-14.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","8566","key"," "," ","16.683210937500007","500","250","ml","208","25","22","-17","-8","",""
"","psychophysics","15","154264","0.0-15.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","12642","key"," "," ","16.683177014531054","500","250","ml","166","-10","11","-8","-10","",""
"","psychophysics","16","160239","0.0-16.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","5968","key"," "," ","16.683156424581025","500","250","ml","180","-24","29","17","-14","",""
"","psychophysics","17","166863","0.0-17.0","5d5035c5d87393001af70561","62572a4cef06efa46bcba3df","","","","","6621","key"," "," ","16.682936868686866","500","250","ml","154","-36","-24","27","-14","",""
