"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","4092","0.0-0.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4099","0.0-1.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8928","0.0-2.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","4807","key"," "," ","16.710570934256058","500","250","inst","","","","","","",""
"","psychophysics","3","17125","0.0-3.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","8188","key"," "," ","16.664511201629328","500","250","inst","","","","","","",""
"","psychophysics","4","44037","0.0-4.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","26873","key"," "," ","16.66560904584882","500","250","instMl","246","-41","23","26","-41","",""
"","psychophysics","5","53116","0.0-5.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","9073","key"," "," ","16.66577573529412","500","250","instMl","164","-27.333333333333332","-29","-29","-27.333333333333314","",""
"","psychophysics","6","164661","0.0-6.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","111538","key"," "," ","16.668037214168287","500","250","inst","","","","","","",""
"","psychophysics","7","172732","0.0-7.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","8065","key"," "," ","16.665430641821928","500","250","ml","214","-9","-8","-5","-26","",""
"","psychophysics","8","177196","0.0-8.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","4448","key"," "," ","16.665906367041167","500","250","ml","154","31","-18","29","-21","",""
"","psychophysics","9","180156","0.0-9.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","2950","key"," "," ","16.665288135593187","500","250","ml","230","-3","-30","-9","-21","",""
"","psychophysics","10","185285","0.0-10.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","5124","key"," "," ","16.66541368078178","500","250","ml","232","-35","30","-5","-23","",""
"","psychophysics","11","190019","0.0-11.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","4728","key"," "," ","16.6655512367491","500","250","ml","218","5","0","-12","-18","",""
"","psychophysics","12","196044","0.0-12.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","6020","key"," "," ","16.665300000000006","500","250","ml","248","-55","-13","18","-22","",""
"","psychophysics","13","199933","0.0-13.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","3880","key"," "," ","16.665549356223192","500","250","ml","186","14","-20","-30","-24","",""
"","psychophysics","14","204300","0.0-14.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","4362","key"," "," ","16.666172413793156","500","250","ml","156","-5","-29","-14","-21","",""
"","psychophysics","15","211740","0.0-15.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","7434","key"," "," ","16.665552808988767","500","250","ml","184","41","19","25","-19","",""
"","psychophysics","16","217596","0.0-16.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","5851","key"," "," ","16.66572000000002","500","250","ml","208","46","12","-11","-16","",""
"","psychophysics","17","224156","0.0-17.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","6552","key"," "," ","16.665656488549626","500","250","ml","238","-39","11","-6","-26","",""
"","psychophysics","18","227658","0.0-18.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","3498","key"," "," ","16.66473684210523","500","250","ml","162","-34","26","17","-29","",""
"","psychophysics","19","231460","0.0-19.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","3798","key"," "," ","16.666259911894183","500","250","ml","224","-44","-28","-6","-30","",""
"","psychophysics","20","237500","0.0-20.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","6031","key"," "," ","16.665696132596654","500","250","ml","210","32","19","-13","-21","",""
"","psychophysics","21","241733","0.0-21.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","4228","key"," "," ","16.665865612648133","500","250","ml","230","3","-21","-13","-26","",""
"","psychophysics","22","243460","0.0-22.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","1721","key"," "," ","16.66561764705893","500","250","inst","","","","","","",""
"","psychophysics","23","256308","0.0-23.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","12837","key"," "," ","16.665671428571404","500","250","instPog","","","","","160","130",""
"","psychophysics","24","274436","0.0-24.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","18117","key"," "," ","16.66561453541857","500","250","instPog","","","","","156","130",""
"","psychophysics","25","282708","0.0-25.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","8268","key"," "," ","16.66554343434347","500","250","instPog","","","","","157","130",""
"","psychophysics","26","286372","0.0-26.0","5d67d4393fcbbc0019f3e1a4","62574c292c6ed3496afcb9b6","","","","","3655","key"," "," ","16.665894977168975","500","250","inst","","","","","","",""
