"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","12321","0.0-0.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","","","","","","","","","","","","","","",""
"true","preload","1","12328","0.0-1.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","56133","0.0-2.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","43694","key"," "," ","21.464576470588238","499.4999851137404","249.7499925568702","inst","","","","","","",""
"","psychophysics","3","75611","0.0-3.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","19441","key"," "," ","18.429181818181817","500","250","inst","","","","","","",""
"","psychophysics","4","121098","0.0-4.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","45402","key"," "," ","17.529143407864307","500","250","instMl","212","-35.333333333333336","-15","28","-20.333333333333314","",""
"","psychophysics","5","189502","0.0-5.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","68382","key"," "," ","24.245838355193197","500","250","instMl","150","-25","-7","30","-16","",""
"","psychophysics","6","201979","0.0-6.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","12418","key"," "," ","17.604687411598338","500","250","inst","","","","","","",""
"","psychophysics","7","212705","0.0-7.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","10695","key"," "," ","17.563386885245897","500","250","ml","222","18","1","-26","-22","",""
"","psychophysics","8","219490","0.0-8.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","6753","key"," "," ","18.136117962466482","500","250","ml","228","51","-18","30","-15","",""
"","psychophysics","9","224987","0.0-9.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","5472","key"," "," ","17.40253333333327","500","250","ml","182","9","-12","17","-7","",""
"","psychophysics","10","231418","0.0-10.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","6404","key"," "," ","17.337486486486473","500","250","ml","162","-22","-4","-27","-11","",""
"","psychophysics","11","236320","0.0-11.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","4883","key"," "," ","17.43559285714291","500","250","ml","196","-35","-20","-14","-13","",""
"","psychophysics","12","240415","0.0-12.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","4061","key"," "," ","17.595646551724148","500","250","ml","208","-1","-22","-9","-4","",""
"","psychophysics","13","246763","0.0-13.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","6320","key"," "," ","17.488214876033084","500","250","ml","212","42","-13","3","-9","",""
"","psychophysics","14","249065","0.0-14.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","2269","key"," "," ","17.431015384615435","500","250","ml","248","-2","2","-15","-3","",""
"","psychophysics","15","254394","0.0-15.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","5296","key"," "," ","18.202664383561494","500","250","ml","194","-39","-19","2","-15","",""
"","psychophysics","16","265810","0.0-16.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","11395","key"," "," ","18.80661386138617","500","250","ml","194","46","2","-1","-9","",""
"","psychophysics","17","271292","0.0-17.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","5451","key"," "," ","18.217119999999994","500","250","ml","162","-20","-5","-11","-14","",""
"","psychophysics","18","283572","0.0-18.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","12255","key"," "," ","18.03416470588238","500","250","ml","158","38","-23","0","-12","",""
"","psychophysics","19","290090","0.0-19.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","6481","key"," "," ","17.848882191780834","500","250","ml","164","6","-20","-3","-9","",""
"","psychophysics","20","296698","0.0-20.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","6573","key"," "," ","17.50396276595742","500","250","ml","206","36","14","10","-11","",""
"","psychophysics","21","301987","0.0-21.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","5263","key"," "," ","17.37451973684208","500","250","ml","220","26","22","9","-3","",""
"","psychophysics","22","305587","0.0-22.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","3540","key"," "," ","17.646945812807676","500","250","inst","","","","","","",""
"","psychophysics","23","332115","0.0-23.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","26465","key"," "," ","17.59135458167332","500","250","instPog","","","","","130","130",""
"","psychophysics","24","373486","0.0-24.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","41336","key"," "," ","17.650062286689412","500","250","instPog","","","","","131","130",""
"","psychophysics","25","391243","0.0-25.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","17729","key"," "," ","17.589506958250492","500","250","instPog","","","","","133","130",""
"","psychophysics","26","402450","0.0-26.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","11191","key"," "," ","17.974601286173616","500","250","inst","","","","","","",""
"","psychophysics","27","428177","0.0-27.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","25704","key"," "," ","17.501338325391433","500","250","pog","","","","","155","153",""
"","psychophysics","28","441936","0.0-28.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","13688","key"," "," ","17.805893782383375","500","250","pog","","","","","170","170",""
"","psychophysics","29","442138","0.0-29.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","176","key"," "," ","16.662000000000592","500","250","pog","","","","","160","156",""
"","psychophysics","30","442218","0.0-30.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","51","key"," "," ","16.661999999982072","500","250","pog","","","","","160","178",""
"","psychophysics","31","459134","0.0-31.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","16904","key"," "," ","17.955963829787265","500","250","pog","","","","","125","123",""
"","psychophysics","32","471975","0.0-32.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","12816","key"," "," ","17.623269230769218","500","250","pog","","","","","151","139",""
"","psychophysics","33","486529","0.0-33.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","14527","key"," "," ","17.61122909090912","500","250","pog","","","","","139","136",""
"","psychophysics","34","500259","0.0-34.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","13708","key"," "," ","17.85992156862741","500","250","pog","","","","","134","129",""
"","psychophysics","35","512736","0.0-35.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","12451","key"," "," ","18.010369942196668","500","250","pog","","","","","158","161",""
"","psychophysics","36","538403","0.0-36.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","25647","key"," "," ","17.84386648122391","500","250","pog","","","","","182","176",""
"","psychophysics","37","548882","0.0-37.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","10449","key"," "," ","18.10584748700157","500","250","pog","","","","","167","169",""
"","psychophysics","38","567179","0.0-38.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","18265","key"," "," ","17.90105283757343","500","250","pog","","","","","135","127",""
"","psychophysics","39","580639","0.0-39.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","13394","key"," "," ","18.344111869031295","500","250","pog","","","","","200","192",""
"","psychophysics","40","593829","0.0-40.0","5dcf6d762e4a050ac2cba07d","6257548d14ba715d8acf7ab0","","","","","13153","key"," "," ","17.5272703062583","500","250","pog","","","","","147","141",""
