"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3696","0.0-0.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3701","0.0-1.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","5656","0.0-2.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","1942","key"," "," ","17.180353982300886","500","250","inst","","","","","","",""
"","psychophysics","3","6645","0.0-3.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","980","key"," "," ","16.66474576271187","500","250","inst","","","","","","",""
"","psychophysics","4","24386","0.0-4.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","17737","key"," "," ","16.66444026340546","500","250","instMl","154","-25.666666666666668","-19","5","-24.666666666666686","",""
"","psychophysics","5","37580","0.0-5.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","13187","key"," "," ","16.66442477876106","500","250","instMl","150","-25","-18","-22","-23","",""
"","psychophysics","6","40531","0.0-6.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","2949","key"," "," ","16.66465909090907","500","250","inst","","","","","","",""
"","psychophysics","7","46741","0.0-7.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","6206","key"," "," ","16.661989247311816","500","250","ml","212","24","11","-18","-23","",""
"","psychophysics","8","51081","0.0-8.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","4338","key"," "," ","16.66471042471041","500","250","ml","202","-35","-1","-9","-24","",""
"","psychophysics","9","57872","0.0-9.0","5dd497b6238a9147bc6413f7","62575190fb8b1dc8cea40e69","","","","","6781","key"," "," ","16.664717444717446","500","250","ml","230","47","-13","20","-22","",""
