"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2942","0.0-0.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2950","0.0-1.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","10267","0.0-2.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","7285","key"," "," ","16.686897260273973","499.4444576752042","249.44445105246572","inst","","","","","","",""
"","psychophysics","3","13626","0.0-3.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","3344","key"," "," ","16.649651741293532","499.4444576752042","249.44445105246572","inst","","","","","","",""
"","psychophysics","4","33916","0.0-4.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","20260","key"," "," ","16.649773399014776","499.4444576752042","249.44445105246572","instMl","224","-37.333333333333336","10","13","-25.333333333333314","",""
"","psychophysics","5","51703","0.0-5.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","17762","key"," "," ","16.6653818011257","499.4444576752042","249.44445105246572","instMl","250","-41.666666666666664","-17","30","-20.666666666666686","",""
"","psychophysics","6","56744","0.0-6.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","5024","key"," "," ","16.649698675496698","499.4444576752042","249.44445105246572","inst","","","","","","",""
"","psychophysics","7","60493","0.0-7.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","3737","key"," "," ","16.649919642857153","499.4444576752042","249.44445105246572","ml","160","-13","23","14","-13","",""
"","psychophysics","8","69757","0.0-8.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","9252","key"," "," ","16.649665467625898","499.4444576752042","249.44445105246572","ml","226","18","-26","-25","-14","",""
"","psychophysics","9","74182","0.0-9.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","4414","key"," "," ","16.649886363636334","499.4444576752042","249.44445105246572","ml","152","5","-9","2","-8","",""
"","psychophysics","10","82093","0.0-10.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","7900","key"," "," ","16.649690526315794","499.4444576752042","249.44445105246572","ml","222","32","-26","28","-14","",""
"","psychophysics","11","87362","0.0-11.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","5259","key"," "," ","16.64990793650795","499.4444576752042","249.44445105246572","ml","196","14","-26","20","-12","",""
"","psychophysics","12","93773","0.0-12.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","6398","key"," "," ","16.649877604166665","499.4444576752042","249.44445105246572","ml","214","21","2","-9","-15","",""
"","psychophysics","13","99280","0.0-13.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","5495","key"," "," ","16.64947272727273","499.4444576752042","249.44445105246572","ml","164","-26","8","-11","-22","",""
"","psychophysics","14","105620","0.0-14.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","6334","key"," "," ","16.649634210526326","499.4444576752042","249.44445105246572","ml","170","13","-11","4","-16","",""
"","psychophysics","15","111073","0.0-15.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","5446","key"," "," ","16.650159509202467","499.4444576752042","249.44445105246572","ml","194","40","-24","20","-13","",""
"","psychophysics","16","121037","0.0-16.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","9950","key"," "," ","16.649852842809377","499.4444576752042","249.44445105246572","ml","160","-36","-30","6","-18","",""
"","psychophysics","17","128008","0.0-17.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","6964","key"," "," ","16.649721822541988","499.4444576752042","249.44445105246572","ml","164","4","-16","20","-14","",""
"","psychophysics","18","134626","0.0-18.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","6613","key"," "," ","16.692063131313134","499.4444576752042","249.44445105246572","ml","234","-27","-18","12","-16","",""
"","psychophysics","19","149509","0.0-19.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","14876","key"," "," ","16.649763717805154","499.4444576752042","249.44445105246572","ml","184","45","-6","-12","-12","",""
"","psychophysics","20","155993","0.0-20.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","6477","key"," "," ","16.649770618556712","499.4444576752042","249.44445105246572","ml","220","23","-25","1","-12","",""
"","psychophysics","21","167406","0.0-21.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","11400","key"," "," ","16.649640875912432","499.4444576752042","249.44445105246572","ml","160","-8","-24","-14","-10","",""
"","psychophysics","22","170048","0.0-22.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","2636","key"," "," ","16.649847133757856","499.4444576752042","249.44445105246572","inst","","","","","","",""
"","psychophysics","23","188458","0.0-23.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","18367","key"," "," ","16.66482427536233","499.4444576752042","249.44445105246572","instPog","","","","","130","130",""
"","psychophysics","24","203696","0.0-24.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","15230","key"," "," ","16.649864332603933","499.4444576752042","249.44445105246572","instPog","","","","","136","130",""
"","psychophysics","25","224219","0.0-25.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","20511","key"," "," ","16.649751623376606","499.4444576752042","249.44445105246572","instPog","","","","","145","130",""
"","psychophysics","26","225632","0.0-26.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","1407","key"," "," ","16.649166666666652","499.4444576752042","249.44445105246572","inst","","","","","","",""
"","psychophysics","27","236457","0.0-27.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","10818","key"," "," ","16.649799691833593","499.4444576752042","249.44445105246572","pog","","","","","173","150",""
"","psychophysics","28","244195","0.0-28.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","7732","key"," "," ","16.649765086206852","499.4444576752042","249.44445105246572","pog","","","","","160","134",""
"","psychophysics","29","253706","0.0-29.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","9504","key"," "," ","16.649785964912276","499.4444576752042","249.44445105246572","pog","","","","","186","173",""
"","psychophysics","30","269363","0.0-30.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","15652","key"," "," ","16.64976783812568","499.4444576752042","249.44445105246572","pog","","","","","197","184",""
"","psychophysics","31","277198","0.0-31.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","7824","key"," "," ","16.6498212765958","499.4444576752042","249.44445105246572","pog","","","","","208","193",""
"","psychophysics","32","287923","0.0-32.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","10719","key"," "," ","16.649768273716916","499.4444576752042","249.44445105246572","pog","","","","","167","154",""
"","psychophysics","33","294555","0.0-33.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","6626","key"," "," ","16.649732997481006","499.4444576752042","249.44445105246572","pog","","","","","213","191",""
"","psychophysics","34","302239","0.0-34.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","7672","key"," "," ","16.64986767895874","499.4444576752042","249.44445105246572","pog","","","","","171","154",""
"","psychophysics","35","312736","0.0-35.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","10492","key"," "," ","16.6496947535771","499.4444576752042","249.44445105246572","pog","","","","","211","193",""
"","psychophysics","36","319444","0.0-36.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","6697","key"," "," ","16.649614427860744","499.4444576752042","249.44445105246572","pog","","","","","171","148",""
"","psychophysics","37","329396","0.0-37.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","9948","key"," "," ","16.649924623115584","499.4444576752042","249.44445105246572","pog","","","","","199","181",""
"","psychophysics","38","339592","0.0-38.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","10190","key"," "," ","16.649790507364973","499.4444576752042","249.44445105246572","pog","","","","","162","143",""
"","psychophysics","39","346861","0.0-39.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","7257","key"," "," ","16.64977064220181","499.4444576752042","249.44445105246572","pog","","","","","213","191",""
"","psychophysics","40","356681","0.0-40.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","9815","key"," "," ","16.64972665534807","499.4444576752042","249.44445105246572","pog","","","","","214","199",""
"","psychophysics","41","363358","0.0-41.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","6670","key"," "," ","16.649895000000107","499.4444576752042","249.44445105246572","pog","","","","","210","185",""
"","psychophysics","42","365026","0.0-42.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","1661","key"," "," ","16.65023232323195","499.4444576752042","249.44445105246572","inst","","","","","","",""
"","psychophysics","43","370895","0.0-43.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","5863","key"," "," ","16.890693641618647","499.4444576752042","249.44445105246572","instTilt","","","","","NaN","0","0"
"","psychophysics","44","374868","0.0-44.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","3959","key"," "," ","16.649848739495756","499.4444576752042","249.44445105246572","instTilt","","","","","0","0","0"
"","psychophysics","45","392327","0.0-45.0","5dda9b9a9d9e30a06d320ffb","625755cf7e99e79ac402a77d","","","","","17452","key"," "," ","16.681611483253576","499.4444576752042","249.44445105246572","instTilt","","","","","0","0","0"
