"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","4414","0.0-0.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4416","0.0-1.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","9486","0.0-2.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5053","key"," "," ","16.667519736842106","500","250","inst","","","","","","",""
"","psychophysics","3","11669","0.0-3.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","2180","key"," "," ","16.668404580152668","500","250","inst","","","","","","",""
"","psychophysics","4","46895","0.0-4.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","35224","key"," "," ","16.66717518939394","500","250","instMl","156","-26","-2","10","-24","",""
"","psychophysics","5","62592","0.0-5.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","15695","key"," "," ","16.667255047821463","500","250","instMl","246","-41","-12","-27","-14","",""
"","psychophysics","6","67585","0.0-6.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4989","key"," "," ","16.66707382550336","500","250","inst","","","","","","",""
"","psychophysics","7","73105","0.0-7.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5518","key"," "," ","16.66792145015104","500","250","ml","208","-31","-17","15","-9","",""
"","psychophysics","8","79698","0.0-8.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","6590","key"," "," ","16.667477157360416","500","250","ml","176","-38","17","-14","-7","",""
"","psychophysics","9","86843","0.0-9.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","7141","key"," "," ","16.667642523364496","500","250","ml","236","-50","-18","26","-9","",""
"","psychophysics","10","91131","0.0-10.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4286","key"," "," ","16.667140625000002","500","250","ml","186","3","-18","-16","-13","",""
"","psychophysics","11","99172","0.0-11.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","8038","key"," "," ","16.666973029045643","500","250","ml","210","38","29","-14","-14","",""
"","psychophysics","12","103772","0.0-12.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4598","key"," "," ","16.66725090909088","500","250","ml","244","0","5","-21","-21","",""
"","psychophysics","13","110669","0.0-13.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","6895","key"," "," ","16.66663834951456","500","250","ml","222","41","1","-11","-17","",""
"","psychophysics","14","116277","0.0-14.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5605","key"," "," ","16.667931547619055","500","250","ml","200","23","23","7","-17","",""
"","psychophysics","15","121045","0.0-15.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4767","key"," "," ","16.66670526315789","500","250","ml","170","1","-23","-12","-8","",""
"","psychophysics","16","125158","0.0-16.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4110","key"," "," ","16.66765853658539","500","250","ml","234","-33","20","19","-10","",""
"","psychophysics","17","129358","0.0-17.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4198","key"," "," ","16.66632669322712","500","250","ml","182","-33","22","11","-13","",""
"","psychophysics","18","134055","0.0-18.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4694","key"," "," ","16.667596428571414","500","250","ml","226","-44","-16","-14","-9","",""
"","psychophysics","19","139463","0.0-19.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5404","key"," "," ","16.66806172839512","500","250","ml","212","44","-2","-21","-14","",""
"","psychophysics","20","142904","0.0-20.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","3438","key"," "," ","16.66777073170737","500","250","ml","186","-40","18","-17","-12","",""
"","psychophysics","21","146608","0.0-21.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","3700","key"," "," ","16.66797297297301","500","250","ml","186","-37","-16","6","-14","",""
"","psychophysics","22","155585","0.0-22.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","8974","key"," "," ","16.667031657355672","500","250","inst","","","","","","",""
"","psychophysics","23","169370","0.0-23.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","13782","key"," "," ","16.667444309927372","500","250","instPog","","","","","130","130",""
"","psychophysics","24","182811","0.0-24.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","13439","key"," "," ","16.66719975186105","500","250","instPog","","","","","130","130",""
"","psychophysics","25","189652","0.0-25.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","6838","key"," "," ","16.667391198043983","500","250","instPog","","","","","142","130",""
"","psychophysics","26","191836","0.0-26.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","2182","key"," "," ","16.66695384615383","500","250","inst","","","","","","",""
"","psychophysics","27","195500","0.0-27.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","3662","key"," "," ","16.667114155251134","500","250","pog","","","","","159","147",""
"","psychophysics","28","204733","0.0-28.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","9231","key"," "," ","16.66743399638339","500","250","pog","","","","","139","126",""
"","psychophysics","29","209549","0.0-29.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4814","key"," "," ","16.666718750000047","500","250","pog","","","","","192","178",""
"","psychophysics","30","216782","0.0-30.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","7230","key"," "," ","16.66671593533486","500","250","pog","","","","","210","194",""
"","psychophysics","31","221622","0.0-31.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4837","key"," "," ","16.666951557093462","500","250","pog","","","","","167","152",""
"","psychophysics","32","226095","0.0-32.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4471","key"," "," ","16.667940298507467","500","250","pog","","","","","175","159",""
"","psychophysics","33","231376","0.0-33.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5279","key"," "," ","16.667158227848148","500","250","pog","","","","","205","183",""
"","psychophysics","34","236928","0.0-34.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5551","key"," "," ","16.66712650602411","500","250","pog","","","","","150","131",""
"","psychophysics","35","244512","0.0-35.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","7581","key"," "," ","16.667057268722495","500","250","pog","","","","","164","147",""
"","psychophysics","36","250497","0.0-36.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5982","key"," "," ","16.666860335195544","500","250","pog","","","","","189","170",""
"","psychophysics","37","255410","0.0-37.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4909","key"," "," ","16.667143344709892","500","250","pog","","","","","183","162",""
"","psychophysics","38","259114","0.0-38.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","3701","key"," "," ","16.667545045044946","500","250","pog","","","","","173","152",""
"","psychophysics","39","262250","0.0-39.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","3133","key"," "," ","16.667122994652605","500","250","pog","","","","","169","142",""
"","psychophysics","40","267995","0.0-40.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5742","key"," "," ","16.667311046511777","500","250","pog","","","","","151","133",""
"","psychophysics","41","273660","0.0-41.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5661","key"," "," ","16.66730769230766","500","250","pog","","","","","219","197",""
"","psychophysics","42","275563","0.0-42.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","1896","key"," "," ","16.6693684210528","500","250","inst","","","","","","",""
"","psychophysics","43","279796","0.0-43.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4230","key"," "," ","16.73300793650791","500","250","instTilt","","","","","NaN","0","0"
"","psychophysics","44","283020","0.0-44.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","3222","key"," "," ","16.667088541666697","500","250","instTilt","","","","","0","0","0"
"","psychophysics","45","300102","0.0-45.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","17080","key"," "," ","16.6670400390625","500","250","instTilt","","","","","3","0","0"
"","psychophysics","46","302094","0.0-46.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","1990","key"," "," ","16.666008403361385","500","250","inst","","","","","","",""
"","psychophysics","47","307358","0.0-47.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5261","key"," "," ","16.666859872611372","500","250","tilt","","","","","-4","-2","1"
"","psychophysics","48","312111","0.0-48.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4751","key"," "," ","16.667242105263327","500","250","tilt","","","","","-6","-3","1"
"","psychophysics","49","317670","0.0-49.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5558","key"," "," ","16.667210843373567","500","250","tilt","","","","","7","8","0"
"","psychophysics","50","323439","0.0-50.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5764","key"," "," ","16.667750724637713","500","250","tilt","","","","","-3","4","1"
"","psychophysics","51","330823","0.0-51.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","7382","key"," "," ","16.667309954751133","500","250","tilt","","","","","1","0","0"
"","psychophysics","52","337096","0.0-52.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","6270","key"," "," ","16.667784574468083","500","250","tilt","","","","","-7","-4","1"
"","psychophysics","53","343057","0.0-53.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5959","key"," "," ","16.667014044943805","500","250","tilt","","","","","6","10","0"
"","psychophysics","54","347929","0.0-54.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4870","key"," "," ","16.6677842465754","500","250","tilt","","","","","-3","-5","0"
"","psychophysics","55","353394","0.0-55.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5462","key"," "," ","16.667585889570468","500","250","tilt","","","","","2","6","1"
"","psychophysics","56","358826","0.0-56.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5428","key"," "," ","16.66770461538466","500","250","tilt","","","","","-5","-1","1"
"","psychophysics","57","367811","0.0-57.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","8981","key"," "," ","16.667600371747202","500","250","tilt","","","","","-7","-4","1"
"","psychophysics","58","374540","0.0-58.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","6726","key"," "," ","16.667285359801554","500","250","tilt","","","","","6","9","1"
"","psychophysics","59","378821","0.0-59.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4279","key"," "," ","16.667046875000096","500","250","tilt","","","","","2","8","1"
"","psychophysics","60","383101","0.0-60.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4278","key"," "," ","16.667441406249964","500","250","tilt","","","","","2","7","1"
"","psychophysics","61","388430","0.0-61.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","5324","key"," "," ","16.667144654088055","500","250","tilt","","","","","-5","-7","0"
"","psychophysics","62","393198","0.0-62.0","5de7f5d27c17f804d007da90","625753371438100a4e027adf","","","","","4764","key"," "," ","16.667993006992912","500","250","tilt","","","","","-11","-10","1"
