"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","15296","0.0-0.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","","","","","","","","","","","","","","",""
"true","preload","1","15300","0.0-1.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","19294","0.0-2.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","3967","key"," "," ","6.992288966725047","500","250","inst","","","","","","",""
"","psychophysics","3","21073","0.0-3.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","1776","key"," "," ","6.943305882352947","500","250","inst","","","","","","",""
"","psychophysics","4","34327","0.0-4.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","13248","key"," "," ","6.9439858490566015","500","250","instMl","212","-35.333333333333336","30","-24","-26.333333333333258","",""
"","psychophysics","5","41819","0.0-5.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","7488","key"," "," ","6.944065862708714","500","250","instMl","170","-28.333333333333332","-28","-17","-22.333333333333314","",""
"","psychophysics","6","46450","0.0-6.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","4628","key"," "," ","6.943144144144152","500","250","inst","","","","","","",""
"","psychophysics","7","50502","0.0-7.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","4049","key"," "," ","6.943969072164948","500","250","ml","194","-35","-22","-25","-23","",""
"","psychophysics","8","55105","0.0-8.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","4598","key"," "," ","6.943974320241692","500","250","ml","236","-45","-26","6","-27","",""
"","psychophysics","9","61632","0.0-9.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","6524","key"," "," ","6.943203407880722","500","250","ml","204","-7","6","-9","-23","",""
"","psychophysics","10","66123","0.0-10.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","4487","key"," "," ","6.943568111455117","500","250","ml","236","-6","14","30","-26","",""
"","psychophysics","11","69162","0.0-11.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","3032","key"," "," ","6.943878718535482","500","250","ml","238","-19","0","-19","-23","",""
"","psychophysics","12","71185","0.0-12.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","2020","key"," "," ","6.943144827586216","500","250","ml","246","-26","8","9","-28","",""
"","psychophysics","13","76649","0.0-13.0","5e0d6973946e974df5ccc57d","625755980fe9618595e96d9b","","","","","5460","key"," "," ","6.944212468193382","500","250","ml","154","27","5","-14","-16","",""
