"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2941","0.0-0.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2946","0.0-1.0","5e574010f269721002764a53","625754d40fe9618595e96d92","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7531","0.0-2.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","4578","key"," "," ","0.38951036005434786","500","250","inst","","","","","","",""
"","psychophysics","3","8727","0.0-3.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","1193","key"," "," ","0.3645827996340344","500","250","inst","","","","","","",""
"","psychophysics","4","28492","0.0-4.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","19762","key"," "," ","0.36773686854591126","500","250","instMl","208","-34.666666666666664","10","22","-18.666666666666686","",""
"","psychophysics","5","36675","0.0-5.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","8180","key"," "," ","0.36694067796610164","500","250","instMl","242","-40.333333333333336","15","-13","-20.333333333333314","",""
"","psychophysics","6","39795","0.0-6.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","3118","key"," "," ","0.3586691573744111","500","250","inst","","","","","","",""
"","psychophysics","7","44139","0.0-7.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","4342","key"," "," ","0.36003738705131405","500","250","ml","150","-25","-24","-10","-13","",""
"","psychophysics","8","48751","0.0-8.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","4610","key"," "," ","0.3551873844731981","500","250","ml","162","-40","-15","-20","-15","",""
"","psychophysics","9","52915","0.0-9.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","4162","key"," "," ","0.35367167855929343","500","250","ml","154","-18","-5","-5","-19","",""
"","psychophysics","10","57671","0.0-10.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","4754","key"," "," ","0.3585292875989443","500","250","ml","160","21","-8","-22","-10","",""
"","psychophysics","11","63360","0.0-11.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","5686","key"," "," ","0.355780446612873","500","250","ml","204","20","-18","-14","-14","",""
"","psychophysics","12","67175","0.0-12.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","3814","key"," "," ","0.3635043826219516","500","250","ml","160","18","2","-6","-9","",""
"","psychophysics","13","75627","0.0-13.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","8450","key"," "," ","0.35825317904374365","500","250","ml","224","26","-1","-25","-13","",""
"","psychophysics","14","77843","0.0-14.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","2214","key"," "," ","0.3599559707554825","500","250","ml","182","-7","8","-8","-10","",""
"","psychophysics","15","83499","0.0-15.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","5654","key"," "," ","0.3578086290883782","500","250","ml","178","35","18","21","-16","",""
"","psychophysics","16","86752","0.0-16.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","3250","key"," "," ","0.35496736164174214","500","250","ml","188","-20","-17","1","-20","",""
"","psychophysics","17","89372","0.0-17.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","2618","key"," "," ","0.36555464061409737","500","250","ml","188","-19","23","9","-19","",""
"","psychophysics","18","91676","0.0-18.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","2302","key"," "," ","0.3581904539801008","500","250","ml","208","-9","-1","-2","-18","",""
"","psychophysics","19","97220","0.0-19.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","5543","key"," "," ","0.3587233725896205","500","250","ml","168","18","2","23","-15","",""
"","psychophysics","20","106144","0.0-20.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","8922","key"," "," ","0.35988989715668485","500","250","ml","154","27","11","17","-15","",""
"","psychophysics","21","113340","0.0-21.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","7194","key"," "," ","0.3612431848988397","500","250","ml","212","-35","13","-4","-19","",""
"","psychophysics","22","114988","0.0-22.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","1646","key"," "," ","0.3634872021182718","500","250","inst","","","","","","",""
"","psychophysics","23","129712","0.0-23.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","14722","key"," "," ","0.363881694387465","500","250","instPog","","","","","130","130",""
"","psychophysics","24","144689","0.0-24.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","14975","key"," "," ","0.3650766399336955","500","250","instPog","","","","","131","130",""
"","psychophysics","25","155925","0.0-25.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","11235","key"," "," ","0.3647515015746236","500","250","instPog","","","","","137","130",""
"","psychophysics","26","158240","0.0-26.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","2312","key"," "," ","0.3658811818612753","500","250","inst","","","","","","",""
"","psychophysics","27","163716","0.0-27.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","5475","key"," "," ","0.3590890550200001","500","250","pog","","","","","181","181",""
"","psychophysics","28","167456","0.0-28.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","3738","key"," "," ","0.3583381563817553","500","250","pog","","","","","151","138",""
"","psychophysics","29","171024","0.0-29.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","3566","key"," "," ","0.3605316289409859","500","250","pog","","","","","147","130",""
"","psychophysics","30","173148","0.0-30.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","2122","key"," "," ","0.3652177502580011","500","250","pog","","","","","155","138",""
"","psychophysics","31","182032","0.0-31.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","8882","key"," "," ","0.36570036636067893","500","250","pog","","","","","136","122",""
"","psychophysics","32","185677","0.0-32.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","3642","key"," "," ","0.36342738878914804","500","250","pog","","","","","160","152",""
"","psychophysics","33","190633","0.0-33.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","4954","key"," "," ","0.3611265758216148","500","250","pog","","","","","144","132",""
"","psychophysics","34","196293","0.0-34.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","5658","key"," "," ","0.36483130277831477","500","250","pog","","","","","157","147",""
"","psychophysics","35","198809","0.0-35.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","2514","key"," "," ","0.3638738790859159","500","250","pog","","","","","163","162",""
"","psychophysics","36","201137","0.0-36.0","5e574010f269721002764a53","625754d40fe9618595e96d92","","","","","2326","key"," "," ","0.36824446202531536","500","250","pog","","","","","161","161",""
