"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3482","0.0-0.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3487","0.0-1.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7602","0.0-2.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","4076","key"," "," ","16.80858775510204","500","250","inst","","","","","","",""
"","psychophysics","3","9230","0.0-3.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","1623","key"," "," ","16.671958762886593","500","250","inst","","","","","","",""
"","psychophysics","4","23502","0.0-4.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","14267","key"," "," ","16.671893567251463","500","250","instMl","182","-30.333333333333332","-6","-8","-17.333333333333314","",""
"","psychophysics","5","30109","0.0-5.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","6603","key"," "," ","16.67190632911392","500","250","instMl","238","-39.666666666666664","25","-11","-19.666666666666742","",""
"","psychophysics","6","32277","0.0-6.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","2165","key"," "," ","16.671945736434083","500","250","inst","","","","","","",""
"","psychophysics","7","35735","0.0-7.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","3452","key"," "," ","16.672043689320382","500","250","ml","162","-20","15","-19","-19","",""
"","psychophysics","8","38165","0.0-8.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","2425","key"," "," ","16.67220689655173","500","250","ml","220","-6","-28","27","-13","",""
"","psychophysics","9","46326","0.0-9.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","8153","key"," "," ","16.6719836400818","500","250","ml","208","-36","16","-16","-15","",""
"","psychophysics","10","51109","0.0-10.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","4779","key"," "," ","16.671979020979002","500","250","ml","178","0","16","14","-14","",""
"","psychophysics","11","59975","0.0-11.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","8840","key"," "," ","16.672016981132064","500","250","ml","212","-48","-4","11","-15","",""
"","psychophysics","12","61997","0.0-12.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","2016","key"," "," ","16.67141322314045","500","250","ml","212","-2","-19","28","-11","",""
"","psychophysics","13","67220","0.0-13.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","5219","key"," "," ","16.72500964630226","500","250","ml","248","60","9","4","-17","",""
"","psychophysics","14","74782","0.0-14.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","7559","key"," "," ","16.708845132743367","500","250","ml","194","-48","21","-19","-15","",""
"","psychophysics","15","80477","0.0-15.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","5692","key"," "," ","16.671838235294125","500","250","ml","150","6","9","16","-15","",""
"","psychophysics","16","86173","0.0-16.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","5688","key"," "," ","16.67208211143697","500","250","ml","172","-36","16","-5","-16","",""
"","psychophysics","17","89844","0.0-17.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","3668","key"," "," ","16.67183105022828","500","250","ml","192","0","-8","-8","-15","",""
"","psychophysics","18","96964","0.0-18.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","7111","key"," "," ","16.672049295774627","500","250","ml","232","48","10","-23","-15","",""
"","psychophysics","19","102691","0.0-19.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","5720","key"," "," ","16.720318713450297","500","250","ml","200","32","-23","-14","-10","",""
"","psychophysics","20","105140","0.0-20.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","2447","key"," "," ","16.67277397260278","500","250","ml","228","-18","-26","20","-19","",""
"","psychophysics","21","110508","0.0-21.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","5364","key"," "," ","16.67165420560746","500","250","ml","246","2","29","-10","-16","",""
"","psychophysics","22","111991","0.0-22.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","1479","key"," "," ","16.672137931034428","500","250","inst","","","","","","",""
"","psychophysics","23","122564","0.0-23.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","10567","key"," "," ","16.69802685624012","500","250","instPog","","","","","130","130",""
"","psychophysics","24","132060","0.0-24.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","9492","key"," "," ","16.671806338028162","500","250","instPog","","","","","144","130",""
"","psychophysics","25","140317","0.0-25.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","8250","key"," "," ","16.671969696969697","500","250","instPog","","","","","159","130",""
"","psychophysics","26","143230","0.0-26.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","2910","key"," "," ","16.671774566474014","500","250","inst","","","","","","",""
"","psychophysics","27","147364","0.0-27.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","4127","key"," "," ","16.67189878542511","500","250","pog","","","","","154","120",""
"","psychophysics","28","155260","0.0-28.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","7889","key"," "," ","16.671991543340408","500","250","pog","","","","","221","197",""
"","psychophysics","29","157700","0.0-29.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","2436","key"," "," ","16.671613793103585","500","250","pog","","","","","159","134",""
"","psychophysics","30","167884","0.0-30.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","10178","key"," "," ","16.67194918032786","500","250","pog","","","","","182","167",""
"","psychophysics","31","175948","0.0-31.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","8060","key"," "," ","16.671828157349932","500","250","pog","","","","","225","200",""
"","psychophysics","32","184204","0.0-32.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","8253","key"," "," ","16.671852226720627","500","250","pog","","","","","182","163",""
"","psychophysics","33","194540","0.0-33.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","10333","key"," "," ","16.67188045234249","500","250","pog","","","","","170","145",""
"","psychophysics","34","206076","0.0-34.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","11533","key"," "," ","16.67194066570186","500","250","pog","","","","","187","166",""
"","psychophysics","35","211117","0.0-35.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","5039","key"," "," ","16.672325581395334","500","250","pog","","","","","224","190",""
"","psychophysics","36","213683","0.0-36.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","2560","key"," "," ","16.67211764705884","500","250","pog","","","","","146","128",""
"","psychophysics","37","218291","0.0-37.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","4600","key"," "," ","16.671956521739208","500","250","pog","","","","","206","186",""
"","psychophysics","38","223731","0.0-38.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","5437","key"," "," ","16.67191692307699","500","250","pog","","","","","177","155",""
"","psychophysics","39","224876","0.0-39.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","1142","key"," "," ","16.672397058823503","500","250","pog","","","","","160","133",""
"","psychophysics","40","232403","0.0-40.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","7525","key"," "," ","16.672004444444447","500","250","pog","","","","","199","172",""
"","psychophysics","41","234451","0.0-41.0","5e6e47d4bd8f7d3f6b956611","62574fc839070e64553d0408","","","","","2045","key"," "," ","16.672083333333283","500","250","pog","","","","","160","138",""
