"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3160","0.0-0.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3165","0.0-1.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","6725","0.0-2.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","3554","key"," "," ","16.661408450704226","500","250","inst","","","","","","",""
"","psychophysics","3","8136","0.0-3.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","1410","key"," "," ","16.660714285714274","500","250","inst","","","","","","",""
"","psychophysics","4","21511","0.0-4.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","13372","key"," "," ","16.682421972534332","500","250","instMl","216","-36","29","9","-18","",""
"","psychophysics","5","29979","0.0-5.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","8467","key"," "," ","16.661656804733727","500","250","instMl","192","-32","-13","0","-14","",""
"","psychophysics","6","33484","0.0-6.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","3504","key"," "," ","16.661531100478463","500","250","inst","","","","","","",""
"","psychophysics","7","39865","0.0-7.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","6378","key"," "," ","16.661256544502614","500","250","ml","220","-47","12","17","-18","",""
"","psychophysics","8","42060","0.0-8.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","2193","key"," "," ","16.661832061068736","500","250","ml","158","-18","20","-20","-20","",""
"","psychophysics","9","44903","0.0-9.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","2842","key"," "," ","16.661647058823505","500","250","ml","168","-1","22","26","-11","",""
"","psychophysics","10","50928","0.0-10.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","6024","key"," "," ","16.66144444444443","500","250","ml","230","30","0","17","-7","",""
"","psychophysics","11","53340","0.0-11.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","2408","key"," "," ","16.661805555555574","500","250","ml","232","1","26","-27","-15","",""
"","psychophysics","12","56018","0.0-12.0","5ec67c1f9d0f0906b783865f","62575590e44b32e8ca204ad4","","","","","2677","key"," "," ","16.661749999999984","500","250","ml","222","-32","-14","0","-18","",""
