"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3704","0.0-0.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3717","0.0-1.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7557","0.0-2.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","3809","key"," "," ","16.854657894736846","500","250","inst","","","","","","",""
"","psychophysics","3","9555","0.0-3.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","1988","key"," "," ","16.700428571428578","500","250","inst","","","","","","",""
"","psychophysics","4","54693","0.0-4.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","45132","key"," "," ","16.700005551443375","500","250","instMl","234","-39","-23","-21","-23","",""
"","psychophysics","5","75067","0.0-5.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","20367","key"," "," ","16.69999425758819","500","250","instMl","214","-35.666666666666664","-16","0","-19.666666666666686","",""
"","psychophysics","6","81061","0.0-6.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","5988","key"," "," ","16.700396648044688","500","250","inst","","","","","","",""
"","psychophysics","7","95227","0.0-7.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","14160","key"," "," ","16.69966824085005","500","250","ml","180","23","6","-28","-15","",""
"","psychophysics","8","141894","0.0-8.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","46663","key"," "," ","16.699973147153596","500","250","ml","226","-17","8","18","-18","",""
"","psychophysics","9","242008","0.0-9.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","100104","key"," "," ","16.699981815148487","500","250","ml","192","10","-16","-2","-17","",""
"","psychophysics","10","260849","0.0-10.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","18832","key"," "," ","16.70009316770187","500","250","ml","166","-9","5","8","-13","",""
"","psychophysics","11","278933","0.0-11.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","18076","key"," "," ","16.69987985212571","500","250","ml","216","-16","-6","18","-17","",""
"","psychophysics","12","318238","0.0-12.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","39297","key"," "," ","16.70001444963877","500","250","ml","224","-37","0","20","-18","",""
"","psychophysics","13","341139","0.0-13.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","22895","key"," "," ","16.699984671532842","500","250","ml","202","-41","-14","5","-17","",""
"","psychophysics","14","371325","0.0-14.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","30177","key"," "," ","16.69986164914224","500","250","ml","218","-34","-24","-15","-19","",""
"","psychophysics","15","409061","0.0-15.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","37730","key"," "," ","16.700027015057557","500","250","ml","190","13","5","6","-17","",""
"","psychophysics","16","439004","0.0-16.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","29934","key"," "," ","16.69997377232143","500","250","ml","152","36","13","-9","-11","",""
"","psychophysics","17","464336","0.0-17.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","25325","key"," "," ","16.699979551451182","500","250","ml","170","-23","17","30","-13","",""
"","psychophysics","18","522724","0.0-18.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","58379","key"," "," ","16.69992477116706","500","250","ml","192","20","-19","7","-13","",""
"","psychophysics","19","543316","0.0-19.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","20585","key"," "," ","16.699890422077935","500","250","ml","226","20","-18","17","-14","",""
"","psychophysics","20","635132","0.0-20.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","91810","key"," "," ","16.69999490631255","500","250","ml","168","28","24","19","-12","",""
"","psychophysics","21","649895","0.0-21.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","14757","key"," "," ","16.700024915062258","500","250","ml","192","10","6","27","-13","",""
"","psychophysics","22","652168","0.0-22.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","2267","key"," "," ","16.69997037037069","500","250","inst","","","","","","",""
"","psychophysics","23","729748","0.0-23.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","77575","key"," "," ","16.700017441860478","500","250","instPog","","","","","131","130",""
"","psychophysics","24","931106","0.0-24.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","201348","key"," "," ","16.69998399270134","500","250","instPog","","","","","221","130",""
"","psychophysics","25","975144","0.0-25.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","44032","key"," "," ","16.70000303490136","500","250","instPog","","","","","153","130",""
"","psychophysics","26","981632","0.0-26.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","6482","key"," "," ","16.699770025839758","500","250","inst","","","","","","",""
"","psychophysics","27","995922","0.0-27.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","14282","key"," "," ","16.700244444444483","500","250","pog","","","","","222","194",""
"","psychophysics","28","1008989","0.0-28.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","13061","key"," "," ","16.700295774648012","500","250","pog","","","","","160","136",""
"","psychophysics","29","1025751","0.0-29.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","16754","key"," "," ","16.699964107676983","500","250","pog","","","","","179","161",""
"","psychophysics","30","1040223","0.0-30.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","14468","key"," "," ","16.699959584295655","500","250","pog","","","","","151","129",""
"","psychophysics","31","1048439","0.0-31.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","8209","key"," "," ","16.700114052953264","500","250","pog","","","","","161","137",""
"","psychophysics","32","1070149","0.0-32.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","21705","key"," "," ","16.69998922247889","500","250","pog","","","","","155","134",""
"","psychophysics","33","1081126","0.0-33.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","10972","key"," "," ","16.69993292682956","500","250","pog","","","","","151","126",""
"","psychophysics","34","1112518","0.0-34.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","31386","key"," "," ","16.699956891963833","500","250","pog","","","","","186","169",""
"","psychophysics","35","1200663","0.0-35.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","88140","key"," "," ","16.699985029372748","500","250","pog","","","","","208","189",""
"","psychophysics","36","1208175","0.0-36.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","7507","key"," "," ","16.69989086859673","500","250","pog","","","","","160","144",""
"","psychophysics","37","1268796","0.0-37.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","60615","key"," "," ","16.700000000000014","500","250","pog","","","","","143","128",""
"","psychophysics","38","1296444","0.0-38.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","27643","key"," "," ","16.700017533252666","500","250","pog","","","","","194","180",""
"","psychophysics","39","1328382","0.0-39.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","31931","key"," "," ","16.69994194560663","500","250","pog","","","","","146","126",""
"","psychophysics","40","1354834","0.0-40.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","26448","key"," "," ","16.69987113076434","500","250","pog","","","","","146","129",""
"","psychophysics","41","1367554","0.0-41.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","12713","key"," "," ","16.699756578947294","500","250","pog","","","","","176","162",""
"","psychophysics","42","1370151","0.0-42.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","2588","key"," "," ","16.70074838709627","500","250","inst","","","","","","",""
"","psychophysics","43","1375242","0.0-43.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","5081","key"," "," ","16.699615131579584","500","250","instTilt","","","","","NaN","0","0"
"","psychophysics","44","1379667","0.0-44.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","4419","key"," "," ","16.70002272727222","500","250","instTilt","","","","","0","0","0"
"","psychophysics","45","1423338","0.0-45.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","43665","key"," "," ","16.699963274674793","500","250","instTilt","","","","","1","0","0"
"","psychophysics","46","1430238","0.0-46.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","6894","key"," "," ","16.700354368932256","500","250","inst","","","","","","",""
"","psychophysics","47","1449976","0.0-47.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","19732","key"," "," ","16.69994072819635","500","250","tilt","","","","","-5","-7","0"
"","psychophysics","48","1498770","0.0-48.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","48789","key"," "," ","16.69996850393701","500","250","tilt","","","","","3","7","1"
"","psychophysics","49","1513852","0.0-49.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","15075","key"," "," ","16.70010753880263","500","250","tilt","","","","","-5","-3","1"
"","psychophysics","50","1536565","0.0-50.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","22705","key"," "," ","16.699988226637224","500","250","tilt","","","","","7","10","1"
"","psychophysics","51","1562245","0.0-51.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","25674","key"," "," ","16.699975260416675","500","250","tilt","","","","","3","6","1"
"","psychophysics","52","1572603","0.0-52.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","10348","key"," "," ","16.699670967741703","500","250","tilt","","","","","-5","-3","1"
"","psychophysics","53","1582774","0.0-53.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","10165","key"," "," ","16.69988157894726","500","250","tilt","","","","","-6","-6","0"
"","psychophysics","54","1609936","0.0-54.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","27157","key"," "," ","16.699957538461454","500","250","tilt","","","","","4","8","1"
"","psychophysics","55","1622524","0.0-55.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","12578","key"," "," ","16.699747675962705","500","250","tilt","","","","","3","3","0"
"","psychophysics","56","1627361","0.0-56.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","4832","key"," "," ","16.700200692041548","500","250","tilt","","","","","8","10","0"
"","psychophysics","57","1633269","0.0-57.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","5900","key"," "," ","16.69999715909084","500","250","tilt","","","","","1","1","0"
"","psychophysics","58","1642926","0.0-58.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","9649","key"," "," ","16.69994463667815","500","250","tilt","","","","","6","10","1"
"","psychophysics","59","1651005","0.0-59.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","8071","key"," "," ","16.70060580912871","500","250","tilt","","","","","1","4","1"
"","psychophysics","60","1659510","0.0-60.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","8497","key"," "," ","16.700137524557718","500","250","tilt","","","","","0","0","0"
"","psychophysics","61","1669414","0.0-61.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","9897","key"," "," ","16.70004391891888","500","250","tilt","","","","","-11","-10","1"
"","psychophysics","62","1682717","0.0-62.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","13297","key"," "," ","16.700127044025187","500","250","tilt","","","","","2","5","1"
"","psychophysics","63","1690479","0.0-63.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","7755","key"," "," ","16.700150862068703","500","250","tilt","","","","","6","8","1"
"","psychophysics","64","1706324","0.0-64.0","5ef764821269f404a08607d7","625758858a1203721bdf81c7","","","","","15836","key"," "," ","16.69992088607585","500","250","tilt","","","","","-6","-7","0"
