"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2821","0.0-0.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2824","0.0-1.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","6140","0.0-2.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","3306","key"," "," ","6.082913761467889","500","250","inst","","","","","","",""
"","psychophysics","3","7606","0.0-3.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","1464","key"," "," ","11.235123076923076","500","250","inst","","","","","","",""
"","psychophysics","4","7878","0.0-4.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","270","key"," "," ","13.397210526315815","500","250","instMl","182","-30.333333333333332","3","-22","-30.333333333333314","",""
"","psychophysics","5","16159","0.0-5.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","8279","key"," "," ","13.342875806451616","500","250","instMl","180","-30","6","22","-30","",""
"","psychophysics","6","21536","0.0-6.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","5374","key"," "," ","13.342141791044778","500","250","inst","","","","","","",""
"","psychophysics","7","27400","0.0-7.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","5862","key"," "," ","13.335933940774485","500","250","ml","194","35","-8","-4","35","",""
"","psychophysics","8","29543","0.0-8.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","2141","key"," "," ","13.340792452830176","500","250","ml","152","-5","15","-5","-5","",""
"","psychophysics","9","31175","0.0-9.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","1630","key"," "," ","13.36307377049179","500","250","ml","236","-54","17","-23","-54","",""
"","psychophysics","10","36321","0.0-10.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","5144","key"," "," ","13.336273437500003","500","250","ml","156","18","0","16","-9","",""
"","psychophysics","11","40197","0.0-11.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","3873","key"," "," ","13.33315517241381","500","250","ml","210","-47","16","-20","-24","",""
"","psychophysics","12","42398","0.0-12.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","2199","key"," "," ","13.340439024390257","500","250","ml","180","-29","13","-21","-15","",""
"","psychophysics","13","44928","0.0-13.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","2528","key"," "," ","13.339486772486776","500","250","ml","168","4","26","-9","-19","",""
"","psychophysics","14","46763","0.0-14.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","1833","key"," "," ","13.368772058823572","500","250","ml","180","14","-5","-27","-8","",""
"","psychophysics","15","48717","0.0-15.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","1952","key"," "," ","13.323780821917788","500","250","ml","186","-40","8","-18","-20","",""
"","psychophysics","16","50362","0.0-16.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","1642","key"," "," ","13.362909836065585","500","250","ml","192","-29","-12","-6","-14","",""
"","psychophysics","17","51779","0.0-17.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","1416","key"," "," ","13.333238095238077","500","250","ml","214","-8","17","-19","-19","",""
"","psychophysics","18","53550","0.0-18.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","1769","key"," "," ","13.360659090909119","500","250","ml","164","-40","12","0","-22","",""
"","psychophysics","19","56037","0.0-19.0","5f540c0d1ed01f77d9512fac","625755aeeddd56b39e10e38a","","","","","2485","key"," "," ","13.326499999999996","500","250","ml","160","29","-28","11","-11","",""
