"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2994","0.0-0.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2996","0.0-1.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8253","0.0-2.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","5257","key"," "," ","6.9452380952380945","500","250","inst","","","","","","",""
"","psychophysics","3","10053","0.0-3.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","1798","key"," "," ","6.945193798449615","500","250","inst","","","","","","",""
"","psychophysics","4","26477","0.0-4.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","16423","key"," "," ","6.951160033869602","500","250","instMl","224","-37.333333333333336","-19","13","-20.333333333333314","",""
"","psychophysics","5","49621","0.0-5.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","23142","key"," "," ","6.9452716901831275","500","250","instMl","232","-38.666666666666664","4","-29","-21.666666666666686","",""
"","psychophysics","6","53829","0.0-6.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","4207","key"," "," ","6.945256198347103","500","250","inst","","","","","","",""
"","psychophysics","7","56093","0.0-7.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2263","key"," "," ","6.94535384615384","500","250","ml","218","-18","12","28","-21","",""
"","psychophysics","8","60021","0.0-8.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3927","key"," "," ","6.95751332149201","500","250","ml","212","29","-2","15","-16","",""
"","psychophysics","9","62973","0.0-9.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2951","key"," "," ","6.945330188679245","500","250","ml","172","-3","-27","-8","-16","",""
"","psychophysics","10","65709","0.0-10.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2733","key"," "," ","6.94529262086514","500","250","ml","230","-35","17","22","-22","",""
"","psychophysics","11","68853","0.0-11.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3142","key"," "," ","6.960665188470055","500","250","ml","232","18","25","8","-24","",""
"","psychophysics","12","72517","0.0-12.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3662","key"," "," ","6.945313092979114","500","250","ml","236","33","-6","-11","-19","",""
"","psychophysics","13","75245","0.0-13.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2727","key"," "," ","6.963128205128193","500","250","ml","250","-45","-10","19","-18","",""
"","psychophysics","14","77365","0.0-14.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2118","key"," "," ","6.945114754098391","500","250","ml","208","8","20","11","-22","",""
"","psychophysics","15","81133","0.0-15.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3767","key"," "," ","6.945360443622925","500","250","ml","164","31","-6","0","-18","",""
"","psychophysics","16","83741","0.0-16.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2607","key"," "," ","6.945279999999989","500","250","ml","164","-2","26","-17","-19","",""
"","psychophysics","17","87973","0.0-17.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","4231","key"," "," ","6.945263157894739","500","250","ml","218","-36","13","21","-16","",""
"","psychophysics","18","89973","0.0-18.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","1999","key"," "," ","6.9453658536585605","500","250","ml","214","-8","6","19","-13","",""
"","psychophysics","19","93325","0.0-19.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3351","key"," "," ","6.945269709543589","500","250","ml","178","-32","6","13","-13","",""
"","psychophysics","20","97429","0.0-20.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","4103","key"," "," ","6.9453220338982895","500","250","ml","192","22","-8","-1","-15","",""
"","psychophysics","21","100269","0.0-21.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2839","key"," "," ","6.962364532019707","500","250","ml","182","32","14","-2","-11","",""
"","psychophysics","22","109053","0.0-22.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","8782","key"," "," ","6.945268987341766","500","250","inst","","","","","","",""
"","psychophysics","23","119949","0.0-23.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","10895","key"," "," ","6.945280612244896","500","250","instPog","","","","","130","130",""
"","psychophysics","24","125037","0.0-24.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","5087","key"," "," ","6.954746922024621","500","250","instPog","","","","","135","130",""
"","psychophysics","25","130253","0.0-25.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","5215","key"," "," ","6.95460614152201","500","250","instPog","","","","","148","130",""
"","psychophysics","26","131621","0.0-26.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","1367","key"," "," ","6.980923076923071","500","250","inst","","","","","","",""
"","psychophysics","27","137325","0.0-27.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","5704","key"," "," ","6.945268292682921","500","250","pog","","","","","181","156",""
"","psychophysics","28","141069","0.0-28.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3743","key"," "," ","6.95817504655495","500","250","pog","","","","","154","128",""
"","psychophysics","29","147133","0.0-29.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","6064","key"," "," ","6.945229357798188","500","250","pog","","","","","189","171",""
"","psychophysics","30","149565","0.0-30.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2432","key"," "," ","6.94532951289402","500","250","pog","","","","","162","141",""
"","psychophysics","31","155749","0.0-31.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","6183","key"," "," ","6.94523595505619","500","250","pog","","","","","139","121",""
"","psychophysics","32","159661","0.0-32.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3912","key"," "," ","6.945373665480458","500","250","pog","","","","","166","146",""
"","psychophysics","33","162141","0.0-33.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2480","key"," "," ","6.9452808988763755","500","250","pog","","","","","162","136",""
"","psychophysics","34","169797","0.0-34.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","7656","key"," "," ","6.945267938237957","500","250","pog","","","","","154","132",""
"","psychophysics","35","173693","0.0-35.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3896","key"," "," ","6.9452499999999935","500","250","pog","","","","","185","170",""
"","psychophysics","36","178677","0.0-36.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","4985","key"," "," ","6.954972067039079","500","250","pog","","","","","201","188",""
"","psychophysics","37","181357","0.0-37.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2679","key"," "," ","6.945246753246787","500","250","pog","","","","","167","158",""
"","psychophysics","38","185237","0.0-38.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3879","key"," "," ","6.957805755395646","500","250","pog","","","","","166","153",""
"","psychophysics","39","191573","0.0-39.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","6334","key"," "," ","6.945307017543886","500","250","pog","","","","","195","182",""
"","psychophysics","40","196493","0.0-40.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","4918","key"," "," ","6.955099150141627","500","250","pog","","","","","181","164",""
"","psychophysics","41","203037","0.0-41.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","6543","key"," "," ","6.952638297872352","500","250","pog","","","","","150","136",""
"","psychophysics","42","205589","0.0-42.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2551","key"," "," ","6.945395095367825","500","250","inst","","","","","","",""
"","psychophysics","43","209654","0.0-43.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","4062","key"," "," ","6.945273972602753","500","250","instTilt","","","","","NaN","0","0"
"","psychophysics","44","213469","0.0-44.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3815","key"," "," ","6.9452919708029","500","250","instTilt","","","","","0","0","0"
"","psychophysics","45","223709","0.0-45.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","10239","key"," "," ","6.945278154681137","500","250","instTilt","","","","","0","0","0"
"","psychophysics","46","226645","0.0-46.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2935","key"," "," ","6.945320665083091","500","250","inst","","","","","","",""
"","psychophysics","47","229845","0.0-47.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3198","key"," "," ","6.960435729847487","500","250","tilt","","","","","0","-2","0"
"","psychophysics","48","232117","0.0-48.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2271","key"," "," ","6.945337423312862","500","250","tilt","","","","","-6","-9","1"
"","psychophysics","49","236693","0.0-49.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","4575","key"," "," ","6.945288753799392","500","250","tilt","","","","","-7","-7","1"
"","psychophysics","50","239685","0.0-50.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2991","key"," "," ","6.9453023255814195","500","250","tilt","","","","","2","7","1"
"","psychophysics","51","242758","0.0-51.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3071","key"," "," ","6.9452154195011255","500","250","tilt","","","","","-5","-5","0"
"","psychophysics","52","245765","0.0-52.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3005","key"," "," ","6.945324074074085","500","250","tilt","","","","","-2","1","1"
"","psychophysics","53","248885","0.0-53.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3117","key"," "," ","6.945300668151388","500","250","tilt","","","","","4","8","1"
"","psychophysics","54","252685","0.0-54.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3798","key"," "," ","6.9580183486238445","500","250","tilt","","","","","-8","-8","0"
"","psychophysics","55","256181","0.0-55.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3495","key"," "," ","6.959041916167627","500","250","tilt","","","","","-5","-6","0"
"","psychophysics","56","259300","0.0-56.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3118","key"," "," ","6.9608948545861065","500","250","tilt","","","","","8","5","0"
"","psychophysics","57","261613","0.0-57.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2311","key"," "," ","6.945240963855355","500","250","tilt","","","","","1","1","1"
"","psychophysics","58","264821","0.0-58.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3207","key"," "," ","6.960434782608797","500","250","tilt","","","","","-8","-9","0"
"","psychophysics","59","268061","0.0-59.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3240","key"," "," ","6.960129032257984","500","250","tilt","","","","","1","-1","0"
"","psychophysics","60","272005","0.0-60.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3943","key"," "," ","6.945335689045932","500","250","tilt","","","","","6","7","0"
"","psychophysics","61","274941","0.0-61.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2935","key"," "," ","6.961805225653168","500","250","tilt","","","","","-2","0","1"
"","psychophysics","62","277941","0.0-62.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2999","key"," "," ","6.945290023201953","500","250","tilt","","","","","5","5","0"
"","psychophysics","63","282045","0.0-63.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","4103","key"," "," ","6.945288135593173","500","250","tilt","","","","","-2","-10","0"
"","psychophysics","64","284381","0.0-64.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2336","key"," "," ","6.9452537313432074","500","250","tilt","","","","","1","4","1"
"","psychophysics","65","287797","0.0-65.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3415","key"," "," ","6.945295315682309","500","250","tilt","","","","","6","6","0"
"","psychophysics","66","290637","0.0-66.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2839","key"," "," ","6.962309582309662","500","250","tilt","","","","","1","1","0"
"","psychophysics","67","293901","0.0-67.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","3263","key"," "," ","6.945373134328244","500","250","tilt","","","","","1","2","0"
"","psychophysics","68","295989","0.0-68.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2087","key"," "," ","6.945266666666721","500","250","tilt","","","","","0","1","1"
"","psychophysics","69","298133","0.0-69.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2143","key"," "," ","6.9452117263843425","500","250","tilt","","","","","-1","-2","1"
"","psychophysics","70","300797","0.0-70.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2662","key"," "," ","6.945326370757174","500","250","tilt","","","","","-5","-9","1"
"","psychophysics","71","302941","0.0-71.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2142","key"," "," ","6.945064935064988","500","250","tilt","","","","","-4","-7","1"
"","psychophysics","72","304853","0.0-72.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","1912","key"," "," ","6.945328467153352","500","250","tilt","","","","","6","6","0"
"","psychophysics","73","307717","0.0-73.0","5f7d026c6fd2421d2dc1af04","6257546d744a7d21b5aa1b72","","","","","2863","key"," "," ","6.962341463414629","500","250","tilt","","","","","-2","-7","0"
