"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","14804","0.0-0.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","","","","","","","","","","","","","","",""
"true","preload","1","14810","0.0-1.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","17308","0.0-2.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","2451","key"," "," ","16.86422297297299","500","250","inst","","","","","","",""
"","psychophysics","3","18306","0.0-3.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","986","key"," "," ","16.664949152542373","500","250","inst","","","","","","",""
"","psychophysics","4","28627","0.0-4.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","10315","key"," "," ","16.664805825242716","500","250","instMl","170","-28.333333333333332","-14","-21","-10.333333333333314","",""
"","psychophysics","5","38728","0.0-5.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","10074","key"," "," ","16.664504950495054","500","250","instMl","234","-39","22","13","-14","",""
"","psychophysics","6","41014","0.0-6.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","2281","key"," "," ","16.66324264705883","500","250","inst","","","","","","",""
"","psychophysics","7","45896","0.0-7.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","4876","key"," "," ","16.664246575342464","500","250","ml","218","7","-30","-18","-9","",""
"","psychophysics","8","50839","0.0-8.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","4938","key"," "," ","16.66509830508474","500","250","ml","250","39","-20","-13","-12","",""
"","psychophysics","9","56175","0.0-9.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","5322","key"," "," ","16.664434374999995","500","250","ml","222","38","-26","-19","-18","",""
"","psychophysics","10","62038","0.0-10.0","5fc6df58f380620a09116434","625752ddea54739f29f7f830","","","","","5858","key"," "," ","16.66470000000001","500","250","ml","212","8","27","-30","-12","",""
