"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3635","0.0-0.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3642","0.0-1.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","9701","0.0-2.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","6031","key"," "," ","16.805038781163432","500","250","inst","","","","","","",""
"","psychophysics","3","11598","0.0-3.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","1894","key"," "," ","16.666513274336275","500","250","inst","","","","","","",""
"","psychophysics","4","34296","0.0-4.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","22695","key"," "," ","16.666379867744308","500","250","instMl","176","-29.333333333333332","-11","-21","-16.333333333333314","",""
"","psychophysics","5","49676","0.0-5.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","15374","key"," "," ","16.666398479913134","500","250","instMl","178","-29.666666666666668","-24","15","-13.666666666666686","",""
"","psychophysics","6","54319","0.0-6.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","4623","key"," "," ","16.666201438848912","500","250","inst","","","","","","",""
"","psychophysics","7","59402","0.0-7.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","5041","key"," "," ","16.721211221122093","500","250","ml","234","18","-25","2","-17","",""
"","psychophysics","8","67114","0.0-8.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","7703","key"," "," ","16.666515151515153","500","250","ml","250","2","-5","-8","-16","",""
"","psychophysics","9","80649","0.0-9.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","13519","key"," "," ","16.66644636251543","500","250","ml","212","-38","-3","-22","-18","",""
"","psychophysics","10","87796","0.0-10.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","7137","key"," "," ","16.666196261682238","500","250","ml","168","38","26","-5","-15","",""
"","psychophysics","11","97228","0.0-11.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","9424","key"," "," ","16.666387610619452","500","250","ml","222","16","9","-25","-18","",""
"","psychophysics","12","107826","0.0-12.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","10592","key"," "," ","16.66621102362206","500","250","ml","172","20","-5","22","-13","",""
"","psychophysics","13","113811","0.0-13.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","5983","key"," "," ","16.66655865921787","500","250","ml","178","0","22","10","-13","",""
"","psychophysics","14","124485","0.0-14.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","10669","key"," "," ","16.692504702194356","500","250","ml","238","-35","2","1","-18","",""
"","psychophysics","15","129883","0.0-15.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","5384","key"," "," ","16.666424148606872","500","250","ml","162","-2","23","-29","-13","",""
"","psychophysics","16","139734","0.0-16.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","9838","key"," "," ","16.666299999999996","500","250","ml","154","-12","15","17","-12","",""
"","psychophysics","17","148084","0.0-17.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","8336","key"," "," ","16.666504000000014","500","250","ml","158","28","8","-23","-12","",""
"","psychophysics","18","158007","0.0-18.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","9909","key"," "," ","16.66645959595961","500","250","ml","156","-33","-12","24","-12","",""
"","psychophysics","19","166596","0.0-19.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","8580","key"," "," ","16.666357281553395","500","250","ml","188","-47","2","-7","-18","",""
"","psychophysics","20","179077","0.0-20.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","12476","key"," "," ","16.666300802139013","500","250","ml","212","-29","-27","-10","-15","",""
"","psychophysics","21","186794","0.0-21.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","7713","key"," "," ","16.66636580086581","500","250","ml","234","-43","-8","25","-13","",""
"","psychophysics","22","188943","0.0-22.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","2143","key"," "," ","16.666398437499993","500","250","inst","","","","","","",""
"","psychophysics","23","209194","0.0-23.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","20246","key"," "," ","16.666287479406936","500","250","instPog","","","","","130","130",""
"","psychophysics","24","226139","0.0-24.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","16937","key"," "," ","16.666257142857162","500","250","instPog","","","","","134","130",""
"","psychophysics","25","239481","0.0-25.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","13334","key"," "," ","16.666313750000008","500","250","instPog","","","","","142","130",""
"","psychophysics","26","242608","0.0-26.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","3117","key"," "," ","16.666786096256754","500","250","inst","","","","","","",""
"","psychophysics","27","249865","0.0-27.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","7221","key"," "," ","16.666400921659037","500","250","pog","","","","","182","173",""
"","psychophysics","28","261331","0.0-28.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","11455","key"," "," ","16.666270742358083","500","250","pog","","","","","200","191",""
"","psychophysics","29","287008","0.0-29.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","25669","key"," "," ","16.677197530864195","500","250","pog","","","","","146","138",""
"","psychophysics","30","295237","0.0-30.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","8216","key"," "," ","16.666243902439057","500","250","pog","","","","","131","122",""
"","psychophysics","31","312480","0.0-31.0","60051d10e63710373daee6e7","6257550f9bd4b9f5a4a75b08","","","","","17237","key"," "," ","16.666382011605407","500","250","pog","","","","","167","157",""
