"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","8125","0.0-0.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","","","","","","","","","","","","","","",""
"true","preload","1","8130","0.0-1.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","13759","0.0-2.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","5624","key"," "," ","13.891089108910892","500","250","inst","","","","","","",""
"","psychophysics","3","16981","0.0-3.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","3219","key"," "," ","13.891774891774892","500","250","inst","","","","","","",""
"","psychophysics","4","41670","0.0-4.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","24686","key"," "," ","13.888576252110298","500","250","instMl","192","-32","27","20","-12","",""
"","psychophysics","5","64221","0.0-5.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","22547","key"," "," ","13.888409371146732","500","250","instMl","208","-34.666666666666664","-16","-9","-12.666666666666686","",""
"","psychophysics","6","71182","0.0-6.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","6955","key"," "," ","13.87624750499002","500","250","inst","","","","","","",""
"","psychophysics","7","87739","0.0-7.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","16554","key"," "," ","13.88832913518052","500","250","ml","190","-16","24","19","-9","",""
"","psychophysics","8","113725","0.0-8.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","25982","key"," "," ","13.888770053475936","500","250","ml","158","37","27","1","-11","",""
"","psychophysics","9","128742","0.0-9.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","15013","key"," "," ","13.88888888888889","500","250","ml","250","-40","3","25","-6","",""
"","psychophysics","10","141895","0.0-10.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","13141","key"," "," ","13.887949260042284","500","250","ml","246","-19","-1","-25","-10","",""
"","psychophysics","11","155431","0.0-11.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","13527","key"," "," ","13.888090349075975","500","250","ml","154","-28","-1","-3","-8","",""
"","psychophysics","12","174160","0.0-12.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","18725","key"," "," ","13.888641425389755","500","250","ml","228","-38","-11","17","-12","",""
"","psychophysics","13","186662","0.0-13.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","12493","key"," "," ","13.884444444444444","500","250","ml","174","37","-2","13","-9","",""
"","psychophysics","14","197631","0.0-14.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","10963","key"," "," ","13.888324873096447","500","250","ml","160","-9","14","-11","-8","",""
"","psychophysics","15","211637","0.0-15.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","13997","key"," "," ","13.884920634920634","500","250","ml","174","18","-9","-27","-11","",""
"","psychophysics","16","226991","0.0-16.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","15350","key"," "," ","13.889492753623188","500","250","ml","242","-36","9","-19","-13","",""
"","psychophysics","17","250895","0.0-17.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","23894","key"," "," ","13.88611272515979","500","250","ml","242","11","-20","-1","-13","",""
"","psychophysics","18","269151","0.0-18.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","18251","key"," "," ","13.88880426504189","500","250","ml","222","40","-17","-7","-13","",""
"","psychophysics","19","281687","0.0-19.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","12531","key"," "," ","13.888026607538803","500","250","ml","152","6","15","-19","-9","",""
"","psychophysics","20","299337","0.0-20.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","17645","key"," "," ","13.888188976377952","500","250","ml","192","37","-6","11","-11","",""
"","psychophysics","21","308512","0.0-21.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","9170","key"," "," ","13.889226100151745","500","250","ml","184","22","30","6","-9","",""
"","psychophysics","22","325961","0.0-22.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","17438","key"," "," ","13.886146496815286","500","250","inst","","","","","","",""
"","psychophysics","23","349054","0.0-23.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","23089","key"," "," ","13.888621312462371","500","250","instPog","","","","","130","130",""
"","psychophysics","24","366840","0.0-24.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","17775","key"," "," ","13.8859375","500","250","instPog","","","","","131","130",""
"","psychophysics","25","385833","0.0-25.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","18988","key"," "," ","13.887344550109729","500","250","instPog","","","","","140","130",""
"","psychophysics","26","402279","0.0-26.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","16442","key"," "," ","13.889264581572274","500","250","inst","","","","","","",""
"","psychophysics","27","421046","0.0-27.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","18762","key"," "," ","13.888148148148149","500","250","pog","","","","","161","151",""
"","psychophysics","28","434111","0.0-28.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","13059","key"," "," ","13.88723404255319","500","250","pog","","","","","148","136",""
"","psychophysics","29","449775","0.0-29.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","15661","key"," "," ","13.888198757763975","500","250","pog","","","","","207","199",""
"","psychophysics","30","466407","0.0-30.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","16629","key"," "," ","13.887959866220736","500","250","pog","","","","","140","125",""
"","psychophysics","31","480183","0.0-31.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","13766","key"," "," ","13.886982845610495","500","250","pog","","","","","167","155",""
"","psychophysics","32","509031","0.0-32.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","28840","key"," "," ","13.888246628131022","500","250","pog","","","","","189","175",""
"","psychophysics","33","525480","0.0-33.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","16445","key"," "," ","13.88597972972973","500","250","pog","","","","","155","142",""
"","psychophysics","34","551585","0.0-34.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","26102","key"," "," ","13.888178913738018","500","250","pog","","","","","206","198",""
"","psychophysics","35","578200","0.0-35.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","26606","key"," "," ","13.886221294363256","500","250","pog","","","","","140","127",""
"","psychophysics","36","603888","0.0-36.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","25684","key"," "," ","13.88852813852814","500","250","pog","","","","","164","155",""
"","psychophysics","37","614001","0.0-37.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","10104","key"," "," ","13.884615384615385","500","250","pog","","","","","152","143",""
"","psychophysics","38","627615","0.0-38.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","13611","key"," "," ","13.888661899897855","500","250","pog","","","","","138","124",""
"","psychophysics","39","650952","0.0-39.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","23333","key"," "," ","13.888624181060155","500","250","pog","","","","","138","131",""
"","psychophysics","40","677489","0.0-40.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","26533","key"," "," ","13.88848167539267","500","250","pog","","","","","185","169",""
"","psychophysics","41","706129","0.0-41.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","28637","key"," "," ","13.88888888888889","500","250","pog","","","","","156","136",""
"","psychophysics","42","712056","0.0-42.0","602aaba2c2eb7c106100e516","625755eb35fdcae390bef8ba","","","","","5922","key"," "," ","13.887323943661972","500","250","inst","","","","","","",""
