"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","1939","0.0-0.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1944","0.0-1.0","6053ad542b81382607008fe2","625753655c5903843ff09989","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","3377","0.0-2.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1413","key"," "," ","16.685720930232556","500","250","inst","","","","","","",""
"","psychophysics","3","4237","0.0-3.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","856","key"," "," ","16.662921568627453","500","250","inst","","","","","","",""
"","psychophysics","4","13640","0.0-4.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","9400","key"," "," ","16.657898756660746","500","250","instMl","176","-29.333333333333332","7","26","-29.333333333333314","",""
"","psychophysics","5","20441","0.0-5.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","6794","key"," "," ","16.65794852941176","500","250","instMl","210","-35","-2","27","-35","",""
"","psychophysics","6","21564","0.0-6.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1119","key"," "," ","16.658606060606072","500","250","inst","","","","","","",""
"","psychophysics","7","28297","0.0-7.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","6731","key"," "," ","16.65801240694789","500","250","ml","198","10","24","11","-22","",""
"","psychophysics","8","31723","0.0-8.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","3419","key"," "," ","16.657253658536572","500","250","ml","158","24","-6","18","-19","",""
"","psychophysics","9","34313","0.0-9.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2586","key"," "," ","16.658857142857144","500","250","ml","150","-8","30","20","-22","",""
"","psychophysics","10","36001","0.0-10.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1681","key"," "," ","16.66135643564355","500","250","ml","222","-11","29","-5","-22","",""
"","psychophysics","11","37084","0.0-11.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1080","key"," "," ","16.65325000000007","500","250","ml","226","-15","-2","28","-15","",""
"","psychophysics","12","38344","0.0-12.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1257","key"," "," ","16.656364864864816","500","250","ml","240","-37","-20","8","-37","",""
"","psychophysics","13","40482","0.0-13.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2135","key"," "," ","16.657132812500038","500","250","ml","154","-31","0","19","-25","",""
"","psychophysics","14","45423","0.0-14.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","4939","key"," "," ","16.658942372881352","500","250","ml","158","-18","22","5","-12","",""
"","psychophysics","15","49816","0.0-15.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","4391","key"," "," ","16.659342205323192","500","250","ml","180","26","-25","19","-17","",""
"","psychophysics","16","52416","0.0-16.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2597","key"," "," ","16.657148387096775","500","250","ml","180","-5","14","29","-12","",""
"","psychophysics","17","54526","0.0-17.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2106","key"," "," ","16.659095238095254","500","250","ml","222","8","-3","30","-15","",""
"","psychophysics","18","55976","0.0-18.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1446","key"," "," ","16.66232558139534","500","250","ml","164","-38","24","-20","-23","",""
"","psychophysics","19","58685","0.0-19.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2706","key"," "," ","16.656265432098735","500","250","ml","192","45","16","21","-9","",""
"","psychophysics","20","60909","0.0-20.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2221","key"," "," ","16.65885606060604","500","250","ml","184","-41","-4","-10","-9","",""
"","psychophysics","21","62980","0.0-21.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2068","key"," "," ","16.65529268292685","500","250","ml","198","25","-18","-3","-8","",""
"","psychophysics","22","63755","0.0-22.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","769","key"," "," ","16.66597826086945","500","250","inst","","","","","","",""
"","psychophysics","23","76538","0.0-23.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","12781","key"," "," ","16.657421671018277","500","250","instPog","","","","","130","130",""
"","psychophysics","24","82966","0.0-24.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","6425","key"," "," ","16.65858181818179","500","250","instPog","","","","","144","130",""
"","psychophysics","25","87518","0.0-25.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","4548","key"," "," ","16.658496323529427","500","250","instPog","","","","","157","130",""
"","psychophysics","26","88638","0.0-26.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1115","key"," "," ","16.663283582089587","500","250","inst","","","","","","",""
"","psychophysics","27","91986","0.0-27.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","3344","key"," "," ","16.658315","500","250","pog","","","","","202","187",""
"","psychophysics","28","93136","0.0-28.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1145","key"," "," ","16.65851470588228","500","250","pog","","","","","158","127",""
"","psychophysics","29","95509","0.0-29.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2364","key"," "," ","16.658595744680806","500","250","pog","","","","","213","199",""
"","psychophysics","30","97042","0.0-30.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1530","key"," "," ","16.65320879120874","500","250","pog","","","","","173","135",""
"","psychophysics","31","98669","0.0-31.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1624","key"," "," ","16.65997938144341","500","250","pog","","","","","198","172",""
"","psychophysics","32","100847","0.0-32.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2176","key"," "," ","16.657453846153825","500","250","pog","","","","","188","156",""
"","psychophysics","33","103955","0.0-33.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","3105","key"," "," ","16.658751351351384","500","250","pog","","","","","203","170",""
"","psychophysics","34","106611","0.0-34.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2655","key"," "," ","16.657591194968557","500","250","pog","","","","","181","153",""
"","psychophysics","35","109799","0.0-35.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","3185","key"," "," ","16.659394736842046","500","250","pog","","","","","210","177",""
"","psychophysics","36","111941","0.0-36.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2139","key"," "," ","16.659648437499982","500","250","pog","","","","","207","169",""
"","psychophysics","37","113988","0.0-37.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2042","key"," "," ","16.65369672131151","500","250","pog","","","","","221","191",""
"","psychophysics","38","115733","0.0-38.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1744","key"," "," ","16.656233009708636","500","250","pog","","","","","181","145",""
"","psychophysics","39","118015","0.0-39.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2279","key"," "," ","16.658735294117566","500","250","pog","","","","","156","128",""
"","psychophysics","40","121161","0.0-40.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","3142","key"," "," ","16.657941489361697","500","250","pog","","","","","229","196",""
"","psychophysics","41","122225","0.0-41.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1061","key"," "," ","16.664206349206367","500","250","pog","","","","","160","126",""
"","psychophysics","42","122919","0.0-42.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","691","key"," "," ","16.662853658536488","500","250","inst","","","","","","",""
"","psychophysics","43","123424","0.0-43.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","503","key"," "," ","16.64386206896572","500","250","instTilt","","","","","NaN","0","0"
"","psychophysics","44","124641","0.0-44.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1215","key"," "," ","16.658680555555595","500","250","instTilt","","","","","0","0","0"
"","psychophysics","45","134099","0.0-45.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","9442","key"," "," ","16.657694885361554","500","250","instTilt","","","","","0","0","0"
"","psychophysics","46","134899","0.0-46.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","796","key"," "," ","16.65514893616993","500","250","inst","","","","","","",""
"","psychophysics","47","137269","0.0-47.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2367","key"," "," ","16.66042553191486","500","250","tilt","","","","","11","4","0"
"","psychophysics","48","139005","0.0-48.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1734","key"," "," ","16.658097087378497","500","250","tilt","","","","","10","9","0"
"","psychophysics","49","140646","0.0-49.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1635","key"," "," ","16.657693877550997","500","250","tilt","","","","","-21","-10","1"
"","psychophysics","50","142739","0.0-50.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2078","key"," "," ","16.660512000000104","500","250","tilt","","","","","3","5","1"
"","psychophysics","51","144555","0.0-51.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1814","key"," "," ","16.65328703703697","500","250","tilt","","","","","-8","-3","1"
"","psychophysics","52","146215","0.0-52.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1657","key"," "," ","16.660397959183793","500","250","tilt","","","","","-12","-9","0"
"","psychophysics","53","147796","0.0-53.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1578","key"," "," ","16.657882978723563","500","250","tilt","","","","","-8","-6","1"
"","psychophysics","54","150560","0.0-54.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2759","key"," "," ","16.65885454545443","500","250","tilt","","","","","8","5","1"
"","psychophysics","55","152080","0.0-55.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1518","key"," "," ","16.661588888888947","500","250","tilt","","","","","-9","-5","1"
"","psychophysics","56","153429","0.0-56.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1347","key"," "," ","16.658424999999987","500","250","tilt","","","","","-13","-10","1"
"","psychophysics","57","154238","0.0-57.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","804","key"," "," ","16.660229166667097","500","250","tilt","","","","","0","-7","1"
"","psychophysics","58","156302","0.0-58.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2054","key"," "," ","16.658188524590155","500","250","tilt","","","","","-10","-8","1"
"","psychophysics","59","157573","0.0-59.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1269","key"," "," ","16.661697368420917","500","250","tilt","","","","","-18","-7","0"
"","psychophysics","60","159021","0.0-60.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1445","key"," "," ","16.661034883720784","500","250","tilt","","","","","14","6","0"
"","psychophysics","61","161149","0.0-61.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2126","key"," "," ","16.657944881889602","500","250","tilt","","","","","-3","-2","0"
"","psychophysics","62","162499","0.0-62.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1346","key"," "," ","16.663149999999952","500","250","tilt","","","","","12","5","0"
"","psychophysics","63","163759","0.0-63.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1253","key"," "," ","16.6607027027026","500","250","tilt","","","","","9","4","0"
"","psychophysics","64","165224","0.0-64.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1460","key"," "," ","16.65712643678142","500","250","tilt","","","","","-6","-4","0"
"","psychophysics","65","166915","0.0-65.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1687","key"," "," ","16.66274257425748","500","250","tilt","","","","","10","8","1"
"","psychophysics","66","168442","0.0-66.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1524","key"," "," ","16.653890109889957","500","250","tilt","","","","","-13","-10","0"
"","psychophysics","67","170017","0.0-67.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1573","key"," "," ","16.657322580645097","500","250","tilt","","","","","-9","-6","0"
"","psychophysics","68","171452","0.0-68.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1432","key"," "," ","16.66352941176464","500","250","tilt","","","","","-6","-1","1"
"","psychophysics","69","172872","0.0-69.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1417","key"," "," ","16.65756470588214","500","250","tilt","","","","","-12","-6","1"
"","psychophysics","70","174887","0.0-70.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","2013","key"," "," ","16.655386554621924","500","250","tilt","","","","","-12","-3","1"
"","psychophysics","71","176861","0.0-71.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1970","key"," "," ","16.6604237288135","500","250","tilt","","","","","-12","-2","0"
"","psychophysics","72","178588","0.0-72.0","6053ad542b81382607008fe2","625753655c5903843ff09989","","","","","1723","key"," "," ","16.663514563106553","500","250","tilt","","","","","10","5","1"
