"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3377","0.0-0.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3378","0.0-1.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7278","0.0-2.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","3891","key"," "," ","16.666598290598287","500","250","inst","","","","","","",""
"","psychophysics","3","8727","0.0-3.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","1448","key"," "," ","16.666302325581412","500","250","inst","","","","","","",""
"","psychophysics","4","30613","0.0-4.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","21884","key"," "," ","16.666509908536586","500","250","instMl","160","-26.666666666666668","-17","-14","-17.666666666666686","",""
"","psychophysics","5","55700","0.0-5.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","25085","key"," "," ","16.66651362126246","500","250","instMl","246","-41","21","16","-20","",""
"","psychophysics","6","59626","0.0-6.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","3923","key"," "," ","16.666470085470078","500","250","inst","","","","","","",""
"","psychophysics","7","75019","0.0-7.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","15391","key"," "," ","16.66650379198267","500","250","ml","154","3","1","26","-18","",""
"","psychophysics","8","92929","0.0-8.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","17908","key"," "," ","16.666510717614162","500","250","ml","190","27","-17","15","-21","",""
"","psychophysics","9","108665","0.0-9.0","60c3ba02dfcf64dbe7ae0396","625756e332e470f7a6ab3985","","","","","15734","key"," "," ","16.66651059322034","500","250","ml","234","-52","-29","-17","-21","",""
