"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2733","0.0-0.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2738","0.0-1.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","6594","0.0-2.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","3840","key"," "," ","16.67316883116883","500","250","inst","","","","","","",""
"","psychophysics","3","7531","0.0-3.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","934","key"," "," ","16.67327272727272","500","250","inst","","","","","","",""
"","psychophysics","4","32089","0.0-4.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","24553","key"," "," ","16.673020380434785","500","250","instMl","194","-32.333333333333336","-18","-2","-11.333333333333314","",""
"","psychophysics","5","43118","0.0-5.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","11023","key"," "," ","16.67303636363636","500","250","instMl","204","-34","-3","-7","-7","",""
"","psychophysics","6","45701","0.0-6.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","2568","key"," "," ","16.673123376623376","500","250","inst","","","","","","",""
"","psychophysics","7","48792","0.0-7.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","3088","key"," "," ","16.673156756756754","500","250","ml","162","10","-2","30","-5","",""
"","psychophysics","8","54548","0.0-8.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","5750","key"," "," ","16.673037790697677","500","250","ml","162","22","29","14","-6","",""
"","psychophysics","9","59730","0.0-9.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","5180","key"," "," ","16.67302258064517","500","250","ml","204","2","15","12","-12","",""
"","psychophysics","10","64693","0.0-10.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","4957","key"," "," ","16.672996621621653","500","250","ml","160","-40","-23","-5","-13","",""
"","psychophysics","11","70407","0.0-11.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","5705","key"," "," ","16.67301169590643","500","250","ml","180","15","5","-23","-10","",""
"","psychophysics","12","75156","0.0-12.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","4746","key"," "," ","16.67299999999999","500","250","ml","190","46","1","-16","-7","",""
"","psychophysics","13","79573","0.0-13.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","4415","key"," "," ","16.67302651515153","500","250","ml","230","31","16","-6","-10","",""
"","psychophysics","14","82752","0.0-14.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","3174","key"," "," ","16.67295238095243","500","250","ml","200","-29","20","-17","-6","",""
"","psychophysics","15","87558","0.0-15.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","4797","key"," "," ","16.67302083333334","500","250","ml","192","45","-27","-27","-8","",""
"","psychophysics","16","91685","0.0-16.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","4120","key"," "," ","16.67308536585371","500","250","ml","234","-32","-7","12","-10","",""
"","psychophysics","17","95147","0.0-17.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","3454","key"," "," ","16.67303864734301","500","250","ml","176","-24","24","-20","-8","",""
"","psychophysics","18","100558","0.0-18.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","5405","key"," "," ","16.67298761609907","500","250","ml","208","48","23","-25","-17","",""
"","psychophysics","19","105470","0.0-19.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","4905","key"," "," ","16.6731700680272","500","250","ml","170","-29","-7","22","-9","",""
"","psychophysics","20","110603","0.0-20.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","5123","key"," "," ","16.672931596091242","500","250","ml","212","45","10","2","-11","",""
"","psychophysics","21","114019","0.0-21.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","3413","key"," "," ","16.673063725490234","500","250","ml","178","20","-14","-7","-10","",""
"","psychophysics","22","116418","0.0-22.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","2394","key"," "," ","16.672566433566406","500","250","inst","","","","","","",""
"","psychophysics","23","129817","0.0-23.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","13396","key"," "," ","16.673041147132164","500","250","instPog","","","","","130","130",""
"","psychophysics","24","160542","0.0-24.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","30716","key"," "," ","16.673019001085777","500","250","instPog","","","","","143","130",""
"","psychophysics","25","173629","0.0-25.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","13085","key"," "," ","16.673015306122448","500","250","instPog","","","","","142","130",""
"","psychophysics","26","177251","0.0-26.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","3615","key"," "," ","16.673018518518532","500","250","inst","","","","","","",""
"","psychophysics","27","181810","0.0-27.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","4553","key"," "," ","16.672860805860775","500","250","pog","","","","","185","184",""
"","psychophysics","28","189930","0.0-28.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","8115","key"," "," ","16.673002057613164","500","250","pog","","","","","151","139",""
"","psychophysics","29","196582","0.0-29.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","6646","key"," "," ","16.673005025125626","500","250","pog","","","","","148","136",""
"","psychophysics","30","204674","0.0-30.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","8087","key"," "," ","16.672987603305774","500","250","pog","","","","","199","196",""
"","psychophysics","31","211198","0.0-31.0","60e5d47e17c05633eef565e3","62574df909ab30a0a18bc94d","","","","","6519","key"," "," ","16.67311538461542","500","250","pog","","","","","151","145",""
