"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","5807","0.0-0.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5812","0.0-1.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","14979","0.0-2.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","9137","key"," "," ","16.690872495446268","500","250","inst","","","","","","",""
"","psychophysics","3","17732","0.0-3.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","2744","key"," "," ","16.660414634146324","500","250","inst","","","","","","",""
"","psychophysics","4","55806","0.0-4.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","38065","key"," "," ","16.66771278458844","500","250","instMl","194","-32.333333333333336","-5","30","-18.333333333333314","",""
"","psychophysics","5","86504","0.0-5.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","30694","key"," "," ","16.66041825095057","500","250","instMl","220","-36.666666666666664","-27","-22","-19.666666666666686","",""
"","psychophysics","6","94657","0.0-6.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","8146","key"," "," ","16.660417177914116","500","250","inst","","","","","","",""
"","psychophysics","7","107806","0.0-7.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","13145","key"," "," ","16.660418781725873","500","250","ml","182","-14","0","-17","-19","",""
"","psychophysics","8","116045","0.0-8.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","8234","key"," "," ","16.66041784989857","500","250","ml","156","4","-22","-16","-13","",""
"","psychophysics","9","124649","0.0-9.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","8595","key"," "," ","16.66041860465116","500","250","ml","178","-15","-12","-15","-16","",""
"","psychophysics","10","131385","0.0-10.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","6733","key"," "," ","16.660419354838723","500","250","ml","164","-10","28","30","-14","",""
"","psychophysics","11","138743","0.0-11.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","7347","key"," "," ","16.660419501133777","500","250","ml","180","11","26","-11","-15","",""
"","psychophysics","12","156917","0.0-12.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","18171","key"," "," ","16.660418348623853","500","250","ml","240","40","16","-23","-17","",""
"","psychophysics","13","169376","0.0-13.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","12456","key"," "," ","16.660418230562993","500","250","ml","246","51","23","-22","-17","",""
"","psychophysics","14","175143","0.0-14.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","5761","key"," "," ","16.660416184971144","500","250","ml","206","-41","-19","3","-16","",""
"","psychophysics","15","181101","0.0-15.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","5954","key"," "," ","16.660418539325832","500","250","ml","206","11","4","-26","-16","",""
"","psychophysics","16","188581","0.0-16.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","7471","key"," "," ","16.660419642857182","500","250","ml","216","31","1","16","-15","",""
"","psychophysics","17","203050","0.0-17.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","14461","key"," "," ","16.660418202764962","500","250","ml","244","-3","6","11","-20","",""
"","psychophysics","18","214159","0.0-18.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","11105","key"," "," ","16.660418045112802","500","250","ml","192","33","13","22","-17","",""
"","psychophysics","19","220986","0.0-19.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","6820","key"," "," ","16.660418092909545","500","250","ml","224","-40","12","12","-18","",""
"","psychophysics","20","229990","0.0-20.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","8985","key"," "," ","16.660418518518497","500","250","ml","230","-12","22","-15","-18","",""
"","psychophysics","21","236476","0.0-21.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","6483","key"," "," ","16.66041752577319","500","250","ml","226","-8","-19","-19","-18","",""
"","psychophysics","22","239935","0.0-22.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","3455","key"," "," ","16.660420289855047","500","250","inst","","","","","","",""
"","psychophysics","23","270977","0.0-23.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","31038","key"," "," ","16.660418904403873","500","250","instPog","","","","","130","130",""
"","psychophysics","24","311636","0.0-24.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","40656","key"," "," ","16.660418614186142","500","250","instPog","","","","","141","130",""
"","psychophysics","25","338035","0.0-25.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","26391","key"," "," ","16.66041856060606","500","250","instPog","","","","","157","130",""
"","psychophysics","26","342573","0.0-26.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","4535","key"," "," ","16.660416974169735","500","250","inst","","","","","","",""
"","psychophysics","27","351340","0.0-27.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","8760","key"," "," ","16.66041714285711","500","250","pog","","","","","202","165",""
"","psychophysics","28","365338","0.0-28.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","13970","key"," "," ","16.660417857142843","500","250","pog","","","","","172","139",""
"","psychophysics","29","369486","0.0-29.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","4145","key"," "," ","16.66045564516131","500","250","pog","","","","","156","120",""
"","psychophysics","30","391712","0.0-30.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","22223","key"," "," ","16.6604186046512","500","250","pog","","","","","183","140",""
"","psychophysics","31","398014","0.0-31.0","60ee4077cdf4f24a1c607783","6256d283d9363b58bb1953ad","","","","","6299","key"," "," ","16.660419098143244","500","250","pog","","","","","230","197",""
