"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3154","0.0-0.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3156","0.0-1.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7870","0.0-2.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","4700","key"," "," ","8.33349203539823","500","250","inst","","","","","","",""
"","psychophysics","3","8936","0.0-3.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","1062","key"," "," ","8.333393700787404","500","250","inst","","","","","","",""
"","psychophysics","4","26533","0.0-4.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","17594","key"," "," ","8.341305832147937","500","250","instMl","154","-25.666666666666668","-6","-29","-15.666666666666686","",""
"","psychophysics","5","42882","0.0-5.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","16347","key"," "," ","8.333409484956654","500","250","instMl","196","-32.666666666666664","-5","-2","-15.666666666666686","",""
"","psychophysics","6","51344","0.0-6.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","8460","key"," "," ","8.33340927021696","500","250","inst","","","","","","",""
"","psychophysics","7","62118","0.0-7.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","10772","key"," "," ","8.333409442724458","500","250","ml","174","-20","-8","3","-15","",""
"","psychophysics","8","68040","0.0-8.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","5920","key"," "," ","8.333409859154937","500","250","ml","174","-39","-18","16","-15","",""
"","psychophysics","9","78609","0.0-9.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","10567","key"," "," ","8.33343883188635","500","250","ml","180","-44","-24","10","-15","",""
"","psychophysics","10","95948","0.0-10.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","17337","key"," "," ","8.341421077959575","500","250","ml","204","37","19","-6","-18","",""
"","psychophysics","11","106717","0.0-11.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","10766","key"," "," ","8.346349883630715","500","250","ml","188","-16","10","20","-15","",""
"","psychophysics","12","116018","0.0-12.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","9299","key"," "," ","8.333454708520176","500","250","ml","194","9","-17","-2","-19","",""
"","psychophysics","13","122776","0.0-13.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","6756","key"," "," ","8.333403703703704","500","250","ml","152","0","-30","-21","-14","",""
"","psychophysics","14","130863","0.0-14.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","8084","key"," "," ","8.333459236326112","500","250","ml","186","-11","-29","-26","-17","",""
"","psychophysics","15","142034","0.0-15.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","11169","key"," "," ","8.345865470852026","500","250","ml","232","32","-13","-21","-18","",""
"","psychophysics","16","154426","0.0-16.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","12390","key"," "," ","8.333400403768499","500","250","ml","240","34","-23","9","-16","",""
"","psychophysics","17","163473","0.0-17.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","9045","key"," "," ","8.333391143911447","500","250","ml","240","13","19","-16","-18","",""
"","psychophysics","18","168114","0.0-18.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","4638","key"," "," ","8.333300359712235","500","250","ml","204","8","3","-16","-23","",""
"","psychophysics","19","178060","0.0-19.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","9944","key"," "," ","8.333417435037713","500","250","ml","248","23","-18","-15","-19","",""
"","psychophysics","20","190242","0.0-20.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","12180","key"," "," ","8.333400410677617","500","250","ml","240","27","-23","-21","-24","",""
"","psychophysics","21","197651","0.0-21.0","60fc7d423aa600bbb01b7813","62574cb3c65c2ecb62cf6e33","","","","","7407","key"," "," ","8.333397522522523","500","250","ml","248","-27","-16","-27","-21","",""
