"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","4798","0.0-0.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4803","0.0-1.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8078","0.0-2.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","3255","key"," "," ","16.656923469387763","500","250","inst","","","","","","",""
"","psychophysics","3","9057","0.0-3.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","974","key"," "," ","16.654999999999998","500","250","inst","","","","","","",""
"","psychophysics","4","23857","0.0-4.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","14786","key"," "," ","16.655423423423425","500","250","instMl","158","-26.333333333333332","1","-30","-22.333333333333314","",""
"","psychophysics","5","32737","0.0-5.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","8876","key"," "," ","16.65570676691729","500","250","instMl","152","-25.333333333333332","9","8","-17.333333333333314","",""
"","psychophysics","6","36383","0.0-6.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","3644","key"," "," ","16.656724770642224","500","250","inst","","","","","","",""
"","psychophysics","7","39911","0.0-7.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","3523","key"," "," ","16.654999999999973","500","250","ml","156","5","-4","-17","-10","",""
"","psychophysics","8","42879","0.0-8.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","2966","key"," "," ","16.654999999999987","500","250","ml","160","-13","-18","23","-11","",""
"","psychophysics","9","47587","0.0-9.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","4706","key"," "," ","16.656336879432622","500","250","ml","222","13","-28","-25","-12","",""
"","psychophysics","10","51944","0.0-10.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","4354","key"," "," ","16.655000000000012","500","250","ml","220","-8","28","21","-14","",""
"","psychophysics","11","57950","0.0-11.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","6002","key"," "," ","16.656044444444444","500","250","ml","180","9","4","-19","-15","",""
"","psychophysics","12","63514","0.0-12.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","5561","key"," "," ","16.655000000000015","500","250","ml","212","37","28","-29","-6","",""
"","psychophysics","13","71611","0.0-13.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","8095","key"," "," ","16.655775257731943","500","250","ml","236","46","-16","26","-12","",""
"","psychophysics","14","75137","0.0-14.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","3524","key"," "," ","16.65499999999994","500","250","ml","180","-19","-27","2","-17","",""
"","psychophysics","15","80913","0.0-15.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","5774","key"," "," ","16.656086705202338","500","250","ml","228","21","10","-3","-15","",""
"","psychophysics","16","86599","0.0-16.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","5683","key"," "," ","16.656108823529426","500","250","ml","240","-42","-8","-11","-15","",""
"","psychophysics","17","92417","0.0-17.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","5817","key"," "," ","16.65500000000001","500","250","ml","200","24","-22","16","-14","",""
"","psychophysics","18","96492","0.0-18.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","4070","key"," "," ","16.656540983606543","500","250","ml","166","-28","-1","13","-11","",""
"","psychophysics","19","102922","0.0-19.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","6429","key"," "," ","16.65500000000001","500","250","ml","190","32","-26","-5","-12","",""
"","psychophysics","20","104480","0.0-20.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","1555","key"," "," ","16.65499999999993","500","250","ml","228","-12","7","-11","-14","",""
"","psychophysics","21","108840","0.0-21.0","60fde4dee9fab6ac2c315eed","625754baedaa27aaa8611dca","","","","","4358","key"," "," ","16.65644615384618","500","250","ml","224","-48","11","-15","-21","",""
