"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2710","0.0-0.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2712","0.0-1.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7220","0.0-2.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","4500","key"," "," ","7.119421800947869","500","250","inst","","","","","","",""
"","psychophysics","3","8657","0.0-3.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","1434","key"," "," ","7.092074257425743","500","250","inst","","","","","","",""
"","psychophysics","4","29362","0.0-4.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","20700","key"," "," ","7.0943615490061696","500","250","instMl","240","-40","-27","3","-21","",""
"","psychophysics","5","45824","0.0-5.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","16458","key"," "," ","7.091928448275861","500","250","instMl","218","-36.333333333333336","22","16","-18.333333333333258","",""
"","psychophysics","6","49802","0.0-6.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","3974","key"," "," ","7.092001785714287","500","250","inst","","","","","","",""
"","psychophysics","7","58018","0.0-7.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","8213","key"," "," ","7.091873811581679","500","250","ml","168","33","8","-13","-12","",""
"","psychophysics","8","65418","0.0-8.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","7395","key"," "," ","7.091925215723871","500","250","ml","188","17","5","7","-12","",""
"","psychophysics","9","69770","0.0-9.0","60ff35391f843f3efdbb5973","625755e6a8b4b0e1ddf29bc5","","","","","4348","key"," "," ","7.091895424836586","500","250","ml","156","-22","-29","21","-19","",""
