"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3251","0.0-0.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3252","0.0-1.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7118","0.0-2.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","3853","key"," "," ","16.675150862068968","500","250","inst","","","","","","",""
"","psychophysics","3","8237","0.0-3.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","1117","key"," "," ","16.675424242424235","500","250","inst","","","","","","",""
"","psychophysics","4","19949","0.0-4.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","11709","key"," "," ","16.674861626248216","500","250","instMl","210","-35","1","3","-20","",""
"","psychophysics","5","29181","0.0-5.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","9229","key"," "," ","16.674824593128392","500","250","instMl","198","-33","-13","7","-17","",""
"","psychophysics","6","31997","0.0-6.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","2814","key"," "," ","16.674809523809536","500","250","inst","","","","","","",""
"","psychophysics","7","37277","0.0-7.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","5277","key"," "," ","16.67482857142856","500","250","ml","156","24","-23","-18","-11","",""
"","psychophysics","8","48333","0.0-8.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","11053","key"," "," ","16.674865558912384","500","250","ml","250","44","-14","30","-18","",""
"","psychophysics","9","56013","0.0-9.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","7677","key"," "," ","16.674958695652172","500","250","ml","160","-33","0","28","-13","",""
"","psychophysics","10","59389","0.0-10.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","3373","key"," "," ","16.674860696517435","500","250","ml","248","-52","18","3","-16","",""
"","psychophysics","11","63037","0.0-11.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","3645","key"," "," ","16.67492201834863","500","250","ml","160","36","19","-28","-12","",""
"","psychophysics","12","66573","0.0-12.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","3534","key"," "," ","16.674928909952587","500","250","ml","206","20","-27","-20","-18","",""
"","psychophysics","13","69229","0.0-13.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","2654","key"," "," ","16.67470440251567","500","250","ml","184","-20","29","-17","-21","",""
"","psychophysics","14","71821","0.0-14.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","2590","key"," "," ","16.674798701298666","500","250","ml","198","-22","-28","-29","-19","",""
"","psychophysics","15","75885","0.0-15.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","4062","key"," "," ","16.67478189300409","500","250","ml","186","24","-22","-2","-15","",""
"","psychophysics","16","80540","0.0-16.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","4653","key"," "," ","16.67490647482013","500","250","ml","242","32","4","30","-14","",""
"","psychophysics","17","85980","0.0-17.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","5438","key"," "," ","16.674920000000007","500","250","ml","180","-5","-24","-30","-17","",""
"","psychophysics","18","89389","0.0-18.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","3406","key"," "," ","16.674789215686236","500","250","ml","202","9","30","-29","-22","",""
"","psychophysics","19","92700","0.0-19.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","3309","key"," "," ","16.674852791878152","500","250","ml","158","30","-21","-23","-14","",""
"","psychophysics","20","97388","0.0-20.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","4686","key"," "," ","16.6748607142857","500","250","ml","210","46","-12","15","-16","",""
"","psychophysics","21","99949","0.0-21.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","2558","key"," "," ","16.674849673202665","500","250","ml","168","5","7","30","-19","",""
"","psychophysics","22","101372","0.0-22.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","1421","key"," "," ","16.674809523809625","500","250","inst","","","","","","",""
"","psychophysics","23","112204","0.0-23.0","6108c4101a5434271640ebf5","62572ab52abf71955f20a788","","","","","10830","key"," "," ","16.674835130970713","500","250","instPog","","","","","130","130",""
