"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3772","0.0-0.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3777","0.0-1.0","6111b8b600b79655a5381437","625756587b8018e08576e800","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","6985","0.0-2.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","3193","key"," "," ","16.70860416666667","500","250","inst","","","","","","",""
"","psychophysics","3","8073","0.0-3.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","1085","key"," "," ","16.67001562499999","500","250","inst","","","","","","",""
"","psychophysics","4","20390","0.0-4.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","12309","key"," "," ","16.66621409214092","500","250","instMl","218","-36.333333333333336","-28","-18","-22.333333333333314","",""
"","psychophysics","5","30876","0.0-5.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","10478","key"," "," ","16.665968203497616","500","250","instMl","176","-29.333333333333332","13","-16","-17.333333333333314","",""
"","psychophysics","6","34281","0.0-6.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","3402","key"," "," ","16.66652709359606","500","250","inst","","","","","","",""
"","psychophysics","7","41267","0.0-7.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","6983","key"," "," ","16.666574162679417","500","250","ml","204","30","-1","12","-19","",""
"","psychophysics","8","44642","0.0-8.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","3372","key"," "," ","16.66753465346533","500","250","ml","160","-11","-2","2","-20","",""
"","psychophysics","9","48945","0.0-9.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","4298","key"," "," ","16.667035019455252","500","250","ml","172","30","-26","-3","-18","",""
"","psychophysics","10","55406","0.0-10.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","6459","key"," "," ","16.66549740932642","500","250","ml","194","-11","7","-14","-22","",""
"","psychophysics","11","60074","0.0-11.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","4663","key"," "," ","16.66639642857143","500","250","ml","220","24","2","-9","-23","",""
"","psychophysics","12","64429","0.0-12.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","4351","key"," "," ","16.666042307692287","500","250","ml","176","-1","-1","-29","-15","",""
"","psychophysics","13","68577","0.0-13.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","4146","key"," "," ","16.6664637096774","500","250","ml","178","-41","-22","11","-14","",""
"","psychophysics","14","73716","0.0-14.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","5137","key"," "," ","16.66652442996745","500","250","ml","152","20","28","19","-13","",""
"","psychophysics","15","79304","0.0-15.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","5585","key"," "," ","16.665476047904193","500","250","ml","226","52","13","15","-16","",""
"","psychophysics","16","84743","0.0-16.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","5434","key"," "," ","16.666420245398808","500","250","ml","216","42","-25","-16","-21","",""
"","psychophysics","17","90975","0.0-17.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","6229","key"," "," ","16.66596246648796","500","250","ml","178","-38","-13","-7","-19","",""
"","psychophysics","18","94146","0.0-18.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","3169","key"," "," ","16.664841269841265","500","250","ml","158","25","18","3","-16","",""
"","psychophysics","19","97490","0.0-19.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","3342","key"," "," ","16.667179999999934","500","250","ml","206","-16","20","-19","-17","",""
"","psychophysics","20","102398","0.0-20.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","4904","key"," "," ","16.666105802047763","500","250","ml","218","47","-21","29","-19","",""
"","psychophysics","21","104152","0.0-21.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","1752","key"," "," ","16.668490384615396","500","250","ml","210","-14","-28","-6","-15","",""
"","psychophysics","22","106739","0.0-22.0","6111b8b600b79655a5381437","625756587b8018e08576e800","","","","","2580","key"," "," ","16.66740645161293","500","250","inst","","","","","","",""
