"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2760","0.0-0.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2763","0.0-1.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8273","0.0-2.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","5476","key"," "," ","16.74740548780488","499.6997111483671","249.84985557418355","inst","","","","","","",""
"","psychophysics","3","10599","0.0-3.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","2321","key"," "," ","16.69590647482014","499.6997111483671","249.84985557418355","inst","","","","","","",""
"","psychophysics","4","41285","0.0-4.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","30682","key"," "," ","16.695686445291237","499.6997111483671","249.84985557418355","instMl","156","-26","20","-11","-16","",""
"","psychophysics","5","58658","0.0-5.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","17374","key"," "," ","16.69560288461538","499.6997111483671","249.84985557418355","instMl","180","-30","10","-16","-19","",""
"","psychophysics","6","63768","0.0-6.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","5108","key"," "," ","16.695521311475403","499.6997111483671","249.84985557418355","inst","","","","","","",""
"","psychophysics","7","80038","0.0-7.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","16266","key"," "," ","16.695719424460428","499.6997111483671","249.84985557418355","ml","204","-40","-22","5","-21","",""
"","psychophysics","8","91441","0.0-8.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","11400","key"," "," ","16.696004398826982","499.6997111483671","249.84985557418355","ml","220","22","-24","-16","-19","",""
"","psychophysics","9","100600","0.0-9.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","9152","key"," "," ","16.69567700729927","499.6997111483671","249.84985557418355","ml","190","-3","0","-20","-21","",""
"","psychophysics","10","108245","0.0-10.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","7642","key"," "," ","16.695551422319472","499.6997111483671","249.84985557418355","ml","182","11","19","-6","-16","",""
"","psychophysics","11","120542","0.0-11.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","12296","key"," "," ","16.69573605442176","499.6997111483671","249.84985557418355","ml","224","-53","26","29","-27","",""
"","psychophysics","12","128894","0.0-12.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","8347","key"," "," ","16.696061999999976","499.6997111483671","249.84985557418355","ml","204","37","-27","6","-17","",""
"","psychophysics","13","136215","0.0-13.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","7318","key"," "," ","16.69626086956519","499.6997111483671","249.84985557418355","ml","180","10","21","23","-14","",""
"","psychophysics","14","142451","0.0-14.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","6233","key"," "," ","16.695833780160864","499.6997111483671","249.84985557418355","ml","198","-9","6","11","-19","",""
"","psychophysics","15","148378","0.0-15.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","5924","key"," "," ","16.69449717514128","499.6997111483671","249.84985557418355","ml","164","8","7","6","-13","",""
"","psychophysics","16","156363","0.0-16.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","7982","key"," "," ","16.695624737945483","499.6997111483671","249.84985557418355","ml","160","22","-14","29","-13","",""
"","psychophysics","17","165385","0.0-17.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","9019","key"," "," ","16.695771799628904","499.6997111483671","249.84985557418355","ml","224","45","-7","14","-12","",""
"","psychophysics","18","173105","0.0-18.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","7717","key"," "," ","16.695913419913392","499.6997111483671","249.84985557418355","ml","162","12","-23","22","-13","",""
"","psychophysics","19","181372","0.0-19.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","8264","key"," "," ","16.69571255060729","499.6997111483671","249.84985557418355","ml","152","-30","7","21","-19","",""
"","psychophysics","20","190006","0.0-20.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","8631","key"," "," ","16.696075581395327","499.6997111483671","249.84985557418355","ml","208","33","-30","-12","-18","",""
"","psychophysics","21","195304","0.0-21.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","5295","key"," "," ","16.695870253164617","499.6997111483671","249.84985557418355","ml","212","-27","27","-11","-23","",""
"","psychophysics","22","197677","0.0-22.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","2370","key"," "," ","16.695673758865222","499.6997111483671","249.84985557418355","inst","","","","","","",""
"","psychophysics","23","221025","0.0-23.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","23342","key"," "," ","16.695851931330477","499.6997111483671","249.84985557418355","instPog","","","","","130","130",""
"","psychophysics","24","252631","0.0-24.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","31602","key"," "," ","16.695836152219872","499.6997111483671","249.84985557418355","instPog","","","","","147","130",""
"","psychophysics","25","270087","0.0-25.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","17453","key"," "," ","16.695799808429125","499.6997111483671","249.84985557418355","instPog","","","","","158","130",""
"","psychophysics","26","272042","0.0-26.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","1953","key"," "," ","16.69665517241359","499.6997111483671","249.84985557418355","inst","","","","","","",""
"","psychophysics","27","282419","0.0-27.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","10365","key"," "," ","16.69593719806758","499.6997111483671","249.84985557418355","pog","","","","","191","178",""
"","psychophysics","28","291980","0.0-28.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","9559","key"," "," ","16.695776223776218","499.6997111483671","249.84985557418355","pog","","","","","190","166",""
"","psychophysics","29","298658","0.0-29.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","6676","key"," "," ","16.69563408521308","499.6997111483671","249.84985557418355","pog","","","","","192","167",""
"","psychophysics","30","310326","0.0-30.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","11665","key"," "," ","16.69563127690098","499.6997111483671","249.84985557418355","pog","","","","","215","194",""
"","psychophysics","31","322233","0.0-31.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","11902","key"," "," ","16.695809256661942","499.6997111483671","249.84985557418355","pog","","","","","193","173",""
"","psychophysics","32","333011","0.0-32.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","10775","key"," "," ","16.695658385093193","499.6997111483671","249.84985557418355","pog","","","","","142","121",""
"","psychophysics","33","338721","0.0-33.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","5708","key"," "," ","16.69574780058651","499.6997111483671","249.84985557418355","pog","","","","","156","134",""
"","psychophysics","34","350992","0.0-34.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","12269","key"," "," ","16.695756130790187","499.6997111483671","249.84985557418355","pog","","","","","208","190",""
"","psychophysics","35","358645","0.0-35.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","7645","key"," "," ","16.695078774616967","499.6997111483671","249.84985557418355","pog","","","","","213","194",""
"","psychophysics","36","364921","0.0-36.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","6274","key"," "," ","16.696386666666715","499.6997111483671","249.84985557418355","pog","","","","","201","179",""
"","psychophysics","37","372795","0.0-37.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","7871","key"," "," ","16.6953864118896","499.6997111483671","249.84985557418355","pog","","","","","216","191",""
"","psychophysics","38","380116","0.0-38.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","7319","key"," "," ","16.69574599542327","499.6997111483671","249.84985557418355","pog","","","","","200","176",""
"","psychophysics","39","387771","0.0-39.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","7652","key"," "," ","16.69594541484707","499.6997111483671","249.84985557418355","pog","","","","","210","192",""
"","psychophysics","40","397001","0.0-40.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","9226","key"," "," ","16.695872958257777","499.6997111483671","249.84985557418355","pog","","","","","194","173",""
"","psychophysics","41","402623","0.0-41.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","5619","key"," "," ","16.696059523809666","499.6997111483671","249.84985557418355","pog","","","","","193","165",""
"","psychophysics","42","404242","0.0-42.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","1612","key"," "," ","16.69556249999975","499.6997111483671","249.84985557418355","inst","","","","","","",""
"","psychophysics","43","408725","0.0-43.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","4476","key"," "," ","16.69590671641801","499.6997111483671","249.84985557418355","instTilt","","","","","NaN","0","0"
"","psychophysics","44","412065","0.0-44.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","3336","key"," "," ","16.695422110552887","499.6997111483671","249.84985557418355","instTilt","","","","","0","0","0"
"","psychophysics","45","423885","0.0-45.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","11824","key"," "," ","16.695739745403163","499.6997111483671","249.84985557418355","instTilt","","","","","0","0","0"
"","psychophysics","46","425545","0.0-46.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","1658","key"," "," ","16.69676767676749","499.6997111483671","249.84985557418355","inst","","","","","","",""
"","psychophysics","47","437198","0.0-47.0","6129781ecb8007ce6248a915","625756f67b8018e08576e808","","","","","11649","key"," "," ","16.695742816091986","499.6997111483671","249.84985557418355","tilt","","","","","4","4","0"
