"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3643","0.0-0.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3649","0.0-1.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","7741","0.0-2.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4050","key"," "," ","16.66690163934426","500","250","inst","","","","","","",""
"","psychophysics","3","9012","0.0-3.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1261","key"," "," ","16.666486842105268","500","250","inst","","","","","","",""
"","psychophysics","4","25626","0.0-4.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","16608","key"," "," ","16.666595979899498","500","250","instMl","216","-36","-19","30","-27","",""
"","psychophysics","5","39962","0.0-5.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","14324","key"," "," ","16.666680232558136","500","250","instMl","210","-35","7","28","-22","",""
"","psychophysics","6","42673","0.0-6.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2706","key"," "," ","16.666279503105596","500","250","inst","","","","","","",""
"","psychophysics","7","49163","0.0-7.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","6482","key"," "," ","16.667041131105396","500","250","ml","172","27","5","11","-16","",""
"","psychophysics","8","57374","0.0-8.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","8203","key"," "," ","16.66591242362526","500","250","ml","158","-38","-21","12","-17","",""
"","psychophysics","9","64685","0.0-9.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","7301","key"," "," ","16.6662899543379","500","250","ml","150","33","-7","-14","-17","",""
"","psychophysics","10","68883","0.0-10.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4192","key"," "," ","16.666390438247053","500","250","ml","242","-30","-30","-16","-27","",""
"","psychophysics","11","74475","0.0-11.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5584","key"," "," ","16.666535928143734","500","250","ml","200","40","0","5","-15","",""
"","psychophysics","12","79879","0.0-12.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5395","key"," "," ","16.66642414860678","500","250","ml","192","44","-23","-25","-16","",""
"","psychophysics","13","87006","0.0-13.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","7120","key"," "," ","16.66699063231852","500","250","ml","152","-29","-9","0","-21","",""
"","psychophysics","14","95068","0.0-14.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","8056","key"," "," ","16.666683229813668","500","250","ml","198","49","-6","-28","-17","",""
"","psychophysics","15","105007","0.0-15.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","9933","key"," "," ","16.666497478991584","500","250","ml","170","26","-3","-26","-15","",""
"","psychophysics","16","109011","0.0-16.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3998","key"," "," ","16.666179916318008","500","250","ml","228","20","-27","-22","-17","",""
"","psychophysics","17","112583","0.0-17.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3565","key"," "," ","16.663855140186925","500","250","ml","202","4","-27","2","-15","",""
"","psychophysics","18","116550","0.0-18.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3955","key"," "," ","16.66606779661015","500","250","ml","224","30","-26","14","-12","",""
"","psychophysics","19","121416","0.0-19.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4858","key"," "," ","16.666673539518875","500","250","ml","168","15","-14","9","-13","",""
"","psychophysics","20","125305","0.0-20.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3881","key"," "," ","16.666600858369097","500","250","ml","170","41","-15","-28","-10","",""
"","psychophysics","21","128731","0.0-21.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3420","key"," "," ","16.665921568627443","500","250","ml","176","-38","-22","27","-20","",""
"","psychophysics","22","130306","0.0-22.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1565","key"," "," ","16.666212765957408","500","250","inst","","","","","","",""
"","psychophysics","23","142343","0.0-23.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","12030","key"," "," ","16.66650762829403","500","250","instPog","","","","","130","130",""
"","psychophysics","24","154739","0.0-24.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","12391","key"," "," ","16.66694885598924","500","250","instPog","","","","","143","130",""
"","psychophysics","25","161346","0.0-25.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","6601","key"," "," ","16.666329113924007","500","250","instPog","","","","","142","130",""
"","psychophysics","26","162523","0.0-26.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1172","key"," "," ","16.666585714286025","500","250","inst","","","","","","",""
"","psychophysics","27","167130","0.0-27.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4602","key"," "," ","16.666000000000086","500","250","pog","","","","","156","136",""
"","psychophysics","28","172837","0.0-28.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5698","key"," "," ","16.666599415204633","500","250","pog","","","","","192","182",""
"","psychophysics","29","176060","0.0-29.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3219","key"," "," ","16.666453125000015","500","250","pog","","","","","157","138",""
"","psychophysics","30","179886","0.0-30.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3821","key"," "," ","16.666262008733597","500","250","pog","","","","","161","143",""
"","psychophysics","31","185436","0.0-31.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5546","key"," "," ","16.666394578313216","500","250","pog","","","","","140","120",""
"","psychophysics","32","188287","0.0-32.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2846","key"," "," ","16.666394117646952","500","250","pog","","","","","154","137",""
"","psychophysics","33","190756","0.0-33.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2463","key"," "," ","16.66600000000001","500","250","pog","","","","","166","157",""
"","psychophysics","34","195766","0.0-34.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5006","key"," "," ","16.666270903010023","500","250","pog","","","","","192","180",""
"","psychophysics","35","199830","0.0-35.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4057","key"," "," ","16.666913580246906","500","250","pog","","","","","178","167",""
"","psychophysics","36","203742","0.0-36.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3907","key"," "," ","16.666495726495818","500","250","pog","","","","","185","174",""
"","psychophysics","37","207126","0.0-37.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3380","key"," "," ","16.66609900990097","500","250","pog","","","","","182","175",""
"","psychophysics","38","210856","0.0-38.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3724","key"," "," ","16.665677130044827","500","250","pog","","","","","141","127",""
"","psychophysics","39","213569","0.0-39.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2709","key"," "," ","16.666598765432106","500","250","pog","","","","","179","170",""
"","psychophysics","40","216303","0.0-40.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2728","key"," "," ","16.666503067484747","500","250","pog","","","","","178","176",""
"","psychophysics","41","219605","0.0-41.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3297","key"," "," ","16.666715736040576","500","250","pog","","","","","180","175",""
"","psychophysics","42","220798","0.0-42.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1188","key"," "," ","16.66548571428575","500","250","inst","","","","","","",""
"","psychophysics","43","224361","0.0-43.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3553","key"," "," ","16.82460189573464","500","250","instTilt","","","","","NaN","0","0"
"","psychophysics","44","227191","0.0-44.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2823","key"," "," ","16.665952662721907","500","250","instTilt","","","","","0","0","0"
"","psychophysics","45","236334","0.0-45.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","9138","key"," "," ","16.66651736745885","500","250","instTilt","","","","","0","0","0"
"","psychophysics","46","238527","0.0-46.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2186","key"," "," ","16.66675572519085","500","250","inst","","","","","","",""
"","psychophysics","47","243264","0.0-47.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4731","key"," "," ","16.66646643109546","500","250","tilt","","","","","3","2","0"
"","psychophysics","48","247188","0.0-48.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3915","key"," "," ","16.666463829787137","500","250","tilt","","","","","-9","-8","1"
"","psychophysics","49","251109","0.0-49.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3916","key"," "," ","16.666824786324835","500","250","tilt","","","","","-3","-3","0"
"","psychophysics","50","256364","0.0-50.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5248","key"," "," ","16.666420382165587","500","250","tilt","","","","","3","5","1"
"","psychophysics","51","261760","0.0-51.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5385","key"," "," ","16.6667151702786","500","250","tilt","","","","","2","3","1"
"","psychophysics","52","264265","0.0-52.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2499","key"," "," ","16.66571812080524","500","250","tilt","","","","","0","-1","0"
"","psychophysics","53","267227","0.0-53.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2954","key"," "," ","16.666745762712004","500","250","tilt","","","","","1","2","1"
"","psychophysics","54","272028","0.0-54.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4795","key"," "," ","16.66641811846706","500","250","tilt","","","","","-1","0","1"
"","psychophysics","55","274688","0.0-55.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2654","key"," "," ","16.66638364779848","500","250","tilt","","","","","5","6","0"
"","psychophysics","56","277983","0.0-56.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3289","key"," "," ","16.666015306122397","500","250","tilt","","","","","-9","-9","1"
"","psychophysics","57","280903","0.0-57.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2911","key"," "," ","16.66674285714282","500","250","tilt","","","","","-7","-5","1"
"","psychophysics","58","286603","0.0-58.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5693","key"," "," ","16.666401759530842","500","250","tilt","","","","","7","7","0"
"","psychophysics","59","292142","0.0-59.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5533","key"," "," ","16.666271903323327","500","250","tilt","","","","","-4","-2","1"
"","psychophysics","60","295522","0.0-60.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3374","key"," "," ","16.670594059406046","500","250","tilt","","","","","1","3","1"
"","psychophysics","61","297505","0.0-61.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1977","key"," "," ","16.665567796610265","500","250","tilt","","","","","2","4","1"
"","psychophysics","62","298964","0.0-62.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1453","key"," "," ","16.66329069767448","500","250","tilt","","","","","2","2","0"
"","psychophysics","63","301421","0.0-63.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2448","key"," "," ","16.66648979591828","500","250","tilt","","","","","2","2","0"
"","psychophysics","64","304955","0.0-64.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3528","key"," "," ","16.666109004739333","500","250","tilt","","","","","-8","-7","1"
"","psychophysics","65","307972","0.0-65.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3010","key"," "," ","16.665600000000104","500","250","tilt","","","","","-5","-8","0"
"","psychophysics","66","310709","0.0-66.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2731","key"," "," ","16.665411042944783","500","250","tilt","","","","","-3","-5","0"
"","psychophysics","67","312975","0.0-67.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2260","key"," "," ","16.66596296296317","500","250","tilt","","","","","2","3","1"
"","psychophysics","68","317579","0.0-68.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4598","key"," "," ","16.666385454545434","500","250","tilt","","","","","-6","-8","0"
"","psychophysics","69","321005","0.0-69.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3416","key"," "," ","16.66689268292706","500","250","tilt","","","","","0","0","1"
"","psychophysics","70","325647","0.0-70.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4637","key"," "," ","16.666501805054097","500","250","tilt","","","","","5","8","1"
"","psychophysics","71","328144","0.0-71.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2489","key"," "," ","16.66614765100667","500","250","tilt","","","","","0","-1","0"
"","psychophysics","72","331738","0.0-72.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3588","key"," "," ","16.666748837209415","500","250","tilt","","","","","-2","-1","1"
"","psychophysics","73","334566","0.0-73.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2823","key"," "," ","16.6659821428572","500","250","tilt","","","","","0","0","1"
"","psychophysics","74","339259","0.0-74.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4686","key"," "," ","16.666451957295326","500","250","tilt","","","","","-6","-8","1"
"","psychophysics","75","341853","0.0-75.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2589","key"," "," ","16.666929032258135","500","250","tilt","","","","","4","8","1"
"","psychophysics","76","345075","0.0-76.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3217","key"," "," ","16.6668489583332","500","250","tilt","","","","","3","6","1"
"","psychophysics","77","346260","0.0-77.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1180","key"," "," ","16.665100000000425","500","250","inst","","","","","","",""
"","psychophysics","78","348928","0.0-78.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2663","key"," "," ","16.666465408804992","500","250","instPz","","","","","50","50",""
"","psychophysics","79","358579","0.0-79.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","9654","key"," "," ","16.666910189982733","500","250","instPz","","","","","47","50",""
"","psychophysics","80","363417","0.0-80.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4833","key"," "," ","16.66661245674725","500","250","instPz","","","","","27","30",""
"","psychophysics","81","375005","0.0-81.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","11582","key"," "," ","16.666711815561925","500","250","instPz","","","","","42","40",""
"","psychophysics","82","376942","0.0-82.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1932","key"," "," ","16.66668695652169","500","250","inst","","","","","","",""
"","psychophysics","83","386273","0.0-83.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","9324","key"," "," ","16.667695885509783","500","250","pz","","","","","67","52",""
"","psychophysics","84","391476","0.0-84.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5195","key"," "," ","16.666826366559583","500","250","pz","","","","","60","43",""
"","psychophysics","85","397984","0.0-85.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","6500","key"," "," ","16.666620512820412","500","250","pz","","","","","67","50",""
"","psychophysics","86","401555","0.0-86.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3566","key"," "," ","16.666370892018943","500","250","pz","","","","","27","20",""
"","psychophysics","87","405413","0.0-87.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3853","key"," "," ","16.666329004329093","500","250","pz","","","","","38","29",""
"","psychophysics","88","410280","0.0-88.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4862","key"," "," ","16.666309278350344","500","250","pz","","","","","75","54",""
"","psychophysics","89","415866","0.0-89.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5573","key"," "," ","16.66648348348352","500","250","pz","","","","","67","50",""
"","psychophysics","90","419646","0.0-90.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3772","key"," "," ","16.666659292035565","500","250","pz","","","","","63","42",""
"","psychophysics","91","422853","0.0-91.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3202","key"," "," ","16.66630729166688","500","250","pz","","","","","62","48",""
"","psychophysics","92","427967","0.0-92.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5109","key"," "," ","16.665645901639333","500","250","pz","","","","","55","37",""
"","psychophysics","93","432011","0.0-93.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4035","key"," "," ","16.6666983471075","500","250","pz","","","","","44","27",""
"","psychophysics","94","435029","0.0-94.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3012","key"," "," ","16.666322222222032","500","250","pz","","","","","36","21",""
"","psychophysics","95","439621","0.0-95.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4586","key"," "," ","16.666243636363653","500","250","pz","","","","","65","50",""
"","psychophysics","96","444497","0.0-96.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4869","key"," "," ","16.666584192439945","500","250","pz","","","","","60","48",""
"","psychophysics","97","449922","0.0-97.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","5416","key"," "," ","16.666578461538393","500","250","pz","","","","","76","58",""
"","psychophysics","98","452169","0.0-98.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2242","key"," "," ","16.66570149253708","500","250","inst","","","","","","",""
"","psychophysics","99","455134","0.0-99.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2960","key"," "," ","16.666454545454393","500","250","inst","","","","","","",""
"","psychophysics","100","457473","0.0-100.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2327","key"," "," ","16.66672142857112","500","250","instFlank","","","","","0.5","0.3","1"
"","psychophysics","101","460593","0.0-101.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3116","key"," "," ","16.666091397849364","500","250","inst","","","","","","",""
"","psychophysics","102","469838","0.0-102.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","9237","key"," "," ","16.666276173285144","500","250","instFlank","","","","","0.34999999999999987","0.3","1"
"","psychophysics","103","473149","0.0-103.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3307","key"," "," ","16.66654822335024","500","250","inst","","","","","","",""
"","psychophysics","104","477504","0.0-104.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4347","key"," "," ","16.666551724137825","500","250","instFlank","","","","","0.5","0.3","0"
"","psychophysics","105","479222","0.0-105.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","1714","key"," "," ","16.665676470587997","500","250","inst","","","","","","",""
"","psychophysics","106","482983","0.0-106.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3754","key"," "," ","16.666080357142814","500","250","flank","","","","","0.4099999999999999","0.4","1"
"","psychophysics","107","486944","0.0-107.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3950","key"," "," ","16.66659915611813","500","250","flank","","","","","0.6500000000000001","0.62","1"
"","psychophysics","108","490425","0.0-108.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3471","key"," "," ","16.666014423077005","500","250","flank","","","","","0.2599999999999998","0.3","1"
"","psychophysics","109","494847","0.0-109.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4415","key"," "," ","16.666143939394026","500","250","flank","","","","","0.8300000000000003","0.8","1"
"","psychophysics","110","498302","0.0-110.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3444","key"," "," ","16.6666231884057","500","250","flank","","","","","0.56","0.5","0"
"","psychophysics","111","501749","0.0-111.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3441","key"," "," ","16.66660975609741","500","250","flank","","","","","0.4099999999999999","0.42","0"
"","psychophysics","112","505998","0.0-112.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4239","key"," "," ","16.66667322834654","500","250","flank","","","","","0.7400000000000002","0.72","0"
"","psychophysics","113","509903","0.0-113.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3896","key"," "," ","16.664499999999823","500","250","flank","","","","","0.6200000000000001","0.56","0"
"","psychophysics","114","514060","0.0-114.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4151","key"," "," ","16.666653225806517","500","250","flank","","","","","0.1999999999999998","0.24","1"
"","psychophysics","115","517507","0.0-115.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3436","key"," "," ","16.66607281553375","500","250","flank","","","","","0.34999999999999987","0.38","1"
"","psychophysics","116","521257","0.0-116.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3743","key"," "," ","16.666178571428514","500","250","flank","","","","","0.1999999999999998","0.2","0"
"","psychophysics","117","525762","0.0-117.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4497","key"," "," ","16.668401486988806","500","250","flank","","","","","0.31999999999999984","0.36","1"
"","psychophysics","118","528808","0.0-118.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3037","key"," "," ","16.666785714285613","500","250","flank","","","","","0.43999999999999995","0.52","1"
"","psychophysics","119","531925","0.0-119.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3111","key"," "," ","16.666155913978645","500","250","flank","","","","","0.5","0.5","0"
"","psychophysics","120","535177","0.0-120.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3245","key"," "," ","16.66625773195854","500","250","flank","","","","","0.47","0.46","0"
"","psychophysics","121","537959","0.0-121.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2774","key"," "," ","16.666271084337495","500","250","flank","","","","","0.5","0.48","0"
"","psychophysics","122","540669","0.0-122.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2702","key"," "," ","16.666938271604902","500","250","flank","","","","","0.5","0.48","0"
"","psychophysics","123","543304","0.0-123.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2629","key"," "," ","16.666490445859658","500","250","flank","","","","","0.5","0.48","0"
"","psychophysics","124","546853","0.0-124.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3541","key"," "," ","16.666042452830194","500","250","flank","","","","","0.6200000000000001","0.6","0"
"","psychophysics","125","550630","0.0-125.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3769","key"," "," ","16.665982222222308","500","250","flank","","","","","0.8000000000000003","0.78","1"
"","psychophysics","126","553992","0.0-126.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3352","key"," "," ","16.666676616915318","500","250","flank","","","","","0.7400000000000002","0.72","1"
"","psychophysics","127","557423","0.0-127.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3417","key"," "," ","16.66636097561","500","250","flank","","","","","0.7400000000000002","0.68","1"
"","psychophysics","128","560507","0.0-128.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3078","key"," "," ","16.666206521738786","500","250","flank","","","","","0.5900000000000001","0.6","1"
"","psychophysics","129","563614","0.0-129.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3099","key"," "," ","16.66591351351298","500","250","flank","","","","","0.31999999999999984","0.32","1"
"","psychophysics","130","567689","0.0-130.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","4065","key"," "," ","16.66640573770493","500","250","flank","","","","","0.3799999999999999","0.32","0"
"","psychophysics","131","571303","0.0-131.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3607","key"," "," ","16.66630555555565","500","250","flank","","","","","0.5900000000000001","0.58","1"
"","psychophysics","132","574787","0.0-132.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3474","key"," "," ","16.665451923076873","500","250","flank","","","","","0.5900000000000001","0.56","0"
"","psychophysics","133","577659","0.0-133.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","2866","key"," "," ","16.666356725145775","500","250","flank","","","","","0.5900000000000001","0.6","0"
"","psychophysics","134","580855","0.0-134.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3187","key"," "," ","16.66618848167523","500","250","flank","","","","","0.2599999999999998","0.32","0"
"","psychophysics","135","584325","0.0-135.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","3463","key"," "," ","16.66608212560366","500","250","flank","","","","","0.1699999999999998","0.2","1"
"true","fullscreen","136","584335","0.0-136.0","614e2f31f6897d74abdff6a0","6257594e8a1203721bdf81cf","","","","","","","","","","","","","","","","","","",""
