"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","5494","0.0-0.0","null","null","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5502","0.0-1.0","null","null","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","11697","0.0-2.0","null","null","","","","","6187","key"," "," ","16.71191135734072","500","250","ml","172","-1","16","6","-20","",""
"","psychophysics","3","14232","0.0-3.0","null","null","","","","","2533","key"," "," ","16.70860927152318","500","250","inst","","","","","","",""
"","psychophysics","4","25229","0.0-4.0","null","null","","","","","10993","key"," "," ","16.709284627092845","500","250","pog","","","","","201","200",""
"","psychophysics","5","26135","0.0-5.0","null","null","","","","","903","key"," "," ","16.71698113207547","500","250","inst","","","","","","",""
"","psychophysics","6","34808","0.0-6.0","null","null","","","","","8669","key"," "," ","16.714285714285715","500","250","tilt","","","","","-11","-9","1"
"","psychophysics","7","35766","0.0-7.0","null","null","","","","","956","key"," "," ","16.714285714285715","500","250","inst","","","","","","",""
"","psychophysics","8","62064","0.0-8.0","null","null","","","","","26294","key"," "," ","16.709472345835984","500","250","pz","","","","","47","30",""
"","psychophysics","9","63419","0.0-9.0","null","null","","","","","1353","key"," "," ","16.7125","500","250","inst","","","","","","",""
"","psychophysics","10","67625","0.0-10.0","null","null","","","","","4203","key"," "," ","16.713147410358566","500","250","flank","","","","","0.3799999999999999","0.38","1"
"","psychophysics","11","71014","0.0-11.0","null","null","","","","","3386","key"," "," ","16.702970297029704","500","250","flank","","","","","0.6200000000000001","0.46","0"
"true","fullscreen","12","71019","0.0-12.0","null","null","","","","","","","","","","","","","","","","","","",""
