"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"4958","key"," "," ","16.666709030100336","500","250","inst","psychophysics","0","4992","0.0-0.0","adri","null","","","","","","",""
"1830","key"," "," ","16.666770642201833","500","250","inst","psychophysics","1","6825","0.0-1.0","adri","null","","","","","","",""
"22223","key"," "," ","16.666842342342342","500","250","instML","psychophysics","2","29051","0.0-2.0","adri","null","154","-25.666666666666668","14","25","-19.666666666666686","",""
"1991","key"," "," ","16.666714285714285","500","250","inst","psychophysics","3","31051","0.0-3.0","adri","null","","","","","","",""
"6232","key"," "," ","16.66679411764705","500","250","ml","psychophysics","4","37291","0.0-4.0","adri","null","192","28","-22","-18","-11","",""
"5261","key"," "," ","16.666758730158737","500","250","ml","psychophysics","5","42555","0.0-5.0","adri","null","172","-39","-21","10","-20","",""
"4732","key"," "," ","16.666756183745594","500","250","ml","psychophysics","6","47291","0.0-6.0","adri","null","186","25","29","-30","-14","",""
"6283","key"," "," ","16.66677393617022","500","250","ml","psychophysics","7","53579","0.0-7.0","adri","null","246","-61","-24","-30","-23","",""
"5115","key"," "," ","16.721383606557367","500","250","ml","psychophysics","8","58698","0.0-8.0","adri","null","162","-33","-14","-4","-19","",""
"6815","key"," "," ","16.66672549019607","500","250","ml","psychophysics","9","65514","0.0-9.0","adri","null","200","-13","-13","13","-17","",""
"6367","key"," "," ","16.666737532808366","500","250","ml","psychophysics","10","71883","0.0-10.0","adri","null","196","-37","25","-14","-22","",""
"4666","key"," "," ","16.66672142857143","500","250","ml","psychophysics","11","76556","0.0-11.0","adri","null","184","-26","-9","5","-22","",""
"7772","key"," "," ","16.666873118279582","500","250","ml","psychophysics","12","84331","0.0-12.0","adri","null","216","-44","-21","17","-21","",""
"5437","key"," "," ","16.666843558282217","500","250","ml","psychophysics","13","89771","0.0-13.0","adri","null","210","36","-1","-27","-15","",""
"5420","key"," "," ","16.666861111111096","500","250","ml","psychophysics","14","95195","0.0-14.0","adri","null","196","-4","3","-3","-19","",""
"6317","key"," "," ","16.66680687830688","500","250","ml","psychophysics","15","101515","0.0-15.0","adri","null","248","-42","9","-12","-20","",""
"5242","key"," "," ","16.66684394904462","500","250","ml","psychophysics","16","106764","0.0-16.0","adri","null","236","-24","22","-15","-20","",""
"3899","key"," "," ","16.666781115879832","500","250","ml","psychophysics","17","110667","0.0-17.0","adri","null","238","5","-11","-1","-18","",""
"4540","key"," "," ","16.66677573529411","500","250","ml","psychophysics","18","115211","0.0-18.0","adri","null","204","11","9","-20","-17","",""
"3997","key"," "," ","16.66682008368199","500","250","inst","psychophysics","19","119211","0.0-19.0","adri","null","","","","","","",""
"22445","key"," "," ","16.666780832095093","500","250","instPog","psychophysics","20","141660","0.0-20.0","adri","null","","","","","194","180",""
"3709","key"," "," ","16.666774774774797","500","250","inst","psychophysics","21","145372","0.0-21.0","adri","null","","","","","","",""
"4604","key"," "," ","16.666789090909084","500","250","pog","psychophysics","22","149979","0.0-22.0","adri","null","","","","","175","164",""
