"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2981","0.0-0.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2983","0.0-1.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8170","0.0-2.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","5181","key"," "," ","6.948515394912985","500","250","inst","","","","","","",""
"","psychophysics","3","10768","0.0-3.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","2596","key"," "," ","6.9484745308310965","500","250","inst","","","","","","",""
"","psychophysics","4","28011","0.0-4.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","17241","key"," "," ","6.948492338709677","500","250","instMl","162","-27","0","-29","-9","",""
"","psychophysics","5","34764","0.0-5.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","6751","key"," "," ","6.948489186405768","500","250","instMl","246","-41","-2","-9","-10","",""
"","psychophysics","6","37736","0.0-6.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","2969","key"," "," ","6.948491803278691","500","250","inst","","","","","","",""
"","psychophysics","7","49384","0.0-7.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","11646","key"," "," ","6.948491343283581","500","250","ml","216","35","1","-8","-8","",""
"","psychophysics","8","62333","0.0-8.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","12947","key"," "," ","6.948489533011272","500","250","ml","238","18","-22","-12","-13","",""
"","psychophysics","9","70659","0.0-9.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","8324","key"," "," ","6.948485380116959","500","250","ml","176","16","16","-1","-10","",""
"","psychophysics","10","80412","0.0-10.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","9751","key"," "," ","6.948487161198295","500","250","ml","154","-26","15","-21","-4","",""
"","psychophysics","11","86378","0.0-11.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","5963","key"," "," ","6.948488344988345","500","250","ml","214","-53","-12","-12","-6","",""
"","psychophysics","12","92760","0.0-12.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","6380","key"," "," ","6.948488017429193","500","250","ml","182","34","-6","-27","-13","",""
"","psychophysics","13","104924","0.0-13.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","12162","key"," "," ","6.948487707261291","500","250","ml","212","16","21","-21","-12","",""
"","psychophysics","14","115351","0.0-14.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","10425","key"," "," ","6.948486666666674","500","250","ml","162","-23","-19","-22","-8","",""
"","psychophysics","15","118249","0.0-15.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","2896","key"," "," ","6.9484879807692215","500","250","ml","150","-1","20","4","-9","",""
"","psychophysics","16","124452","0.0-16.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","6201","key"," "," ","6.948482062780255","500","250","ml","210","3","-17","-15","-8","",""
"","psychophysics","17","128896","0.0-17.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","4442","key"," "," ","6.948489028213187","500","250","ml","184","-31","-24","-19","-7","",""
"","psychophysics","18","138417","0.0-18.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","9519","key"," "," ","6.948485025566092","500","250","ml","234","-55","12","-5","-11","",""
"","psychophysics","19","142770","0.0-19.0","5e815773285d3883ba2fbbcf","6256d74185393196b28964a0","","","","","4351","key"," "," ","6.948487220447279","500","250","ml","158","-28","-2","-13","-5","",""
