"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","3812","0.0-0.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3816","0.0-1.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8678","0.0-2.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","4849","key"," "," ","16.637397260273968","500","250","inst","","","","","","",""
"","psychophysics","3","10649","0.0-3.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","1968","key"," "," ","16.666666666666668","500","250","inst","","","","","","",""
"","psychophysics","4","89122","0.0-4.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","78470","key"," "," ","16.666649670703208","500","250","instMl","208","-34.666666666666664","-18","-7","-3.6666666666666856","",""
"","psychophysics","5","139427","0.0-5.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","50297","key"," "," ","16.666666666666668","500","250","instMl","236","-39.333333333333336","0","-24","-18.333333333333314","",""
"","psychophysics","6","146529","0.0-6.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","7098","key"," "," ","16.666635294117665","500","250","inst","","","","","","",""
"","psychophysics","7","151145","0.0-7.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","4614","key"," "," ","16.666594202898484","500","250","ml","246","-12","10","14","-16","",""
"","psychophysics","8","173369","0.0-8.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","22222","key"," "," ","16.666666666666668","500","250","ml","196","17","10","-12","-13","",""
"","psychophysics","9","181444","0.0-9.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","8069","key"," "," ","16.66665289256199","500","250","ml","242","-28","-13","-21","-20","",""
"","psychophysics","10","191962","0.0-10.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","10516","key"," "," ","16.666634920634937","500","250","ml","184","4","-8","-3","-20","",""
"","psychophysics","11","200218","0.0-11.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","8253","key"," "," ","16.666639676113373","500","250","ml","250","-12","-11","21","-15","",""
"","psychophysics","12","202369","0.0-12.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","2150","key"," "," ","16.6667187500002","500","250","ml","168","-17","-24","2","-17","",""
"","psychophysics","13","206995","0.0-13.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","4619","key"," "," ","16.666714801444122","500","250","ml","224","-38","-30","3","-11","",""
"","psychophysics","14","210282","0.0-14.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","3285","key"," "," ","16.666326530612125","500","250","ml","180","-9","5","-14","-14","",""
"","psychophysics","15","215875","0.0-15.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","5592","key"," "," ","16.666626865671574","500","250","ml","194","34","18","-8","-9","",""
"","psychophysics","16","221722","0.0-16.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","5842","key"," "," ","16.66664756446984","500","250","ml","228","39","-7","14","-10","",""
"","psychophysics","17","226985","0.0-17.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","5257","key"," "," ","16.666666666666668","500","250","ml","212","31","-4","17","-8","",""
"","psychophysics","18","231497","0.0-18.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","4510","key"," "," ","16.666666666666668","500","250","ml","246","-1","7","14","-14","",""
"","psychophysics","19","233562","0.0-19.0","60045900ccb68e4bdd23111e","6256d00369634c85bf1cc91f","","","","","2063","key"," "," ","16.666666666666668","500","250","ml","244","4","-20","-9","-16","",""
