"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"1304720","{""pid"":"" 4268""}","survey-text","0","1304723","0.0-0.0"," 4268","","","","","","","","","","","",""
"16790"," ","psychophysics","1","1321522","0.0-1.0"," 4268","key"," ","16.683200595829202","500","250","inst","","","","","",""
"4573"," ","psychophysics","2","1326097","0.0-2.0"," 4268","key"," ","16.683527472527057","500","250","sample1","","","","","",""
"30878"," ","psychophysics","3","1356978","0.0-3.0"," 4268","key"," ","16.683371351351333","500","250","sample2","100","","","","",""
"10078"," ","psychophysics","4","1367058","0.0-4.0"," 4268","key"," ","16.683034825870447","500","250","sample3","100","","","","",""
"20366"," ","psychophysics","5","1387425","0.0-5.0"," 4268","key"," ","16.683199999999964","500","250","sample4","100","","","","",""
"6638"," ","psychophysics","6","1394065","0.0-6.0"," 4268","key"," ","16.683083123426005","500","250","sample5","","","","","",""
"12558"," ","psychophysics","7","1406625","0.0-7.0"," 4268","key"," ","16.683335106382692","500","250","sample7","500","","","","",""
"8510"," ","psychophysics","8","1415137","0.0-8.0"," 4268","key"," ","16.683086444007614","500","250","inst","","","","","",""
"5614"," ","psychophysics","9","1420753","0.0-9.0"," 4268","key"," ","16.683681547619578","500","250","inst","","","","","",""
"4942"," ","psychophysics","10","1425697","0.0-10.0"," 4268","key"," ","16.683027118644123","500","250","inst","","","","","",""
"2334"," ","psychophysics","11","1428033","0.0-11.0"," 4268","key"," ","16.683251798561635","500","250","inst","","","","","",""
"1534"," ","psychophysics","12","1429568","0.0-12.0"," 4268","key"," ","16.681549450548896","500","250","inst","","","","","",""
"3454"," ","psychophysics","13","1433025","0.0-13.0"," 4268","key"," ","16.68324757281587","500","250","instBr0","-15","0","0","0","300",""
"13405"," ","psychophysics","14","1446433","0.0-14.0"," 4268","key"," ","16.68324906600246","500","250","instBr1","-20","0","0","-40","300",""
"13838"," ","psychophysics","15","1460273","0.0-15.0"," 4268","key"," ","16.68308564535577","500","250","instBr2","-16","0","0","40","300",""
"20846"," ","psychophysics","16","1481121","0.0-16.0"," 4268","key"," ","16.683161858974273","500","250","instBr3","-25","0","0","40","300",""
"1888"," ","psychophysics","17","1483010","0.0-17.0"," 4268","key"," ","16.683938053098665","500","250","inst","","","","","",""
"9436"," ","psychophysics","18","1492449","0.0-18.0"," 4268","key"," ","16.68343971631199","500","250","br","-18","28","30","44","300",""
"7534"," ","psychophysics","19","1499984","0.0-19.0"," 4268","key"," ","16.682824833702686","500","250","br","-26","-28","26","26","300",""
