"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","jitterX","jitterY","start","parA","resp","parB"
"5221","{""pid"":""""}","survey-text","0","5236","0.0-0.0","","","","","","","","","","","","",""
"1247"," ","psychophysics","1","6489","0.0-1.0","","key"," ","16.453333333333333","500","250","instBr0","0","0","0","300","-15",""
"217"," ","psychophysics","2","6710","0.0-2.0","","key"," ","16.53846153846154","500","250","instBr1","0","0","-40","300","-55",""
"186"," ","psychophysics","3","6900","0.0-3.0","","key"," ","16.7","500","250","instBr2","0","0","40","300","25",""
"195"," ","psychophysics","4","7098","0.0-4.0","","key"," ","16.545454545454547","500","250","instBr3","0","0","40","300","40",""
"201"," ","psychophysics","5","7306","0.0-5.0","","key"," ","16.636363636363637","500","250","inst","","","","","",""
"213"," ","psychophysics","6","7522","0.0-6.0","","key"," ","16.666666666666668","500","250","br","25","-26","40","300","40",""
"195"," ","psychophysics","7","7719","0.0-7.0","","key"," ","16.727272727272727","500","250","br","-24","-22","30","300","30",""
"206"," ","psychophysics","8","7928","0.0-8.0","","key"," ","16.75","500","250","instBis0","0","0","110","150","110",""
"1098"," ","psychophysics","9","9029","0.0-9.0","","key"," ","16.661538461538463","500","250","instBis1","0","0","110","150","110",""
"213"," ","psychophysics","10","9247","0.0-10.0","","key"," ","16.666666666666668","500","250","instBis2","-19","2","174","154","174",""
"201"," ","psychophysics","11","9451","0.0-11.0","","key"," ","16.636363636363637","500","250","inst","","","","","",""
"192"," ","psychophysics","12","9646","0.0-12.0","","key"," ","16.636363636363637","500","250","bis","13","25","102","226","102",""
"195"," ","psychophysics","13","9845","0.0-13.0","","key"," ","16.636363636363637","500","250","bis","-11","-21","266","220","266",""
"215"," ","psychophysics","14","10063","0.0-14.0","","key"," ","16.666666666666668","500","250","instZol0","0","0","0","","0",""
"203"," ","psychophysics","15","10269","0.0-15.0","","key"," ","16.636363636363637","500","250","instZol1","0","0","-1.3","","1.3",""
"205"," ","psychophysics","16","10478","0.0-16.0","","key"," ","16.666666666666668","500","250","instZol2","0","0","2","","-2",""
"195"," ","psychophysics","17","10677","0.0-17.0","","key"," ","16.636363636363637","500","250","inst","","","","","",""
"204"," ","psychophysics","18","10885","0.0-18.0","","key"," ","16.636363636363637","500","250","zol","16","-10","-0.1","","0.1",""
"210"," ","psychophysics","19","11099","0.0-19.0","","key"," ","16.666666666666668","500","250","zol","-2","-14","0","","0",""
"208"," ","psychophysics","20","11314","0.0-20.0","","key"," ","16.666666666666668","500","250","instPz0","","","50","50","50",""
"209"," ","psychophysics","21","11528","0.0-21.0","","key"," ","16.666666666666668","500","250","instPz1","","","25","50","25",""
"189"," ","psychophysics","22","11719","0.0-22.0","","key"," ","16.7","500","250","instPz2","","","15","25","15",""
"210"," ","psychophysics","23","11935","0.0-23.0","","key"," ","16.666666666666668","500","250","instPz3","","","15","25","15",""
"234"," ","psychophysics","24","12174","0.0-24.0","","key"," ","16.692307692307693","500","250","instPz4","","","15","30","15",""
"223"," ","psychophysics","25","12401","0.0-25.0","","key"," ","16.53846153846154","500","250","inst","","","","","",""
"243"," ","psychophysics","26","12647","0.0-26.0","","key"," ","16.642857142857142","500","250","pz","","","15","38","15",""
"226"," ","psychophysics","27","12878","0.0-27.0","","key"," ","16.615384615384617","500","250","pz","","","15","42","15",""
"231"," ","psychophysics","28","13112","0.0-28.0","","key"," ","16.692307692307693","500","250","instTilt0","","","-5","-5","-5","2"
"197"," ","psychophysics","29","13312","0.0-29.0","","key"," ","16.727272727272727","500","250","instTilt1","","","5","-5","5","2"
"234"," ","psychophysics","30","13550","0.0-30.0","","key"," ","16.692307692307693","500","250","instTilt2","","","5","-5","5","2"
"213"," ","psychophysics","31","13768","0.0-31.0","","key"," ","16.666666666666668","500","250","instTilt","","","","9","0","2"
"206"," ","psychophysics","32","13977","0.0-32.0","","key"," ","16.666666666666668","500","250","instTilt","","","","9","0","1"
"232"," ","psychophysics","33","14212","0.0-33.0","","key"," ","16.692307692307693","500","250","inst","","","","","",""
"227"," ","psychophysics","34","14444","0.0-34.0","","key"," ","16.692307692307693","500","250","tilt","","","","1","0","1"
"237"," ","psychophysics","35","14684","0.0-35.0","","key"," ","16.615384615384617","500","250","tilt","","","","-6","0","1"
"229"," ","psychophysics","36","14917","0.0-36.0","","key"," ","16.692307692307693","500","250","instPog0","0","0","190","160","190",""
"492"," ","psychophysics","37","15412","0.0-37.0","","key"," ","16.689655172413794","500","250","instPog1","0","0","190","160","190",""
"247"," ","psychophysics","38","15663","0.0-38.0","","key"," ","16.714285714285715","500","250","instPog2","0","0","190","160","190",""
"232"," ","psychophysics","39","15899","0.0-39.0","","key"," ","16.692307692307693","500","250","inst","","","","","",""
"228"," ","psychophysics","40","16131","0.0-40.0","","key"," ","16.615384615384617","500","250","pog","0","0","132","163","132",""
