"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"74383","{""pid"":""123""}","survey-text","0","74399","0.0-0.0","123","","","","","","","","","","","",""
"3300"," ","psychophysics","1","77707","0.0-1.0","123","key"," ","16.67005076142132","500","250","inst","","","","","",""
"5518"," ","psychophysics","2","83229","0.0-2.0","123","key"," ","16.664652567975832","500","250","sample1","","","","","",""
"6038"," ","psychophysics","3","89270","0.0-3.0","123","key"," ","16.667590027700832","500","250","sample2","102","","","","",""
"3754"," ","psychophysics","4","93028","0.0-4.0","123","key"," ","16.666666666666668","500","250","sample3","102","","","","",""
"8564"," ","psychophysics","5","101595","0.0-5.0","123","key"," ","16.666666666666668","500","250","sample4","102","","","","",""
"14751"," ","psychophysics","6","116350","0.0-6.0","123","key"," ","16.66628959276018","500","250","sample5","","","","","",""
"6841"," ","psychophysics","7","123196","0.0-7.0","123","key"," ","16.66829268292683","500","250","sample7","498","","","","",""
"4898"," ","psychophysics","8","128096","0.0-8.0","123","key"," ","16.668941979522184","500","250","inst","","","","","",""
"8327"," ","psychophysics","9","136427","0.0-9.0","123","key"," ","16.663326653306612","500","250","inst","","","","","",""
"1032"," ","psychophysics","10","137461","0.0-10.0","123","key"," ","16.672131147540984","500","250","inst","","","","","",""
"1101"," ","psychophysics","11","138566","0.0-11.0","123","key"," ","16.676923076923078","500","250","inst","","","","","",""
"1575"," ","psychophysics","12","140144","0.0-12.0","123","key"," ","16.670212765957448","500","250","inst","","","","","",""
"2247"," ","psychophysics","13","142396","0.0-13.0","123","key"," ","16.66417910447761","500","250","instBr0","-15","0","0","0","300",""
"7519"," ","psychophysics","14","149920","0.0-14.0","123","key"," ","16.66888888888889","500","250","instBr1","-22","0","0","-40","300",""
"6772"," ","psychophysics","15","156697","0.0-15.0","123","key"," ","16.667487684729064","500","250","instBr2","-20","0","0","40","300",""
"7943"," ","psychophysics","16","164645","0.0-16.0","123","key"," ","16.665966386554622","500","250","instBr3","-8","0","0","40","300",""
"2985"," ","psychophysics","17","167633","0.0-17.0","123","key"," ","16.662921348314608","500","250","inst","","","","","",""
