"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"13287","{""pid"":""daddyshome""}","survey-text","0","13296","0.0-0.0","daddyshome","","","","","","","","","","","",""
"1610"," ","psychophysics","1","14929","0.0-1.0","daddyshome","key"," ","16.68210309278351","500","250","inst","","","","","",""
"7401"," ","psychophysics","2","22335","0.0-2.0","daddyshome","key"," ","16.683205417607223","500","250","sample1","","","","","",""
"22198"," ","psychophysics","3","44534","0.0-3.0","daddyshome","key"," ","16.683384210526313","500","250","sample2","98","","","","",""
"6834"," ","psychophysics","4","51369","0.0-4.0","daddyshome","key"," ","16.683374083129586","500","250","sample3","98","","","","",""
"10148"," ","psychophysics","5","61518","0.0-5.0","daddyshome","key"," ","16.683362438220758","500","250","sample4","100","","","","",""
"5082"," ","psychophysics","6","66601","0.0-6.0","daddyshome","key"," ","16.683842105263178","500","250","sample5","","","","","",""
"10900"," ","psychophysics","7","77502","0.0-7.0","daddyshome","key"," ","16.683547546012285","500","250","sample7","502","","","","",""
"4264"," ","psychophysics","8","81767","0.0-8.0","daddyshome","key"," ","16.68356470588233","500","250","inst","","","","","",""
"4702"," ","psychophysics","9","86470","0.0-9.0","daddyshome","key"," ","16.683131672597888","500","250","inst","","","","","",""
"4719"," ","psychophysics","10","91190","0.0-10.0","daddyshome","key"," ","16.683248226950326","500","250","inst","","","","","",""
"2647"," ","psychophysics","11","93839","0.0-11.0","daddyshome","key"," ","16.6826242038216","500","250","inst","","","","","",""
"3048"," ","psychophysics","12","96888","0.0-12.0","daddyshome","key"," ","16.683972527472488","500","250","inst","","","","","",""
"2954"," ","psychophysics","13","99846","0.0-13.0","daddyshome","key"," ","16.683494318181808","500","250","instBr0","-15","0","0","0","300",""
"6438"," ","psychophysics","14","106286","0.0-14.0","daddyshome","key"," ","16.683277922077934","500","250","instBr1","-12","0","0","-40","300",""
"4974"," ","psychophysics","15","111262","0.0-15.0","daddyshome","key"," ","16.683516778523522","500","250","instBr2","-6","0","0","40","300",""
