"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"14375","{""pid"":""mahbod1234""}","survey-text","0","14384","0.0-0.0","mahbod1234","","","","","","","","","","","",""
"13436"," ","psychophysics","1","27825","0.0-1.0","mahbod1234","key"," ","9.819295321637426","500","250","inst","","","","","",""
"9954"," ","psychophysics","2","37783","0.0-2.0","mahbod1234","key"," ","8.347725671140937","500","250","sample1","","","","","",""
"2352"," ","psychophysics","3","40138","0.0-3.0","mahbod1234","key"," ","8.332999999999988","500","250","sample2","132","","","","",""
"2679"," ","psychophysics","4","42822","0.0-4.0","mahbod1234","key"," ","8.35895950155764","500","250","sample3","70","","","","",""
"4123"," ","psychophysics","5","46947","0.0-5.0","mahbod1234","key"," ","8.333","500","250","sample4","100","","","","",""
"2384"," ","psychophysics","6","49332","0.0-6.0","mahbod1234","key"," ","8.332999999999997","500","250","sample5","","","","","",""
"6359"," ","psychophysics","7","55695","0.0-7.0","mahbod1234","key"," ","8.34509580052494","500","250","sample7","502","","","","",""
"685"," ","psychophysics","8","56382","0.0-8.0","mahbod1234","key"," ","8.332999999999977","500","250","inst","","","","","",""
"538"," ","psychophysics","9","56924","0.0-9.0","mahbod1234","key"," ","8.33299999999997","500","250","inst","","","","","",""
"386"," ","psychophysics","10","57313","0.0-10.0","mahbod1234","key"," ","8.332999999999984","500","250","inst","","","","","",""
"541"," ","psychophysics","11","57855","0.0-11.0","mahbod1234","key"," ","8.33299999999999","500","250","inst","","","","","",""
"657"," ","psychophysics","12","58516","0.0-12.0","mahbod1234","key"," ","8.332999999999933","500","250","inst","","","","","",""
"2738"," ","psychophysics","13","61257","0.0-13.0","mahbod1234","key"," ","8.33434650455927","500","250","instBr0","-14","0","0","0","300",""
"401"," ","psychophysics","14","61662","0.0-14.0","mahbod1234","key"," ","8.332999999999933","500","250","instBr1","-55","0","0","-40","300",""
"389"," ","psychophysics","15","62053","0.0-15.0","mahbod1234","key"," ","8.332999999999984","500","250","instBr2","25","0","0","40","300",""
"10052"," ","psychophysics","16","72106","0.0-16.0","mahbod1234","key"," ","8.346853699085619","500","250","instBr3","-18","0","0","40","300",""
"449"," ","psychophysics","17","72558","0.0-17.0","mahbod1234","key"," ","8.333000000000093","500","250","inst","","","","","",""
"2034"," ","psychophysics","18","74594","0.0-18.0","mahbod1234","key"," ","8.332999999999972","500","250","br","-20","17","-13","-15","300",""
"4543"," ","psychophysics","19","79139","0.0-19.0","mahbod1234","key"," ","8.333000000000004","500","250","br","-7","-29","2","37","300",""
"520"," ","psychophysics","20","79663","0.0-20.0","mahbod1234","key"," ","8.333000000000128","500","250","inst","","","","","",""
"5097"," ","psychophysics","21","84762","0.0-21.0","mahbod1234","key"," ","8.334448445171846","500","250","instEB0","45","0","0","40","40",""
"8489"," ","psychophysics","22","93253","0.0-22.0","mahbod1234","key"," ","8.333000000000006","500","250","instEB1","70","0","0","30","70",""
"5126"," ","psychophysics","23","98381","0.0-23.0","mahbod1234","key"," ","8.332999999999998","500","250","instEB2","47","0","0","60","40",""
"7197"," ","psychophysics","24","105582","0.0-24.0","mahbod1234","key"," ","8.353384436701505","500","250","instEB3","68","0","0","45","65",""
"4256"," ","psychophysics","25","109841","0.0-25.0","mahbod1234","key"," ","8.349339215686275","500","250","instEB4","62","0","0","45","65",""
"2970"," ","psychophysics","26","112812","0.0-26.0","mahbod1234","key"," ","8.381467422096305","500","250","inst","","","","","",""
"930"," ","psychophysics","27","113744","0.0-27.0","mahbod1234","key"," ","8.332999999999899","500","250","eb","54","0","0","54","42",""
"18026"," ","psychophysics","28","131772","0.0-28.0","mahbod1234","key"," ","8.352726935558644","500","250","eb","42","0","0","31","32",""
"505"," ","psychophysics","29","132281","0.0-29.0","mahbod1234","key"," ","8.333000000000174","500","250","inst","","","","","",""
"18205"," ","psychophysics","30","150490","0.0-30.0","mahbod1234","key"," ","9.280576452599393","500","250","instBis0","154","0","0","110","150",""
"961"," ","psychophysics","31","151453","0.0-31.0","mahbod1234","key"," ","8.332999999999997","500","250","instBis1","110","0","0","110","150",""
"1052"," ","psychophysics","32","152507","0.0-32.0","mahbod1234","key"," ","8.400201612903226","500","250","instBis2","141","0","5","141","183",""
"591"," ","psychophysics","33","153101","0.0-33.0","mahbod1234","key"," ","8.333000000000155","500","250","inst","","","","","",""
"5594"," ","psychophysics","34","158696","0.0-34.0","mahbod1234","key"," ","8.345455904334807","500","250","bis","154","28","28","108","276",""
"3288"," ","psychophysics","35","161986","0.0-35.0","mahbod1234","key"," ","8.355333333333279","500","250","bis","165","-2","-14","169","258",""
"534"," ","psychophysics","36","162521","0.0-36.0","mahbod1234","key"," ","8.332999999999874","500","250","inst","","","","","",""
"17398"," ","psychophysics","37","179921","0.0-37.0","mahbod1234","key"," ","8.345208253358921","500","250","instZol0","0.19999999999999937","0","0","0","",""
"809"," ","psychophysics","38","180732","0.0-38.0","mahbod1234","key"," ","8.33299999999977","500","250","instZol1","1.3","0","0","-1.3","",""
"4286"," ","psychophysics","39","185021","0.0-39.0","mahbod1234","key"," ","8.332999999999997","500","250","instZol2","-1.3999999999999995","0","0","2","",""
"480"," ","psychophysics","40","185502","0.0-40.0","mahbod1234","key"," ","8.481803571428568","500","250","inst","","","","","",""
"775"," ","psychophysics","41","186281","0.0-41.0","mahbod1234","key"," ","8.332999999999984","500","250","zol","0.11","-20","18","-0.11","",""
"596"," ","psychophysics","42","186881","0.0-42.0","mahbod1234","key"," ","8.332999999999744","500","250","zol","0.13","-12","-20","-0.13","",""
"510"," ","psychophysics","43","187393","0.0-43.0","mahbod1234","key"," ","8.332999999999911","500","250","inst","","","","","",""
"3085"," ","psychophysics","44","190480","0.0-44.0","mahbod1234","key"," ","8.358054347826075","500","250","instPz0","48","","","50","50",""
"421"," ","psychophysics","45","190902","0.0-45.0","mahbod1234","key"," ","8.332999999999883","500","250","instPz1","25","","","25","50",""
"476"," ","psychophysics","46","191380","0.0-46.0","mahbod1234","key"," ","8.332999999999759","500","250","instPz2","15","","","15","25",""
"2559"," ","psychophysics","47","193944","0.0-47.0","mahbod1234","key"," ","8.332999999999998","500","250","instPz3","28","","","15","25",""
"4185"," ","psychophysics","48","198131","0.0-48.0","mahbod1234","key"," ","8.366398797595158","500","250","instPz4","38","","","15","30",""
"447"," ","psychophysics","49","198580","0.0-49.0","mahbod1234","key"," ","8.333000000000093","500","250","inst","","","","","",""
"5823"," ","psychophysics","50","204406","0.0-50.0","mahbod1234","key"," ","8.356945402298862","500","250","pz","51","","","15","42",""
"6413"," ","psychophysics","51","210821","0.0-51.0","mahbod1234","key"," ","8.345005208333342","500","250","pz","63","","","15","47",""
"596"," ","psychophysics","52","211421","0.0-52.0","mahbod1234","key"," ","8.332999999999744","500","250","inst","","","","","",""
"4886"," ","psychophysics","53","216309","0.0-53.0","mahbod1234","key"," ","8.375879931389376","500","250","instTilt0","-6","","","-5","-5","2"
"483"," ","psychophysics","54","216794","0.0-54.0","mahbod1234","key"," ","8.332999999999997","500","250","instTilt1","5","","","5","-5","2"
"1193"," ","psychophysics","55","217989","0.0-55.0","mahbod1234","key"," ","8.332999999999949","500","250","instTilt2","-6","","","5","-5","2"
"420"," ","psychophysics","56","218412","0.0-56.0","mahbod1234","key"," ","8.333000000000466","500","250","instTilt","0","","","","9","2"
"1199"," ","psychophysics","57","219614","0.0-57.0","mahbod1234","key"," ","8.333000000000043","500","250","instTilt","-1","","","","9","1"
"863"," ","psychophysics","58","220480","0.0-58.0","mahbod1234","key"," ","8.332999999999991","500","250","inst","","","","","",""
