"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"139104","{""pid"":""test123""}","survey-text","0","139121","0.0-0.0","test123","","","","","","","","","","","",""
"1279"," ","psychophysics","1","140409","0.0-1.0","test123","key"," ","16.665999999999705","500","250","inst","","","","","",""
"2000"," ","psychophysics","2","142411","0.0-2.0","test123","key"," ","16.808444444444348","500","250","sample1","","","","","",""
"3479"," ","psychophysics","3","145895","0.0-3.0","test123","key"," ","16.665999999999947","500","250","sample2","98","","","","",""
"614"," ","psychophysics","4","146511","0.0-4.0","test123","key"," ","16.666000000000672","500","250","sample3","70","","","","",""
"634"," ","psychophysics","5","147147","0.0-5.0","test123","key"," ","16.665999999999865","500","250","sample4","130","","","","",""
"2376"," ","psychophysics","6","149526","0.0-6.0","test123","key"," ","16.666000000000086","500","250","sample5","","","","","",""
"4166"," ","psychophysics","7","153694","0.0-7.0","test123","key"," ","16.66957028112449","500","250","sample7","500","","","","",""
"559"," ","psychophysics","8","154255","0.0-8.0","test123","key"," ","16.666000000000167","500","250","inst","","","","","",""
"418"," ","psychophysics","9","154677","0.0-9.0","test123","key"," ","16.665999999999766","500","250","inst","","","","","",""
"384"," ","psychophysics","10","155063","0.0-10.0","test123","key"," ","16.666000000000086","500","250","inst","","","","","",""
"481"," ","psychophysics","11","155547","0.0-11.0","test123","key"," ","16.665999999999517","500","250","inst","","","","","",""
"492"," ","psychophysics","12","156042","0.0-12.0","test123","key"," ","16.665999999999446","500","250","inst","","","","","",""
"3292"," ","psychophysics","13","159336","0.0-13.0","test123","key"," ","16.665999999999965","500","250","instBr0","-16","0","0","0","300",""
"3288"," ","psychophysics","14","162627","0.0-14.0","test123","key"," ","16.66599999999995","500","250","instBr1","-27","0","0","-40","300",""
"4298"," ","psychophysics","15","166928","0.0-15.0","test123","key"," ","16.666000000000043","500","250","instBr2","-13","0","0","40","300",""
"4046"," ","psychophysics","16","170977","0.0-16.0","test123","key"," ","16.73515352697092","500","250","instBr3","5","0","0","40","300",""
"598"," ","psychophysics","17","171577","0.0-17.0","test123","key"," ","16.665999999999933","500","250","inst","","","","","",""
"552"," ","psychophysics","18","172132","0.0-18.0","test123","key"," ","16.666000000000167","500","250","br","-16","8","-4","-16","300",""
"1560"," ","psychophysics","19","173694","0.0-19.0","test123","key"," ","16.67555913978484","500","250","br","5","-24","-16","14","300",""
"715"," ","psychophysics","20","174412","0.0-20.0","test123","key"," ","16.665999999999517","500","250","inst","","","","","",""
"2172"," ","psychophysics","21","176587","0.0-21.0","test123","key"," ","16.666000000000146","500","250","instEB0","40","0","0","40","40",""
"570"," ","psychophysics","22","177162","0.0-22.0","test123","key"," ","16.666000000000007","500","250","instEB1","30","0","0","30","70",""
"787"," ","psychophysics","23","177952","0.0-23.0","test123","key"," ","16.66599999999997","500","250","instEB2","60","0","0","60","40",""
"968"," ","psychophysics","24","178926","0.0-24.0","test123","key"," ","16.665999999999947","500","250","instEB3","45","0","0","45","65",""
"1065"," ","psychophysics","25","179993","0.0-25.0","test123","key"," ","16.66600000000021","500","250","instEB4","45","0","0","45","65",""
"556"," ","psychophysics","26","180552","0.0-26.0","test123","key"," ","16.666000000000167","500","250","inst","","","","","",""
"7326"," ","psychophysics","27","187882","0.0-27.0","test123","key"," ","16.665999999999958","500","250","eb","52","0","0","50","44",""
"4394"," ","psychophysics","28","192279","0.0-28.0","test123","key"," ","16.666000000000096","500","250","eb","42","0","0","46","35",""
"600"," ","psychophysics","29","192882","0.0-29.0","test123","key"," ","16.665999999999933","500","250","inst","","","","","",""
"2843"," ","psychophysics","30","195728","0.0-30.0","test123","key"," ","16.671223529411808","500","250","instBis0","152","0","0","110","150",""
"417"," ","psychophysics","31","196148","0.0-31.0","test123","key"," ","16.665999999999865","500","250","instBis1","110","0","0","110","150",""
"661"," ","psychophysics","32","196812","0.0-32.0","test123","key"," ","16.665999999999677","500","250","instBis2","110","-1","-24","110","144",""
"504"," ","psychophysics","33","197319","0.0-33.0","test123","key"," ","16.666000000000448","500","250","inst","","","","","",""
"1032"," ","psychophysics","34","198355","0.0-34.0","test123","key"," ","16.665999999999823","500","250","bis","244","13","25","244","200",""
"5903"," ","psychophysics","35","204262","0.0-35.0","test123","key"," ","16.66600000000007","500","250","bis","180","-12","-9","298","132",""
"534"," ","psychophysics","36","204799","0.0-36.0","test123","key"," ","16.66599999999938","500","250","inst","","","","","",""
"770"," ","psychophysics","37","205572","0.0-37.0","test123","key"," ","16.6660000000006","500","250","instZol0","-0.1","0","0","0","",""
"385"," ","psychophysics","38","205960","0.0-38.0","test123","key"," ","16.66599999999997","500","250","instZol1","1.3","0","0","-1.3","",""
"4838"," ","psychophysics","39","210802","0.0-39.0","test123","key"," ","16.665999999999958","500","250","instZol2","-0.8999999999999992","0","0","2","",""
"572"," ","psychophysics","40","211377","0.0-40.0","test123","key"," ","16.666000000000007","500","250","inst","","","","","",""
"3448"," ","psychophysics","41","214829","0.0-41.0","test123","key"," ","16.67030582524278","500","250","zol","-0.8499999999999999","15","9","-0.75","",""
"379"," ","psychophysics","42","215211","0.0-42.0","test123","key"," ","16.666000000000086","500","250","zol","0.39","-30","24","-0.39","",""
"538"," ","psychophysics","43","215752","0.0-43.0","test123","key"," ","16.666000000000256","500","250","inst","","","","","",""
"933"," ","psychophysics","44","216701","0.0-44.0","test123","key"," ","16.666000000000036","500","250","instPz0","51","","","50","50",""
"358"," ","psychophysics","45","217062","0.0-45.0","test123","key"," ","16.66600000000021","500","250","instPz1","25","","","25","50",""
"353"," ","psychophysics","46","217418","0.0-46.0","test123","key"," ","16.665999999998895","500","250","instPz2","15","","","15","25",""
"6294"," ","psychophysics","47","223719","0.0-47.0","test123","key"," ","16.667177718832846","500","250","instPz3","37","","","15","25",""
"3955"," ","psychophysics","48","227679","0.0-48.0","test123","key"," ","16.666000000000018","500","250","instPz4","37","","","15","30",""
"1032"," ","psychophysics","49","228712","0.0-49.0","test123","key"," ","16.666000000000302","500","250","inst","","","","","",""
"4381"," ","psychophysics","50","233096","0.0-50.0","test123","key"," ","16.665999999999993","500","250","pz","45","","","15","32",""
"6475"," ","psychophysics","51","239575","0.0-51.0","test123","key"," ","16.70906459948319","500","250","pz","74","","","15","54",""
"565"," ","psychophysics","52","240142","0.0-52.0","test123","key"," ","16.666000000000086","500","250","inst","","","","","",""
"4906"," ","psychophysics","53","245051","0.0-53.0","test123","key"," ","16.669030716723594","500","250","instTilt0","-6","","","-5","-5","2"
"2939"," ","psychophysics","54","247993","0.0-54.0","test123","key"," ","16.66599999999992","500","250","instTilt1","-6","","","5","-5","2"
"608"," ","psychophysics","55","248603","0.0-55.0","test123","key"," ","16.665999999999933","500","250","instTilt2","5","","","5","-5","2"
"452"," ","psychophysics","56","249057","0.0-56.0","test123","key"," ","16.666000000000796","500","250","instTilt","0","","","","9","2"
"391"," ","psychophysics","57","249461","0.0-57.0","test123","key"," ","16.665999999999865","500","250","instTilt","0","","","","9","1"
"534"," ","psychophysics","58","249997","0.0-58.0","test123","key"," ","16.666000000000256","500","250","inst","","","","","",""
"3433"," ","psychophysics","59","253432","0.0-59.0","test123","key"," ","16.665999999999993","500","250","tilt","6","","","","4","0"
"1541"," ","psychophysics","60","254975","0.0-60.0","test123","key"," ","16.66599999999997","500","250","tilt","3","","","","-2","0"
"635"," ","psychophysics","61","255612","0.0-61.0","test123","key"," ","16.665999999999798","500","250","inst","","","","","",""
"6832"," ","psychophysics","62","262446","0.0-62.0","test123","key"," ","16.706848039215757","500","250","instPog0","160","0","0","190","160",""
"412"," ","psychophysics","63","262859","0.0-63.0","test123","key"," ","16.666000000001237","500","250","instPog1","190","0","0","190","160",""
"2885"," ","psychophysics","64","265748","0.0-64.0","test123","key"," ","16.671127167630285","500","250","instPog2","175","0","0","190","160",""
"507"," ","psychophysics","65","266258","0.0-65.0","test123","key"," ","16.666000000000448","500","250","inst","","","","","",""
"583"," ","psychophysics","66","266846","0.0-66.0","test123","key"," ","16.665999999999933","500","250","pog","189","0","0","189","137",""
"6795"," ","psychophysics","67","273643","0.0-67.0","test123","key"," ","16.707049261083686","500","250","pog","156","0","0","93","140",""
"568"," ","psychophysics","68","274213","0.0-68.0","test123","key"," ","16.666000000000086","500","250","inst","","","","","",""
"779"," ","psychophysics","69","274996","0.0-69.0","test123","key"," ","16.66599999999997","500","250","instML0","0","0","0","0","150","150"
"2095"," ","psychophysics","70","277093","0.0-70.0","test123","key"," ","16.666","500","250","instML1","-34","0","0","-60","120","180"
"5917"," ","psychophysics","71","283013","0.0-71.0","test123","key"," ","16.71321246458914","500","250","instML2","-2","0","0","60","180","120"
"8480"," ","psychophysics","72","291495","0.0-72.0","test123","key"," ","16.667748031496092","500","250","instML3","26","0","0","-60","120","180"
"429"," ","psychophysics","73","291926","0.0-73.0","test123","key"," ","16.66600000000093","500","250","inst","","","","","",""
"465"," ","psychophysics","74","292394","0.0-74.0","test123","key"," ","16.666000000000672","500","250","ml","1","0","0","1","177","176"
"337"," ","psychophysics","75","292734","0.0-75.0","test123","key"," ","16.666000000002033","500","250","ml","11","0","0","11","168","157"
