"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"true","fullscreen","0","2339","0.0-0.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","","","","","","","","","","","","","",""
"true","preload","1","2340","0.0-1.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","2832","0.0-2.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","489","key"," "," ","6.945901408450705","500","250","inst","","","","","",""
"","psychophysics","3","3003","0.0-3.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","170","key"," "," ","6.945541666666675","500","250","sample1","","","","","",""
"","psychophysics","4","3168","0.0-4.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","164","key"," "," ","6.945909090909089","500","250","sample2","130","","","","",""
"","psychophysics","5","3336","0.0-5.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","167","key"," "," ","6.945583333333332","500","250","sample3","70","","","","",""
"","psychophysics","6","3531","0.0-6.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","194","key"," "," ","6.944555555555545","500","250","sample4","130","","","","",""
"","psychophysics","7","3717","0.0-7.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","185","key"," "," ","6.945720000000019","500","250","sample5","","","","","",""
"","psychophysics","8","3868","0.0-8.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","149","key"," "," ","6.944904761904755","500","250","sample7","450","","","","",""
"","psychophysics","9","4005","0.0-9.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","136","key"," "," ","6.945421052631613","500","250","inst","","","","","",""
"","psychophysics","10","4097","0.0-10.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","91","key"," "," ","6.945666666666663","500","250","inst","","","","","",""
"","psychophysics","11","4344","0.0-11.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","246","key"," "," ","6.945600000000013","500","250","inst","","","","","",""
"","psychophysics","12","4437","0.0-12.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","92","key"," "," ","6.945583333333313","500","250","inst","","","","","",""
"","psychophysics","13","4533","0.0-13.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","95","key"," "," ","6.944153846153802","500","250","inst","","","","","",""
"","psychophysics","14","4704","0.0-14.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","170","key"," "," ","6.945304347826095","500","250","instPog0","384.5","2","349.5","0","0","319.5"
"","psychophysics","15","4789","0.0-15.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","84","key"," "," ","6.945000000000012","500","250","instPog1","349.5","2","349.5","0","0","319.5"
"","psychophysics","16","4858","0.0-16.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","68","key"," "," ","6.944666666666611","500","250","instPog2","349.5","2","349.5","0","0","319.5"
"","psychophysics","17","4959","0.0-17.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","100","key"," "," ","6.945769230769236","500","250","inst","","","","","",""
"","psychophysics","18","5045","0.0-18.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","85","key"," "," ","6.945749999999937","500","250","pog","350.5","2","350.5","0","0","301.5"
"","psychophysics","19","5109","0.0-19.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","64","key"," "," ","6.9465000000000146","500","250","pog","390.5","2","390.5","0","0","279.5"
"","psychophysics","20","5205","0.0-20.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","94","key"," "," ","6.945384615384612","500","250","pog","288.5","2","288.5","0","0","353.5"
"","psychophysics","21","5342","0.0-21.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","136","key"," "," ","6.945444444444446","500","250","pog","284.5","2","284.5","0","0","322.5"
"","psychophysics","22","5383","0.0-22.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","41","key"," "," ","6.945399999999973","500","250","pog","268.5","2","268.5","0","0","289.5"
"","psychophysics","23","5444","0.0-23.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","59","key"," "," ","6.946874999999977","500","250","pog","319.5","2","319.5","0","0","302.5"
"","psychophysics","24","5573","0.0-24.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","128","key"," "," ","6.945166666666662","500","250","pog","367.5","2","367.5","0","0","341.5"
"","psychophysics","25","5637","0.0-25.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","63","key"," "," ","6.946000000000026","500","250","pog","327.5","2","327.5","0","0","307.5"
"","psychophysics","26","5725","0.0-26.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","87","key"," "," ","6.945090909090885","500","250","pog","390.5","2","390.5","0","0","339.5"
"","psychophysics","27","5809","0.0-27.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","81","key"," "," ","6.945249999999987","500","250","pog","356.5","2","356.5","0","0","350.5"
"","psychophysics","28","5886","0.0-28.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","76","key"," "," ","6.945399999999973","500","250","pog","296.5","2","296.5","0","0","322.5"
"","psychophysics","29","5973","0.0-29.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","87","key"," "," ","6.944818181818184","500","250","pog","289.5","2","289.5","0","0","300.5"
"","psychophysics","30","6099","0.0-30.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","125","key"," "," ","6.945470588235313","500","250","pog","303.5","2","303.5","0","0","303.5"
"","psychophysics","31","6172","0.0-31.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","73","key"," "," ","6.9465000000000146","500","250","pog","308.5","2","308.5","0","0","322.5"
"","psychophysics","32","6255","0.0-32.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","81","key"," "," ","6.944999999999957","500","250","pog","280.5","2","280.5","0","0","293.5"
"","psychophysics","33","6358","0.0-33.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","102","key"," "," ","6.945500000000005","500","250","inst","","","","","",""
"","psychophysics","34","6432","0.0-34.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","73","key"," "," ","6.944888888888879","500","250","instBr0","NaN","","0","0","0","300"
"","psychophysics","35","6514","0.0-35.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","81","key"," "," ","6.944909090909112","500","250","instBr1","NaN","","-40","0","0","300"
"","psychophysics","36","6644","0.0-36.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","129","key"," "," ","6.946611111111098","500","250","instBr","70","2","40","0","0","300"
"","psychophysics","37","6711","0.0-37.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","64","key"," "," ","7.052625000000035","500","250","inst","","","","","",""
