"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","jitterX","jitterY","start","parA"
"true","fullscreen","0","2224","0.0-0.0","TEST","TEST","","","","","","","","","","","","","","","","","",""
"true","preload","1","2226","0.0-1.0","TEST","TEST","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","2556","0.0-2.0","TEST","TEST","","","","","316","key"," "," ","16.687899999999992","500","250","inst","","","","","",""
"","psychophysics","3","2697","0.0-3.0","TEST","TEST","","","","","139","key"," "," ","16.67750000000001","500","250","sample1","","","","","",""
"","psychophysics","4","2840","0.0-4.0","TEST","TEST","","","","","141","key"," "," ","16.64599999999999","500","250","sample2","130","","","","",""
"","psychophysics","5","2984","0.0-5.0","TEST","TEST","","","","","141","key"," "," ","16.698499999999967","500","250","sample3","70","","","","",""
"","psychophysics","6","3122","0.0-6.0","TEST","TEST","","","","","137","key"," "," ","16.660285714285756","500","250","sample4","130","","","","",""
"","psychophysics","7","3259","0.0-7.0","TEST","TEST","","","","","135","key"," "," ","16.654857142857118","500","250","sample5","","","","","",""
"","psychophysics","8","3574","0.0-8.0","TEST","TEST","","","","","309","key"," "," ","16.700999999999997","500","250","sample7","450","","","","",""
"","psychophysics","9","3699","0.0-9.0","TEST","TEST","","","","","123","key"," "," ","16.62414285714288","500","250","inst","","","","","",""
"","psychophysics","10","3956","0.0-10.0","TEST","TEST","","","","","255","key"," "," ","16.667714285714315","500","250","inst","","","","","",""
"","psychophysics","11","4207","0.0-11.0","TEST","TEST","","","","","250","key"," "," ","16.673142857142857","500","250","inst","","","","","",""
"","psychophysics","12","4508","0.0-12.0","TEST","TEST","","","","","299","key"," "," ","16.65894117647055","500","250","inst","","","","","",""
"","psychophysics","13","4640","0.0-13.0","TEST","TEST","","","","","130","key"," "," ","16.633571428571354","500","250","inst","","","","","",""
"","psychophysics","14","4870","0.0-14.0","TEST","TEST","","","","","228","key"," "," ","16.661923076923042","500","250","instBr0","NaN","","0","0","0","300"
"","psychophysics","15","5285","0.0-15.0","TEST","TEST","","","","","413","key"," "," ","16.67520833333333","500","250","instBr1","NaN","","0","0","-40","300"
"","psychophysics","16","5545","0.0-16.0","TEST","TEST","","","","","258","key"," "," ","16.65099999999997","500","250","instBr","40","1","0","0","40","300"
"","psychophysics","17","6304","0.0-17.0","TEST","TEST","","","","","755","key"," "," ","16.673488888888883","500","250","inst","","","","","",""
"","psychophysics","18","7039","0.0-18.0","TEST","TEST","","","","","733","key"," "," ","16.66311627906977","500","250","br","-46","1","10","-20","-46","300"
"","psychophysics","19","7597","0.0-19.0","TEST","TEST","","","","","557","key"," "," ","16.661909090909088","500","250","inst","","","","","",""
"","psychophysics","20","8130","0.0-20.0","TEST","TEST","","","","","531","key"," "," ","16.655774193548407","500","250","instPz0","50","2","","","50","50"
"","psychophysics","21","8476","0.0-21.0","TEST","TEST","","","","","344","key"," "," ","16.6802631578947","500","250","instPz1","25","2","","","25","50"
"","psychophysics","22","8615","0.0-22.0","TEST","TEST","","","","","135","key"," "," ","16.671875","500","250","instPz2","15","2","","","15","25"
"","psychophysics","23","8770","0.0-23.0","TEST","TEST","","","","","151","key"," "," ","16.67337499999985","500","250","instPz3","25","2","","","25","50"
"","psychophysics","24","9048","0.0-24.0","TEST","TEST","","","","","276","key"," "," ","16.69012500000008","500","250","instPz4","15","2","","","15","30"
"","psychophysics","25","9393","0.0-25.0","TEST","TEST","","","","","343","key"," "," ","16.66410526315782","500","250","inst","","","","","",""
"","psychophysics","26","9726","0.0-26.0","TEST","TEST","","","","","331","key"," "," ","16.66505263157897","500","250","pz","20","2","","","20","59"
"","psychophysics","27","10117","0.0-27.0","TEST","TEST","","","","","389","key"," "," ","16.677347826086944","500","250","inst","","","","","",""
"","psychophysics","28","10670","0.0-28.0","TEST","TEST","","","","","552","key"," "," ","16.670124999999985","500","250","instEB0","40","","0","0","40","40"
"","psychophysics","29","11035","0.0-29.0","TEST","TEST","","","","","363","key"," "," ","16.674952380952337","500","250","instEB1","30","2","0","0","30","70"
"","psychophysics","30","11418","0.0-30.0","TEST","TEST","","","","","381","key"," "," ","16.669136363636344","500","250","instEB2","60","2","0","0","60","40"
"","psychophysics","31","11781","0.0-31.0","TEST","TEST","","","","","362","key"," "," ","16.67299999999999","500","250","instEB3","45","2","0","0","45","65"
