"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","start","parA","version","jitterX","jitterY"
"true","fullscreen","0","5295","0.0-0.0","1","1","","","","","","","","","","","","","","","","","",""
"true","preload","1","5298","0.0-1.0","1","1","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","9510","0.0-2.0","1","1","","","","","4198","key"," "," ","16.66839043824701","500","250","inst","","","","","",""
"","psychophysics","3","11269","0.0-3.0","1","1","","","","","1748","key"," "," ","16.668314285714274","500","250","sample1","","","","","",""
"","psychophysics","4","11973","0.0-4.0","1","1","","","","","701","key"," "," ","16.668317073170726","500","250","sample2","130","","","","",""
"","psychophysics","5","12525","0.0-5.0","1","1","","","","","548","key"," "," ","16.668312499999956","500","250","sample3","70","","","","",""
"","psychophysics","6","13013","0.0-6.0","1","1","","","","","483","key"," "," ","16.668310344827567","500","250","sample4","130","","","","",""
"","psychophysics","7","13709","0.0-7.0","1","1","","","","","693","key"," "," ","16.6683","500","250","sample5","","","","","",""
"","psychophysics","8","14182","0.0-8.0","1","1","","","","","467","key"," "," ","16.66832142857142","500","250","sample7","450","","","","",""
"","psychophysics","9","14853","0.0-9.0","1","1","","","","","669","key"," "," ","16.6683076923077","500","250","inst","","","","","",""
"","psychophysics","10","15309","0.0-10.0","1","1","","","","","453","key"," "," ","16.6683076923077","500","250","inst","","","","","",""
"","psychophysics","11","15780","0.0-11.0","1","1","","","","","467","key"," "," ","16.66832142857142","500","250","inst","","","","","",""
"","psychophysics","12","16469","0.0-12.0","1","1","","","","","689","key"," "," ","16.66832499999996","500","250","inst","","","","","",""
"","psychophysics","13","16901","0.0-13.0","1","1","","","","","424","key"," "," ","16.668319999999948","500","250","inst","","","","","",""
"","psychophysics","14","17485","0.0-14.0","1","1","","","","","581","key"," "," ","16.66832352941171","500","250","instPz0","50","50","50","2","",""
"","psychophysics","15","17885","0.0-15.0","1","1","","","","","397","key"," "," ","16.66834782608693","500","250","instPz1","25","25","50","2","",""
"","psychophysics","16","18357","0.0-16.0","1","1","","","","","469","key"," "," ","16.66833333333327","500","250","instPz2","15","15","25","2","",""
"","psychophysics","17","18837","0.0-17.0","1","1","","","","","473","key"," "," ","16.66832142857142","500","250","instPz3","25","25","50","2","",""
"","psychophysics","18","19277","0.0-18.0","1","1","","","","","437","key"," "," ","16.668320000000094","500","250","instPz4","15","15","30","2","",""
"","psychophysics","19","19765","0.0-19.0","1","1","","","","","484","key"," "," ","16.668310344827628","500","250","inst","","","","","",""
"","psychophysics","20","20165","0.0-20.0","1","1","","","","","397","key"," "," ","16.66830434782605","500","250","pz","36","36","46","2","",""
"","psychophysics","21","20597","0.0-21.0","1","1","","","","","430","key"," "," ","16.668320000000094","500","250","inst","","","","","",""
"","psychophysics","22","21013","0.0-22.0","1","1","","","","","413","key"," "," ","16.668291666666693","500","250","instEB0","40","40","40","","0","0"
"","psychophysics","23","21422","0.0-23.0","1","1","","","","","406","key"," "," ","16.66834782608693","500","250","instEB1","30","30","70","1","0","0"
"","psychophysics","24","21815","0.0-24.0","1","1","","","","","390","key"," "," ","16.66830434782621","500","250","instEB2","60","60","40","1","0","0"
"","psychophysics","25","22205","0.0-25.0","1","1","","","","","387","key"," "," ","16.668318181818243","500","250","instEB3","45","45","65","1","0","0"
"","psychophysics","26","22653","0.0-26.0","1","1","","","","","444","key"," "," ","16.6683076923077","500","250","instEB4","40","40","40","1","0","0"
"","psychophysics","27","23054","0.0-27.0","1","1","","","","","398","key"," "," ","16.66834782608693","500","250","inst","","","","","",""
"","psychophysics","28","23469","0.0-28.0","1","1","","","","","412","key"," "," ","16.66833333333322","500","250","eb","42","42","37","1","0","0"
"","psychophysics","29","23862","0.0-29.0","1","1","","","","","390","key"," "," ","16.668318181818243","500","250","inst","","","","","",""
"","psychophysics","30","24245","0.0-30.0","1","1","","","","","374","key"," "," ","16.668318181818243","500","250","instZol0","0","0","","","0","0"
"","psychophysics","31","24630","0.0-31.0","1","1","","","","","381","key"," "," ","16.66830434782621","500","250","instZol1","1.3","-1.3","","","0","0"
"","psychophysics","32","25022","0.0-32.0","1","1","","","","","387","key"," "," ","16.668318181818243","500","250","instZol2","-2","2","","1","0","0"
"","psychophysics","33","25462","0.0-33.0","1","1","","","","","438","key"," "," ","16.668320000000094","500","250","inst","","","","","",""
"","psychophysics","34","25845","0.0-34.0","1","1","","","","","377","key"," "," ","16.668318181818243","500","250","zol","0.59","-0.59","","1","29","-3"
"","psychophysics","35","26246","0.0-35.0","1","1","","","","","397","key"," "," ","16.66830434782605","500","250","inst","","","","","",""
"","psychophysics","36","26646","0.0-36.0","1","1","","","","","395","key"," "," ","16.66830434782621","500","250","instPog0","384.5","349.5","319.5","2","0","0"
"","psychophysics","37","27006","0.0-37.0","1","1","","","","","356","key"," "," ","16.668333333333326","500","250","instPog1","349.5","349.5","319.5","2","0","0"
"","psychophysics","38","27390","0.0-38.0","1","1","","","","","381","key"," "," ","16.668318181818076","500","250","instPog2","349.5","349.5","319.5","2","0","0"
"","psychophysics","39","27782","0.0-39.0","1","1","","","","","390","key"," "," ","16.66834782608693","500","250","inst","","","","","",""
"","psychophysics","40","28150","0.0-40.0","1","1","","","","","366","key"," "," ","16.668333333333326","500","250","pog","387.5","387.5","282.5","2","0","0"
"","psychophysics","41","28550","0.0-41.0","1","1","","","","","397","key"," "," ","16.66830434782621","500","250","inst","","","","","",""
"","psychophysics","42","28942","0.0-42.0","1","1","","","","","391","key"," "," ","16.668318181818243","500","250","instBr0","NaN","0","300","","0","0"
"","psychophysics","43","29334","0.0-43.0","1","1","","","","","389","key"," "," ","16.66830434782621","500","250","instBr1","NaN","-40","300","","0","0"
"","psychophysics","44","29734","0.0-44.0","1","1","","","","","397","key"," "," ","16.66834782608693","500","250","instBr","40","40","300","1","0","0"
"","psychophysics","45","30118","0.0-45.0","1","1","","","","","382","key"," "," ","16.668318181818243","500","250","inst","","","","","",""
"","psychophysics","46","30502","0.0-46.0","1","1","","","","","381","key"," "," ","16.668318181818243","500","250","br","31","31","300","1","-10","26"
"","psychophysics","47","30894","0.0-47.0","1","1","","","","","390","key"," "," ","16.66827272727278","500","250","inst","","","","","",""
"","psychophysics","48","31278","0.0-48.0","1","1","","","","","379","key"," "," ","16.668272727272612","500","250","instPz4","15","15","30","1","",""
"","psychophysics","49","31661","0.0-49.0","1","1","","","","","379","key"," "," ","16.668318181818076","500","250","inst","","","","","",""
"","psychophysics","50","32021","0.0-50.0","1","1","","","","","359","key"," "," ","16.668333333333326","500","250","pz","59","59","48","1","",""
"","psychophysics","51","32406","0.0-51.0","1","1","","","","","384","key"," "," ","16.668318181818076","500","250","inst","","","","","",""
"","psychophysics","52","32798","0.0-52.0","1","1","","","","","389","key"," "," ","16.66830434782605","500","250","instPog0","190","190","160","1","0","0"
"","psychophysics","53","33182","0.0-53.0","1","1","","","","","380","key"," "," ","16.668318181818243","500","250","instPog1","190","190","160","1","0","0"
"","psychophysics","54","33558","0.0-54.0","1","1","","","","","374","key"," "," ","16.668285714285698","500","250","instPog2","190","190","160","1","0","0"
"","psychophysics","55","33950","0.0-55.0","1","1","","","","","389","key"," "," ","16.66834782608709","500","250","inst","","","","","",""
"","psychophysics","56","34349","0.0-56.0","1","1","","","","","397","key"," "," ","16.66830434782605","500","250","pog","172","172","126","1","0","0"
"","psychophysics","57","34758","0.0-57.0","1","1","","","","","407","key"," "," ","16.66830434782605","500","250","inst","","","","","",""
"","psychophysics","58","35150","0.0-58.0","1","1","","","","","388","key"," "," ","16.66834782608709","500","250","instZol2","-2","2","","2","0","0"
"","psychophysics","59","35534","0.0-59.0","1","1","","","","","382","key"," "," ","16.668318181818243","500","250","inst","","","","","",""
"","psychophysics","60","35950","0.0-60.0","1","1","","","","","410","key"," "," ","16.66833333333337","500","250","zol","0.68","-0.68","","2","28","30"
"","psychophysics","61","36344","0.0-61.0","1","1","","","","","392","key"," "," ","16.668318181817913","500","250","inst","","","","","",""
"","psychophysics","62","36758","0.0-62.0","1","1","","","","","414","key"," "," ","16.66833333333337","500","250","instEB4","40","40","40","2","0","0"
"","psychophysics","63","37182","0.0-63.0","1","1","","","","","421","key"," "," ","16.668319999999948","500","250","inst","","","","","",""
"","psychophysics","64","37542","0.0-64.0","1","1","","","","","357","key"," "," ","16.66830000000009","500","250","eb","39","39","32","2","0","0"
"","psychophysics","65","37958","0.0-65.0","1","1","","","","","413","key"," "," ","16.66833333333337","500","250","inst","","","","","",""
"","psychophysics","66","38406","0.0-66.0","1","1","","","","","447","key"," "," ","16.66830769230784","500","250","instBr","70","40","300","2","0","0"
"","psychophysics","67","38877","0.0-67.0","1","1","","","","","469","key"," "," ","16.668296296296358","500","250","inst","","","","","",""
"","psychophysics","68","39351","0.0-68.0","1","1","","","","","472","key"," "," ","16.66832142857155","500","250","br","39","9","300","2","10","-18"
