"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"true","fullscreen","0","4331","0.0-0.0","ETHAN","TEST","","","","","","","","","","","","","","","","","",""
"true","preload","1","4332","0.0-1.0","ETHAN","TEST","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","7962","0.0-2.0","ETHAN","TEST","","","","","3627","key"," "," ","7.032156976744186","500","250","inst","","","","","",""
"","psychophysics","3","11910","0.0-3.0","ETHAN","TEST","","","","","3947","key"," "," ","7.285358595194085","500","250","sample1","","","","","",""
"","psychophysics","4","31215","0.0-4.0","ETHAN","TEST","","","","","19304","key"," "," ","7.337171102661598","500","250","sample2","-558","","","","",""
"","psychophysics","5","36511","0.0-5.0","ETHAN","TEST","","","","","5295","key"," "," ","7.316640387275238","500","250","sample3","40","","","","",""
"","psychophysics","6","46010","0.0-6.0","ETHAN","TEST","","","","","9498","key"," "," ","7.424492175273863","500","250","sample4","100","","","","",""
"","psychophysics","7","48938","0.0-7.0","ETHAN","TEST","","","","","2927","key"," "," ","7.334553884711782","500","250","sample5","","","","","",""
"","psychophysics","8","58851","0.0-8.0","ETHAN","TEST","","","","","9912","key"," "," ","7.348353857566765","500","250","sample7","500","","","","",""
"","psychophysics","9","62773","0.0-9.0","ETHAN","TEST","","","","","3921","key"," "," ","7.370192090395481","500","250","inst","","","","","",""
"","psychophysics","10","67227","0.0-10.0","ETHAN","TEST","","","","","4453","key"," "," ","7.366278606965165","500","250","inst","","","","","",""
"","psychophysics","11","69719","0.0-11.0","ETHAN","TEST","","","","","2491","key"," "," ","7.342082840236675","500","250","inst","","","","","",""
"","psychophysics","12","70803","0.0-12.0","ETHAN","TEST","","","","","1083","key"," "," ","7.280040540540515","500","250","inst","","","","","",""
"","psychophysics","13","72465","0.0-13.0","ETHAN","TEST","","","","","1661","key"," "," ","7.4522477477477045","500","250","inst","","","","","",""
"","psychophysics","14","82873","0.0-14.0","ETHAN","TEST","","","","","10407","key"," "," ","7.3440127118644085","500","250","instPog0","366.5","2","349.5","0","0","319.5"
"","psychophysics","15","97313","0.0-15.0","ETHAN","TEST","","","","","14439","key"," "," ","7.313993414387033","500","250","instPog1","424.5","2","349.5","0","0","319.5"
"","psychophysics","16","114409","0.0-16.0","ETHAN","TEST","","","","","17095","key"," "," ","7.280044737963357","500","250","instPog2","403.5","2","349.5","0","0","319.5"
"","psychophysics","17","116017","0.0-17.0","ETHAN","TEST","","","","","1607","key"," "," ","7.367709677419311","500","250","inst","","","","","",""
"","psychophysics","18","121174","0.0-18.0","ETHAN","TEST","","","","","5156","key"," "," ","7.400725574712642","500","250","pog","375.5","2","308.5","0","0","303.5"
"","psychophysics","19","125905","0.0-19.0","ETHAN","TEST","","","","","4730","key"," "," ","7.205560975609753","500","250","pog","370.5","2","347.5","0","0","301.5"
"","psychophysics","20","132796","0.0-20.0","ETHAN","TEST","","","","","6890","key"," "," ","7.3838712446351895","500","250","pog","360.5","2","301.5","0","0","280.5"
"","psychophysics","21","142489","0.0-21.0","ETHAN","TEST","","","","","9692","key"," "," ","7.318804380664659","500","250","pog","417.5","2","281.5","0","0","322.5"
"","psychophysics","22","150481","0.0-22.0","ETHAN","TEST","","","","","7990","key"," "," ","7.3211752293577765","500","250","pog","439.5","2","300.5","0","0","358.5"
"","psychophysics","23","172505","0.0-23.0","ETHAN","TEST","","","","","22023","key"," "," ","7.365107023411375","500","250","pog","400.5","2","311.5","0","0","316.5"
"","psychophysics","24","180589","0.0-24.0","ETHAN","TEST","","","","","8083","key"," "," ","7.296651309846415","500","250","pog","368.5","2","309.5","0","0","288.5"
"","psychophysics","25","186048","0.0-25.0","ETHAN","TEST","","","","","5458","key"," "," ","7.3447614555256","500","250","pog","360.5","2","261.5","0","0","284.5"
"","psychophysics","26","191203","0.0-26.0","ETHAN","TEST","","","","","5155","key"," "," ","7.390111908177899","500","250","pog","395.5","2","344.5","0","0","320.5"
"","psychophysics","27","196421","0.0-27.0","ETHAN","TEST","","","","","5217","key"," "," ","7.333098591549295","500","250","pog","395.5","2","314.5","0","0","331.5"
"","psychophysics","28","203363","0.0-28.0","ETHAN","TEST","","","","","6941","key"," "," ","7.32563780359027","500","250","pog","394.5","2","260.5","0","0","332.5"
"","psychophysics","29","207341","0.0-29.0","ETHAN","TEST","","","","","3977","key"," "," ","7.309718232044192","500","250","pog","383.5","2","313.5","0","0","313.5"
"","psychophysics","30","209834","0.0-30.0","ETHAN","TEST","","","","","2492","key"," "," ","7.2765087719298","500","250","pog","390.5","2","355.5","0","0","319.5"
"","psychophysics","31","214947","0.0-31.0","ETHAN","TEST","","","","","5112","key"," "," ","7.320272596843589","500","250","pog","418.5","2","320.5","0","0","356.5"
"","psychophysics","32","222700","0.0-32.0","ETHAN","TEST","","","","","7752","key"," "," ","7.3815999999999935","500","250","pog","377.5","2","242.5","0","0","314.5"
"","psychophysics","33","239493","0.0-33.0","ETHAN","TEST","","","","","16792","key"," "," ","7.366287093942055","500","250","inst","","","","","",""
"","psychophysics","34","240761","0.0-34.0","ETHAN","TEST","","","","","1268","key"," "," ","7.398409356725129","500","250","instEB0","40","","40","0","0","40"
"","psychophysics","35","241904","0.0-35.0","ETHAN","TEST","","","","","1142","key"," "," ","7.171253164556899","500","250","instEB1","30","1","30","0","0","70"
"","psychophysics","36","244350","0.0-36.0","ETHAN","TEST","","","","","2445","key"," "," ","7.371241691842882","500","250","instEB2","64","1","60","0","0","40"
"","psychophysics","37","257340","0.0-37.0","ETHAN","TEST","","","","","12989","key"," "," ","7.3031535433070935","500","250","instEB3","70","1","45","0","0","65"
"","psychophysics","38","261867","0.0-38.0","ETHAN","TEST","","","","","4526","key"," "," ","7.335590243902449","500","250","instEB4","44","1","40","0","0","40"
"","psychophysics","39","265599","0.0-39.0","ETHAN","TEST","","","","","3731","key"," "," ","7.348907297830333","500","250","inst","","","","","",""
"","psychophysics","40","269344","0.0-40.0","ETHAN","TEST","","","","","3744","key"," "," ","7.319362745098039","500","250","eb","43","1","25","0","0","39"
"","psychophysics","41","272328","0.0-41.0","ETHAN","TEST","","","","","2983","key"," "," ","7.274220048899798","500","250","eb","60","1","34","0","0","53"
"","psychophysics","42","274029","0.0-42.0","ETHAN","TEST","","","","","1700","key"," "," ","7.2795708154504535","500","250","eb","33","1","27","0","0","29"
"","psychophysics","43","276815","0.0-43.0","ETHAN","TEST","","","","","2785","key"," "," ","7.3753580901855464","500","250","eb","51","1","36","0","0","50"
"","psychophysics","44","280115","0.0-44.0","ETHAN","TEST","","","","","3300","key"," "," ","7.2581832229580465","500","250","eb","42","1","45","0","0","31"
"","psychophysics","45","285121","0.0-45.0","ETHAN","TEST","","","","","5005","key"," "," ","7.338602639296139","500","250","eb","36","1","47","0","0","29"
"","psychophysics","46","287795","0.0-46.0","ETHAN","TEST","","","","","2673","key"," "," ","7.395383333333302","500","250","eb","43","1","32","0","0","39"
"","psychophysics","47","290813","0.0-47.0","ETHAN","TEST","","","","","3017","key"," "," ","7.3233430656933605","500","250","eb","58","1","34","0","0","47"
"","psychophysics","48","292620","0.0-48.0","ETHAN","TEST","","","","","1805","key"," "," ","7.2597338709677","500","250","eb","38","1","43","0","0","27"
"","psychophysics","49","294919","0.0-49.0","ETHAN","TEST","","","","","2298","key"," "," ","7.328632587859312","500","250","eb","76","1","38","0","0","52"
"","psychophysics","50","296324","0.0-50.0","ETHAN","TEST","","","","","1404","key"," "," ","7.277114583333362","500","250","eb","66","1","46","0","0","49"
"","psychophysics","51","297394","0.0-51.0","ETHAN","TEST","","","","","1069","key"," "," ","7.3859097222221965","500","250","eb","47","1","47","0","0","36"
"","psychophysics","52","299164","0.0-52.0","ETHAN","TEST","","","","","1769","key"," "," ","7.356795833333308","500","250","eb","44","1","48","0","0","34"
"","psychophysics","53","300176","0.0-53.0","ETHAN","TEST","","","","","1011","key"," "," ","7.699930769230615","500","250","eb","37","1","40","0","0","28"
"","psychophysics","54","304074","0.0-54.0","ETHAN","TEST","","","","","3897","key"," "," ","7.471629558541234","500","250","eb","36","1","54","0","0","31"
"","psychophysics","55","304620","0.0-55.0","ETHAN","TEST","","","","","545","key"," "," ","7.136573333333557","500","250","inst","","","","","",""
"","psychophysics","56","305648","0.0-56.0","ETHAN","TEST","","","","","1027","key"," "," ","7.351374100719531","500","250","instZol0","0","","0","0","0",""
"","psychophysics","57","306313","0.0-57.0","ETHAN","TEST","","","","","664","key"," "," ","7.26023333333368","500","250","instZol1","1.3","","-1.3","0","0",""
"","psychophysics","58","306871","0.0-58.0","ETHAN","TEST","","","","","557","key"," "," ","7.322053333333073","500","250","instZol2","-2","2","2","0","0",""
"","psychophysics","59","307489","0.0-59.0","ETHAN","TEST","","","","","617","key"," "," ","7.282345238095288","500","250","inst","","","","","",""
"","psychophysics","60","315996","0.0-60.0","ETHAN","TEST","","","","","8506","key"," "," ","7.399373693379816","500","250","zol","-1.2700000000000002","2","0.07","16","18",""
"","psychophysics","61","322641","0.0-61.0","ETHAN","TEST","","","","","6644","key"," "," ","7.450597081930436","500","250","zol","-0.3500000000000002","2","-0.45","17","-23",""
"","psychophysics","62","327636","0.0-62.0","ETHAN","TEST","","","","","4994","key"," "," ","7.394167407407356","500","250","zol","-0.4899999999999999","2","-0.41","-2","12",""
"","psychophysics","63","339699","0.0-63.0","ETHAN","TEST","","","","","12062","key"," "," ","7.390271612507662","500","250","zol","-0.57","2","0.47","-8","-17",""
"","psychophysics","64","344534","0.0-64.0","ETHAN","TEST","","","","","4834","key"," "," ","7.342742770167384","500","250","zol","0.06000000000000005","2","0.44","6","27",""
"","psychophysics","65","349529","0.0-65.0","ETHAN","TEST","","","","","4993","key"," "," ","7.4160698365527695","500","250","zol","0.27","2","0.33","-5","26",""
"","psychophysics","66","354451","0.0-66.0","ETHAN","TEST","","","","","4922","key"," "," ","7.401450301204855","500","250","zol","0.18000000000000013","2","-0.68","-15","2",""
"","psychophysics","67","364208","0.0-67.0","ETHAN","TEST","","","","","9756","key"," "," ","7.4391060259344055","500","250","zol","-0.22000000000000017","2","0.22","-5","7",""
"","psychophysics","68","369118","0.0-68.0","ETHAN","TEST","","","","","4909","key"," "," ","7.42524848484847","500","250","zol","-0.10000000000000003","2","-0.2","14","-8",""
"","psychophysics","69","371670","0.0-69.0","ETHAN","TEST","","","","","2551","key"," "," ","7.440516129032131","500","250","zol","-0.07999999999999996","2","0.28","16","10",""
"","psychophysics","70","374502","0.0-70.0","ETHAN","TEST","","","","","2831","key"," "," ","7.406217277487033","500","250","zol","-0.08999999999999997","2","-0.11","-18","-4",""
"","psychophysics","71","380555","0.0-71.0","ETHAN","TEST","","","","","6052","key"," "," ","7.402790441176501","500","250","zol","-0.06","2","-0.04","5","12",""
"","psychophysics","72","385215","0.0-72.0","ETHAN","TEST","","","","","4659","key"," "," ","7.3692468354430405","500","250","zol","-0.03","2","-0.47","10","-25",""
"","psychophysics","73","389910","0.0-73.0","ETHAN","TEST","","","","","4694","key"," "," ","7.401515007898962","500","250","zol","0.39","2","0.31","3","12",""
"","psychophysics","74","393340","0.0-74.0","ETHAN","TEST","","","","","3428","key"," "," ","7.466189542483596","500","250","zol","-0.13","2","0.03","26","-14",""
"","psychophysics","75","393982","0.0-75.0","ETHAN","TEST","","","","","642","key"," "," ","7.44192941176486","500","250","inst","","","","","",""
"","psychophysics","76","395209","0.0-76.0","ETHAN","TEST","","","","","1226","key"," "," ","7.3700180722892155","500","250","instBr0","NaN","","0","0","0","300"
"","psychophysics","77","396404","0.0-77.0","ETHAN","TEST","","","","","1193","key"," "," ","7.43219496855335","500","250","instBr1","NaN","","-40","0","0","300"
