pid task resp start version parA rt time_elapsed
5f79809ea692be01b666c74a zol 0.48 -0.58 1 NA null 136641
5f79809ea692be01b666c74a zol 0.39 -0.39 1 NA 130 136774
5f79809ea692be01b666c74a zol 0.47 -0.57 1 NA 7306 144083
5f79809ea692be01b666c74a zol 0.14 0.06 1 NA 6042 150128
5f79809ea692be01b666c74a zol 0.2 -0.4 1 NA 5212 155345
5f79809ea692be01b666c74a zol 0.14 -0.44 1 NA 7435 162783
5f79809ea692be01b666c74a zol 0.11 0.39 1 NA 5306 168091
5f79809ea692be01b666c74a zol 1.06 0.44 1 NA null 176094
5f79809ea692be01b666c74a zol 0.29 -0.59 1 NA 6356 182452
5f79809ea692be01b666c74a zol -0.17 0.57 1 NA 3223 185678
5f79809ea692be01b666c74a zol -0.21 0.61 1 NA 5267 190949
5f79809ea692be01b666c74a zol 0.34 0.16 1 NA 5783 196736
5f79809ea692be01b666c74a zol -0.05 0.45 1 NA 5753 202491
5f79809ea692be01b666c74a zol 0.26 0.24 1 NA 4723 207217
5f79809ea692be01b666c74a zol 0.22 -0.42 1 NA null 215220
5f79809ea692be01b666c74a br 26 43 2 262 5078 245247
5f79809ea692be01b666c74a br 18 -3 2 270 5650 250899
5f79809ea692be01b666c74a br 23 41 2 268 7265 258166
5f79809ea692be01b666c74a br 20 -43 2 295 7186 265354
5f79809ea692be01b666c74a br 20 3 2 229 4060 269416
5f79809ea692be01b666c74a br 12 -22 2 243 5932 275350
5f79809ea692be01b666c74a br 15 -3 2 224 4448 279801
5f79809ea692be01b666c74a br 21 13 2 269 4903 284705
5f79809ea692be01b666c74a br 22 22 2 214 3764 288472
5f79809ea692be01b666c74a br 17 -7 2 284 6600 295074
5f79809ea692be01b666c74a br 15 -21 2 268 null 303075
5f79809ea692be01b666c74a br 14 -22 2 265 4483 307560
5f79809ea692be01b666c74a br 15 -3 2 242 5709 313273
5f79809ea692be01b666c74a br 26 29 2 293 5124 318399
5f79809ea692be01b666c74a br 24 37 2 267 7059 325460
5f79809ea692be01b666c74a eb 34 45 1 26 6573 377117
5f79809ea692be01b666c74a eb 30 35 1 24 5443 382563
5f79809ea692be01b666c74a eb 49 44 1 46 null 390566
5f79809ea692be01b666c74a eb 48 48 1 43 1617 392185
5f79809ea692be01b666c74a eb 47 42 1 46 5571 397758
5f79809ea692be01b666c74a eb 40 40 1 35 5082 402842
5f79809ea692be01b666c74a eb 56 40 1 52 5998 408842
5f79809ea692be01b666c74a eb 46 50 1 42 4001 412845
5f79809ea692be01b666c74a eb 43 27 1 41 null 420847
5f79809ea692be01b666c74a eb 39 28 1 32 5667 426517
5f79809ea692be01b666c74a eb 46 43 1 42 3925 430444
5f79809ea692be01b666c74a eb 39 39 1 34 5708 436155
5f79809ea692be01b666c74a eb 27 40 1 24 4919 441077
5f79809ea692be01b666c74a eb 43 52 1 37 5330 446409
5f79809ea692be01b666c74a eb 32 53 1 27 6578 452990
5f79809ea692be01b666c74a pog 153 209 1 129 6700 498728
5f79809ea692be01b666c74a pog 142 138 1 123 7080 505811
5f79809ea692be01b666c74a pog 151 197 1 132 5976 511789
5f79809ea692be01b666c74a pog 178 134 1 163 null 519793
5f79809ea692be01b666c74a pog 181 103 1 163 4053 523847
5f79809ea692be01b666c74a pog 200 118 1 184 5117 528966
5f79809ea692be01b666c74a pog 202 170 1 196 7657 536624
5f79809ea692be01b666c74a pog 166 202 1 135 5621 542247
5f79809ea692be01b666c74a pog 144 110 1 124 null 550250
5f79809ea692be01b666c74a pog 165 185 1 152 5899 556152
5f79809ea692be01b666c74a pog 182 166 1 166 3682 559835
5f79809ea692be01b666c74a pog 203 205 1 181 3382 563219
5f79809ea692be01b666c74a pog 175 205 1 155 5108 568329
5f79809ea692be01b666c74a pog 129 117 1 124 null 576331
5f79809ea692be01b666c74a pog 172 212 1 157 4776 581109
5f79809ea692be01b666c74a pz 18 21 2 21 3615 621289
5f79809ea692be01b666c74a pz 28 28 2 40 2808 624099
5f79809ea692be01b666c74a pz 28 21 2 42 4411 628512
5f79809ea692be01b666c74a pz 15 43 2 20 5016 633531
5f79809ea692be01b666c74a pz 30 20 2 49 5641 639173
5f79809ea692be01b666c74a pz 37 47 2 44 6369 645545
5f79809ea692be01b666c74a pz 42 46 2 51 3599 649147
5f79809ea692be01b666c74a pz 27 30 2 30 4733 653883
5f79809ea692be01b666c74a pz 47 48 2 58 4009 657893
5f79809ea692be01b666c74a pz 39 39 2 48 4689 662584
5f79809ea692be01b666c74a pz 37 53 2 44 5939 668526
5f79809ea692be01b666c74a pz 33 25 2 41 4188 672715
5f79809ea692be01b666c74a pz 25 39 2 27 6254 678971
5f79809ea692be01b666c74a pz 26 39 2 30 5329 684302
5f79809ea692be01b666c74a pz 22 38 2 25 6326 690629
5f79809ea692be01b666c74a eb 39 53 2 28 6019 713935
5f79809ea692be01b666c74a eb 28 38 2 24 4738 718674
5f79809ea692be01b666c74a eb 53 35 2 46 4134 722810
5f79809ea692be01b666c74a eb 26 38 2 24 4089 726901
5f79809ea692be01b666c74a eb 55 32 2 50 6054 732957
5f79809ea692be01b666c74a eb 38 34 2 32 4636 737595
5f79809ea692be01b666c74a eb 39 37 2 36 2870 740469
5f79809ea692be01b666c74a eb 33 32 2 31 2878 743349
5f79809ea692be01b666c74a eb 43 32 2 39 6574 749925
5f79809ea692be01b666c74a eb 42 36 2 38 3379 753306
5f79809ea692be01b666c74a eb 53 38 2 47 5851 759159
5f79809ea692be01b666c74a eb 35 29 2 31 5699 764859
5f79809ea692be01b666c74a eb 42 30 2 38 5848 770709
5f79809ea692be01b666c74a eb 40 46 2 33 3420 774131
5f79809ea692be01b666c74a eb 45 45 2 43 3074 777206
5f79809ea692be01b666c74a pz 31 33 1 20 3746 792473
5f79809ea692be01b666c74a pz 32 51 1 23 7940 800414
5f79809ea692be01b666c74a pz 49 38 1 36 7078 807494
5f79809ea692be01b666c74a pz 63 49 1 50 3864 811362
5f79809ea692be01b666c74a pz 62 57 1 53 3463 814828
5f79809ea692be01b666c74a pz 55 59 1 40 4226 819056
5f79809ea692be01b666c74a pz 28 27 1 24 3360 822418
5f79809ea692be01b666c74a pz 52 37 1 40 4605 827025
