"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","version","jitterX","jitterY","parA"
"true","fullscreen","0","5743","0.0-0.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","","","","","","","","","","","","","","",""
"true","preload","1","6674","0.0-1.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","10756","0.0-2.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4081","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","21930","0.0-3.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","11157",""," ","key"," ","16.681137724550897","720","250","","","","","","",""
"","psychophysics","4","28450","0.0-4.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","6445",""," ","key"," ","16.7680412371134","500","250","inst","","","","","",""
"","psychophysics","5","36797","0.0-5.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","8327",""," ","key"," ","16.64071856287425","500","250","sample0","","","","","",""
"","psychophysics","6","39511","0.0-6.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2706",""," ","key"," ","16.558282208588956","500","250","sample1","","","","","",""
"","psychophysics","7","53680","0.0-7.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","14164",""," ","key"," ","16.654117647058822","500","250","sample2","100","","","","",""
"","psychophysics","8","64045","0.0-8.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","10361",""," ","key"," ","16.64790996784566","500","250","sample3","98","","","","",""
"","psychophysics","9","82335","0.0-9.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","18287",""," ","key"," ","16.659070191431177","500","250","sample4","102","","","","",""
"","psychophysics","10","92230","0.0-10.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","9891",""," ","key"," ","16.63804713804714","500","250","sample5","","","","","",""
"","psychophysics","11","106181","0.0-11.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","13947",""," ","key"," ","16.632458233890215","500","250","sample6","498","","","","",""
"","psychophysics","12","114518","0.0-12.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","8333",""," ","key"," ","16.64","500","250","inst","","","","","",""
"","psychophysics","13","121179","0.0-13.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","6658",""," ","key"," ","16.6225","500","250","inst","","","","","",""
"","psychophysics","14","125897","0.0-14.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4711",""," ","key"," ","16.62897526501767","500","250","inst","","","","","",""
"","psychophysics","15","131821","0.0-15.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5913",""," ","key"," ","16.63943661971831","500","250","inst","","","","","",""
"","psychophysics","16","135539","0.0-16.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3711",""," ","key"," ","16.62780269058296","500","250","inst","","","","","",""
"","psychophysics","17","138090","0.0-17.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2546",""," ","key"," ","16.627450980392158","500","250","instEB0","40","40","","0","0","40"
"","psychophysics","18","149347","0.0-18.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","11244",""," ","key"," ","16.659259259259258","500","250","instEB1","68","30","2","0","0","70"
"","psychophysics","19","161081","0.0-19.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","11729",""," ","key"," ","16.65625","500","250","instEB2","41","60","2","0","0","40"
"","psychophysics","20","172758","0.0-20.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","11672",""," ","key"," ","16.65714285714286","500","250","instEB3","68","45","2","0","0","65"
"","psychophysics","21","189186","0.0-21.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","16421",""," ","key"," ","16.649087221095336","500","250","instEB4","45","40","2","0","0","40"
