"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","jitterX","jitterY","start","parA"
"true","fullscreen","0","2423","0.0-0.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2522","0.0-1.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","4441","0.0-2.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","1918","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","10759","0.0-3.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","6311",""," ","key"," ","16.66632981530343","960","250","","","","","","",""
"","psychophysics","4","14497","0.0-4.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","3730",""," ","key"," ","16.66858035714286","500","250","inst","","","","","",""
"","psychophysics","5","16953","0.0-5.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","2454",""," ","key"," ","16.669787671232868","500","250","sample0","","","","","",""
"","psychophysics","6","19802","0.0-6.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","2847",""," ","key"," ","16.667635294117666","500","250","sample1","","","","","",""
"","psychophysics","7","32132","0.0-7.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","12328",""," ","key"," ","16.69053116531165","500","250","sample2","100","","","","",""
"","psychophysics","8","36106","0.0-8.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","3971",""," ","key"," ","16.667586497890298","500","250","sample3","150","","","","",""
"","psychophysics","9","47714","0.0-9.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","11606",""," ","key"," ","16.66763649425288","500","250","sample4","102","","","","",""
"","psychophysics","10","56598","0.0-10.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","8881",""," ","key"," ","16.666731203007522","500","250","sample5","","","","","",""
"","psychophysics","11","65742","0.0-11.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","9142",""," ","key"," ","16.668491773308947","500","250","sample6","500","","","","",""
"","psychophysics","12","71209","0.0-12.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","5465",""," ","key"," ","16.667608562691147","500","250","inst","","","","","",""
"","psychophysics","13","73568","0.0-13.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","2358",""," ","key"," ","16.789249999999967","500","250","inst","","","","","",""
"","psychophysics","14","77963","0.0-14.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","4394",""," ","key"," ","16.6676030534351","500","250","inst","","","","","",""
"","psychophysics","15","80958","0.0-15.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","2991",""," ","key"," ","16.66750279329605","500","250","inst","","","","","",""
"","psychophysics","16","82292","0.0-16.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","1332",""," ","key"," ","16.671101265822692","500","250","inst","","","","","",""
"","psychophysics","17","84254","0.0-17.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","1960",""," ","key"," ","16.67021367521362","500","250","instBr0","0","","0","0","0","300"
"","psychophysics","18","92541","0.0-18.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","8284",""," ","key"," ","16.66713508064517","500","250","instBr1","-3","","0","0","-40","300"
"","psychophysics","19","101581","0.0-19.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","9038",""," ","key"," ","16.667706099815142","500","250","instBr3","-14","1","0","0","40","300"
"","psychophysics","20","103195","0.0-20.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","1613",""," ","key"," ","16.667500000000018","500","250","inst","","","","","",""
"","psychophysics","21","107260","0.0-21.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","4061",""," ","key"," ","16.66764609053503","500","250","br","-8","1","-19","25","1","261"
"","psychophysics","22","111235","0.0-22.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","3972",""," ","key"," ","16.669134453781457","500","250","br","-9","1","-2","-29","10","231"
"","psychophysics","23","113649","0.0-23.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","2411",""," ","key"," ","16.670139860139873","500","250","br","-10","1","-12","-10","-8","265"
"","psychophysics","24","120807","0.0-24.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","7155",""," ","key"," ","16.668573426573424","500","250","br","-8","1","-20","10","0","285"
"","psychophysics","25","126020","0.0-25.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","5211",""," ","key"," ","16.668128205128223","500","250","br","-12","1","-8","15","-17","243"
"","psychophysics","26","130292","0.0-26.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","4269",""," ","key"," ","16.732866141732345","500","250","br","-9","1","4","28","-26","206"
"","psychophysics","27","138029","0.0-27.0","559ef308fdf99b2616ff2a4f","64dbbfbd39c0fc92dcdd5e26","","","","","7735",""," ","key"," ","16.667241900647927","500","250","br","-10","1","17","2","17","217"
