"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","version","jitterX","jitterY","parA"
"true","fullscreen","0","3708","0.0-0.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3793","0.0-1.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","5920","0.0-2.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2126","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","13107","0.0-3.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7184",""," ","key"," ","16.65260324825986","683","250","","","","","","",""
"","psychophysics","4","16480","0.0-4.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3372",""," ","key"," ","16.6510495049505","500","250","inst","","","","","",""
"","psychophysics","5","22052","0.0-5.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5571",""," ","key"," ","16.650251497005993","500","250","sample0","","","","","",""
"","psychophysics","6","24904","0.0-6.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2851",""," ","key"," ","16.651758823529427","500","250","sample1","","","","","",""
"","psychophysics","7","37903","0.0-7.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","12998",""," ","key"," ","16.650930769230772","500","250","sample2","102","","","","",""
"","psychophysics","8","44902","0.0-8.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6997",""," ","key"," ","16.649675417661097","500","250","sample3","102","","","","",""
"","psychophysics","9","58469","0.0-9.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","13568",""," ","key"," ","16.65042260442261","500","250","sample4","102","","","","",""
"","psychophysics","10","63934","0.0-10.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5464",""," ","key"," ","16.650688073394498","500","250","sample5","","","","","",""
"","psychophysics","11","75134","0.0-11.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","11199",""," ","key"," ","16.65082291666666","500","250","sample6","500","","","","",""
"","psychophysics","12","80160","0.0-12.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5024",""," ","key"," ","16.651000000000003","500","250","inst","","","","","",""
"","psychophysics","13","86330","0.0-13.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6169",""," ","key"," ","16.650132791327888","500","250","inst","","","","","",""
"","psychophysics","14","90335","0.0-14.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4004",""," ","key"," ","16.650537500000002","500","250","inst","","","","","",""
"","psychophysics","15","92307","0.0-15.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1970",""," ","key"," ","16.651282051282028","500","250","inst","","","","","",""
"","psychophysics","16","94790","0.0-16.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2483",""," ","key"," ","16.65196621621618","500","250","inst","","","","","",""
"","psychophysics","17","97876","0.0-17.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3085",""," ","key"," ","16.650508108108095","500","250","instEB0","40","40","","0","0","40"
"","psychophysics","18","106145","0.0-18.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","8268",""," ","key"," ","16.650026262626277","500","250","instEB1","71","30","1","0","0","70"
"","psychophysics","19","117271","0.0-19.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","11124",""," ","key"," ","16.650976011993983","500","250","instEB2","47","60","1","0","0","40"
"","psychophysics","20","133976","0.0-20.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","16704",""," ","key"," ","16.650378863409774","500","250","instEB3","68","45","1","0","0","65"
"","psychophysics","21","145823","0.0-21.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","11846",""," ","key"," ","16.65011830985916","500","250","instEB4","46","40","1","0","0","40"
"","psychophysics","22","148724","0.0-22.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2900",""," ","key"," ","16.650161849710997","500","250","inst","","","","","",""
"","psychophysics","23","156539","0.0-23.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7813",""," ","key"," ","16.650266524520205","500","250","eb","49","39","1","0","0","39"
"","psychophysics","24","161029","0.0-24.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4489",""," ","key"," ","16.650026119402966","500","250","eb","43","36","1","0","0","36"
"","psychophysics","25","166337","0.0-25.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5306",""," ","key"," ","16.650465408805026","500","250","eb","53","38","1","0","0","47"
"","psychophysics","26","170640","0.0-26.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4301",""," ","key"," ","16.651441860465173","500","250","eb","59","25","1","0","0","54"
"","psychophysics","27","175359","0.0-27.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4718",""," ","key"," ","16.650581560283715","500","250","eb","45","34","1","0","0","43"
"","psychophysics","28","180277","0.0-28.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4916",""," ","key"," ","16.651333333333326","500","250","eb","37","31","1","0","0","33"
"","psychophysics","29","183909","0.0-29.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3628",""," ","key"," ","16.651169724770583","500","250","eb","59","54","1","0","0","52"
"","psychophysics","30","189652","0.0-30.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5740",""," ","key"," ","16.65058017492713","500","250","eb","54","33","1","0","0","48"
"","psychophysics","31","197213","0.0-31.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7558",""," ","key"," ","16.650275330396425","500","250","eb","36","44","1","0","0","31"
"","psychophysics","32","201853","0.0-32.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4638",""," ","key"," ","16.650768953068614","500","250","eb","53","48","1","0","0","50"
"","psychophysics","33","209854","0.0-33.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.650454166666652","500","250","eb","55","31","1","0","0","50"
"","psychophysics","34","216645","0.0-34.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6789",""," ","key"," ","16.650461916461875","500","250","eb","47","25","1","0","0","42"
"","psychophysics","35","220120","0.0-35.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3473",""," ","key"," ","16.65034782608697","500","250","eb","57","31","1","0","0","52"
"","psychophysics","36","223592","0.0-36.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3471",""," ","key"," ","16.65058173076921","500","250","eb","54","42","1","0","0","48"
"","psychophysics","37","228854","0.0-37.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5261",""," ","key"," ","16.651266666666682","500","250","eb","34","25","1","0","0","32"
"","psychophysics","38","232394","0.0-38.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3539",""," ","key"," ","16.650655660377282","500","250","inst","","","","","",""
"","psychophysics","39","235006","0.0-39.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2609",""," ","key"," ","16.651851612903297","500","250","instPzPre","50","50","0","","","50"
"","psychophysics","40","238625","0.0-40.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3618",""," ","key"," ","16.65194470046087","500","250","instPz0","50","50","2","","","50"
"","psychophysics","41","247107","0.0-41.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","8481",""," ","key"," ","16.650822834645645","500","250","instPz1","38","25","2","","","50"
"","psychophysics","42","254553","0.0-42.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7445",""," ","key"," ","16.65052466367711","500","250","instPz2","26","20","2","","","35"
"","psychophysics","43","264705","0.0-43.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","10146",""," ","key"," ","16.650311986863723","500","250","instPz3","30","30","2","","","100"
"","psychophysics","44","277674","0.0-44.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","12968",""," ","key"," ","16.65066966580972","500","250","instPz4","45","30","2","","","100"
"","psychophysics","45","279445","0.0-45.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1769",""," ","key"," ","16.65111428571455","500","250","inst","","","","","",""
"","psychophysics","46","287448","0.0-46.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.65051875000002","500","250","pz","23","43","2","","","44"
"","psychophysics","47","292992","0.0-47.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5543",""," ","key"," ","16.6500451807229","500","250","pz","12","58","2","","","22"
"","psychophysics","48","296071","0.0-48.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3079",""," ","key"," ","16.651733695652144","500","250","pz","21","20","2","","","54"
"","psychophysics","49","297465","0.0-49.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1392",""," ","key"," ","16.65079518072293","500","250","pz","25","25","2","","","57"
"","psychophysics","50","305467","0.0-50.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.64994363256792","500","250","pz","17","47","2","","","30"
"","psychophysics","51","305536","0.0-51.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","67",""," ","key"," ","16.640666666673496","500","250","pz","39","39","2","","","33"
"","psychophysics","52","309744","0.0-52.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4206",""," ","key"," ","16.650670634920566","500","250","pz","16","59","2","","","25"
"","psychophysics","53","314688","0.0-53.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4943",""," ","key"," ","16.650520270270285","500","250","pz","12","29","2","","","22"
"","psychophysics","54","318923","0.0-54.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4234",""," ","key"," ","16.65106324110665","500","250","pz","26","54","2","","","54"
"","psychophysics","55","321764","0.0-55.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2836",""," ","key"," ","16.65183529411785","500","250","pz","25","34","2","","","56"
"","psychophysics","56","326386","0.0-56.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4620",""," ","key"," ","16.649346570397135","500","250","pz","25","38","2","","","55"
"","psychophysics","57","328518","0.0-57.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2130",""," ","key"," ","16.651023622047187","500","250","pz","25","25","2","","","60"
"","psychophysics","58","336519","0.0-58.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.650482254697298","500","250","pz","21","59","2","","","52"
"","psychophysics","59","336572","0.0-59.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","52",""," ","key"," ","16.63200000001234","500","250","pz","23","23","2","","","30"
"","psychophysics","60","340912","0.0-60.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4339",""," ","key"," ","16.650592307692232","500","250","pz","24","21","2","","","57"
"","psychophysics","61","342224","0.0-61.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1311",""," ","key"," ","16.64950000000028","500","250","inst","","","","","",""
"","psychophysics","62","354238","0.0-62.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","12012",""," ","key"," ","16.65049305555561","500","250","instPog0","160","190","1","0","0","160"
"","psychophysics","63","366631","0.0-63.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","12392",""," ","key"," ","16.650736559139844","500","250","instPog1","172","190","1","0","0","160"
"","psychophysics","64","374540","0.0-64.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7908",""," ","key"," ","16.650483122362804","500","250","instPog2","180","160","1","0","0","160"
"","psychophysics","65","375445","0.0-65.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","904",""," ","key"," ","16.653433962263836","500","250","inst","","","","","",""
"","psychophysics","66","380467","0.0-66.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5020",""," ","key"," ","16.649936877076392","500","250","pog","202","208","1","0","0","180"
"","psychophysics","67","386388","0.0-67.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5920",""," ","key"," ","16.64920621468915","500","250","pog","221","135","1","0","0","193"
"","psychophysics","68","392366","0.0-68.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5977",""," ","key"," ","16.650963687150792","500","250","pog","163","193","1","0","0","136"
"","psychophysics","69","394368","0.0-69.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2001",""," ","key"," ","16.652613445378336","500","250","pog","201","201","1","0","0","179"
"","psychophysics","70","402370","0.0-70.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.650072916666613","500","250","pog","195","135","1","0","0","171"
"","psychophysics","71","402523","0.0-71.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","151",""," ","key"," ","16.65725000000384","500","250","pog","218","218","1","0","0","197"
"","psychophysics","72","406420","0.0-72.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3897",""," ","key"," ","16.650781115879756","500","250","pog","220","130","1","0","0","199"
"","psychophysics","73","411151","0.0-73.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4730",""," ","key"," ","16.651148409894077","500","250","pog","153","121","1","0","0","142"
"","psychophysics","74","415313","0.0-74.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4158",""," ","key"," ","16.65126506024088","500","250","pog","177","161","1","0","0","163"
"","psychophysics","75","421274","0.0-75.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5957",""," ","key"," ","16.650495798319202","500","250","pog","139","127","1","0","0","124"
"","psychophysics","76","426645","0.0-76.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5368",""," ","key"," ","16.65008074534162","500","250","pog","197","169","1","0","0","175"
"","psychophysics","77","432066","0.0-77.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5420",""," ","key"," ","16.650756923077054","500","250","pog","206","152","1","0","0","179"
"","psychophysics","78","436947","0.0-78.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4880",""," ","key"," ","16.65092465753407","500","250","pog","213","199","1","0","0","193"
"","psychophysics","79","444949","0.0-79.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.82671940928268","500","250","pog","203","203","1","0","0","167"
"","psychophysics","80","451243","0.0-80.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6292",""," ","key"," ","16.650549071618148","500","250","pog","203","145","1","0","0","175"
"","psychophysics","81","452596","0.0-81.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1351",""," ","key"," ","16.651374999999824","500","250","inst","","","","","",""
"","psychophysics","82","462633","0.0-82.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","10035",""," ","key"," ","16.65027574750833","500","250","instZol0","0","0","","0","0",""
"","psychophysics","83","477397","0.0-83.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","14764",""," ","key"," ","16.650378103837458","500","250","instZol1","2.7755575615628914e-17","-1.3","","0","0",""
"","psychophysics","84","492166","0.0-84.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","14767",""," ","key"," ","16.650318284424348","500","250","instZol2","-1.4999999999999996","2","2","0","0",""
"","psychophysics","85","493319","0.0-85.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1152",""," ","key"," ","16.65111764705901","500","250","inst","","","","","",""
"","psychophysics","86","500444","0.0-86.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7122",""," ","key"," ","16.65140983606558","500","250","zol","-1.3200000000000003","0.22","2","16","-25",""
"","psychophysics","87","504981","0.0-87.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4535",""," ","key"," ","16.651036764705864","500","250","zol","-1.4600000000000002","-0.14","2","-15","-9",""
"","psychophysics","88","512986","0.0-88.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.650043841336085","500","250","zol","-0.08000000000000002","-0.02","2","20","16",""
"","psychophysics","89","520534","0.0-89.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7545",""," ","key"," ","16.651059602648992","500","250","zol","-0.6499999999999999","-0.05","2","7","-17",""
"","psychophysics","90","528536","0.0-90.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.64984968684746","500","250","zol","-1.01","-0.19","2","11","-24",""
"","psychophysics","91","536539","0.0-91.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.650639583333152","500","250","zol","0.11000000000000004","0.29","2","0","-5",""
"","psychophysics","92","542436","0.0-92.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5896",""," ","key"," ","16.650838526912302","500","250","zol","-0.8699999999999999","-0.23","2","-3","6",""
"","psychophysics","93","545134","0.0-93.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2696",""," ","key"," ","16.650776397515674","500","250","zol","-0.7","0.7","2","-19","-17",""
"","psychophysics","94","552206","0.0-94.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7070",""," ","key"," ","16.651259433962174","500","250","zol","-0.8499999999999999","0.55","2","21","16",""
"","psychophysics","95","560208","0.0-95.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.684937369519997","500","250","zol","-1.27","-0.03","2","-23","-3",""
"","psychophysics","96","565159","0.0-96.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4948",""," ","key"," ","16.6512364864863","500","250","zol","-1.7400000000000004","0.24","2","-16","-28",""
"","psychophysics","97","567939","0.0-97.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","2778",""," ","key"," ","16.65101204819259","500","250","zol","-0.9899999999999999","0.39","2","27","13",""
"","psychophysics","98","572572","0.0-98.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4631",""," ","key"," ","16.650184115523555","500","250","zol","-1.8300000000000007","0.23","2","1","-29",""
"","psychophysics","99","579651","0.0-99.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7077",""," ","key"," ","16.651764150943393","500","250","zol","-1.4800000000000002","-0.62","2","-17","17",""
"","psychophysics","100","585618","0.0-100.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5959",""," ","key"," ","16.651078212290532","500","250","zol","-1.3400000000000003","-0.46","2","2","13",""
"","psychophysics","101","586867","0.0-101.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1249",""," ","key"," ","16.646243243243834","500","250","inst","","","","","",""
"","psychophysics","102","588759","0.0-102.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1888",""," ","key"," ","16.648607142856886","500","250","instBr0","0","0","","0","0","300"
"","psychophysics","103","599061","0.0-103.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","10301",""," ","key"," ","16.67734035656401","500","250","instBr1","-3","-40","","0","0","300"
"","psychophysics","104","605548","0.0-104.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6485",""," ","key"," ","16.650758354755833","500","250","instBr3","25","40","2","0","0","300"
"","psychophysics","105","606433","0.0-105.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","883",""," ","key"," ","16.648365384614756","500","250","inst","","","","","",""
"","psychophysics","106","611798","0.0-106.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5363",""," ","key"," ","16.65129906542032","500","250","br","21","15","2","-7","23","288"
"","psychophysics","107","617603","0.0-107.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5803",""," ","key"," ","16.65079022988499","500","250","br","18","29","2","-27","30","276"
"","psychophysics","108","622918","0.0-108.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5314",""," ","key"," ","16.651355345912112","500","250","br","17","9","2","-23","-18","204"
"","psychophysics","109","626628","0.0-109.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3707",""," ","key"," ","16.649328828828622","500","250","br","19","25","2","-16","-2","242"
"","psychophysics","110","631112","0.0-110.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4482",""," ","key"," ","16.64952985074635","500","250","br","14","-12","2","-22","-15","284"
