"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","version","parA"
"true","fullscreen","0","4031","0.0-0.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4247","0.0-1.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","6972","0.0-2.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2724","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","15969","0.0-3.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","8992",""," ","key"," ","16.636363636363637","720","250","","","","","","",""
"","psychophysics","4","19046","0.0-4.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3073",""," ","key"," ","16.641304347826086","500","250","inst","","","","","",""
"","psychophysics","5","23541","0.0-5.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4491",""," ","key"," ","16.66542750929368","500","250","sample0","","","","","",""
"","psychophysics","6","26186","0.0-6.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2639",""," ","key"," ","16.670886075949365","500","250","sample1","","","","","",""
"","psychophysics","7","39705","0.0-7.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","13516",""," ","key"," ","16.6679012345679","500","250","sample2","98","","","","",""
"","psychophysics","8","45881","0.0-8.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","6172",""," ","key"," ","16.66937669376694","500","250","sample3","106","","","","",""
"","psychophysics","9","58633","0.0-9.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","12747",""," ","key"," ","16.666230366492147","500","250","sample4","102","","","","",""
"","psychophysics","10","63604","0.0-10.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4968",""," ","key"," ","16.661073825503355","500","250","sample5","","","","","",""
"","psychophysics","11","78259","0.0-11.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","14651",""," ","key"," ","16.667425968109338","500","250","sample6","500","","","","",""
"","psychophysics","12","84963","0.0-12.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","6700",""," ","key"," ","16.668329177057355","500","250","inst","","","","","",""
"","psychophysics","13","91565","0.0-13.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","6597",""," ","key"," ","16.668354430379747","500","250","inst","","","","","",""
"","psychophysics","14","95291","0.0-14.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3722",""," ","key"," ","16.659192825112108","500","250","inst","","","","","",""
"","psychophysics","15","97521","0.0-15.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2226",""," ","key"," ","16.669172932330827","500","250","inst","","","","","",""
"","psychophysics","16","99121","0.0-16.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1598",""," ","key"," ","16.673684210526314","500","250","inst","","","","","",""
"","psychophysics","17","103182","0.0-17.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4056",""," ","key"," ","16.669421487603305","500","250","instZol0","0","0","0","0","",""
