"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","jitterX","jitterY"
"true","fullscreen","0","67502","0.0-0.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","","","","","","","","","","","","","","",""
"true","preload","1","67585","0.0-1.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","69653","0.0-2.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","2067","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","78909","0.0-3.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","9248",""," ","key"," ","16.66243243243242","683","250","","","","","","",""
"","psychophysics","4","85481","0.0-4.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","6561",""," ","key"," ","16.662439086294388","500","250","inst","","","","","",""
"","psychophysics","5","98381","0.0-5.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","12897",""," ","key"," ","16.662310478654593","500","250","sample0","","","","","",""
"","psychophysics","6","101939","0.0-6.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","3555",""," ","key"," ","16.66217840375591","500","250","sample1","","","","","",""
"","psychophysics","7","129612","0.0-7.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","27668",""," ","key"," ","16.662297166968056","500","250","sample2","120","","","","",""
"","psychophysics","8","143780","0.0-8.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","14160",""," ","key"," ","16.662434117647063","500","250","sample3","98","","","","",""
"","psychophysics","9","163635","0.0-9.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","19854",""," ","key"," ","16.662206722689085","500","250","sample4","100","","","","",""
"","psychophysics","10","172078","0.0-10.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","8434",""," ","key"," ","16.662326086956497","500","250","sample5","","","","","",""
"","psychophysics","11","185961","0.0-11.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","13881",""," ","key"," ","16.66231730769232","500","250","sample6","502","","","","",""
"","psychophysics","12","200048","0.0-12.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","14081",""," ","key"," ","16.66224615384615","500","250","inst","","","","","",""
"","psychophysics","13","211644","0.0-13.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","11594",""," ","key"," ","16.686135446685856","500","250","inst","","","","","",""
"","psychophysics","14","231046","0.0-14.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","19400",""," ","key"," ","16.66235597592434","500","250","inst","","","","","",""
"","psychophysics","15","251458","0.0-15.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","20410",""," ","key"," ","16.662237745098036","500","250","inst","","","","","",""
"","psychophysics","16","254487","0.0-16.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","3026",""," ","key"," ","16.662839779005616","500","250","inst","","","","","",""
"","psychophysics","17","262534","0.0-17.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","8044",""," ","key"," ","16.662232365145222","500","250","instPzPre","50","50","50","0","",""
"","psychophysics","18","277002","0.0-18.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","14464",""," ","key"," ","16.662381776239947","500","250","instPz0","45","50","50","2","",""
"","psychophysics","19","293608","0.0-19.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","16598",""," ","key"," ","16.662272088353376","500","250","instPz1","45","25","50","2","",""
"","psychophysics","20","306177","0.0-20.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","12568",""," ","key"," ","16.662132802124848","500","250","instPz2","34","20","35","2","",""
"","psychophysics","21","318810","0.0-21.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","12629",""," ","key"," ","16.66251519154554","500","250","instPz3","30","30","100","2","",""
"","psychophysics","22","336368","0.0-22.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","17551",""," ","key"," ","16.66249097815765","500","250","instPz4","79","30","100","2","",""
"","psychophysics","23","343013","0.0-23.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","6644",""," ","key"," ","16.662711055276432","500","250","inst","","","","","",""
"","psychophysics","24","351019","0.0-24.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","null","","null","key","null","16.66218580375778","500","250","pz","20","34","26","2","",""
"","psychophysics","25","351105","0.0-25.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","83",""," ","key"," ","16.69220000000205","500","250","pz","22","22","48","2","",""
"","psychophysics","26","359107","0.0-26.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","null","","null","key","null","16.662150313152367","500","250","pz","15","48","20","2","",""
"","psychophysics","27","363564","0.0-27.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","4453",""," ","key"," ","16.6625112781955","500","250","pz","35","45","50","2","",""
"","psychophysics","28","368053","0.0-28.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","4486",""," ","key"," ","16.662646840148618","500","250","pz","26","21","35","2","",""
"","psychophysics","29","373488","0.0-29.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","5433",""," ","key"," ","16.662116923076997","500","250","pz","37","44","49","2","",""
"","psychophysics","30","378662","0.0-30.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","5170",""," ","key"," ","16.662411003236237","500","250","pz","43","52","56","2","",""
"","psychophysics","31","385474","0.0-31.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","6805",""," ","key"," ","16.662137254901964","500","250","pz","24","46","27","2","",""
"","psychophysics","32","391301","0.0-32.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","5819",""," ","key"," ","16.662134670487","500","250","pz","30","48","37","2","",""
"","psychophysics","33","397404","0.0-33.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","6099",""," ","key"," ","16.662361643835744","500","250","pz","36","31","45","2","",""
"","psychophysics","34","404950","0.0-34.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","7540",""," ","key"," ","16.662371681415912","500","250","pz","47","53","59","2","",""
"","psychophysics","35","408924","0.0-35.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","3965",""," ","key"," ","16.661680672269075","500","250","pz","46","53","50","2","",""
"","psychophysics","36","415425","0.0-36.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","6499",""," ","key"," ","16.662380462724855","500","250","pz","37","52","42","2","",""
"","psychophysics","37","420783","0.0-37.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","5353",""," ","key"," ","16.662312500000006","500","250","pz","22","27","23","2","",""
"","psychophysics","38","428789","0.0-38.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","null","","null","key","null","16.662356249999963","500","250","pz","35","50","43","2","",""
"","psychophysics","39","442567","0.0-39.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","13775",""," ","key"," ","16.66205932203387","500","250","inst","","","","","",""
"","psychophysics","40","447719","0.0-40.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","5151",""," ","key"," ","16.66303896103901","500","250","instEB0","40","40","40","","0","0"
"","psychophysics","41","460397","0.0-41.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","12674",""," ","key"," ","16.66224868421054","500","250","instEB1","71","30","70","2","0","0"
"","psychophysics","42","469712","0.0-42.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","9311",""," ","key"," ","16.662320788530486","500","250","instEB2","45","60","40","2","0","0"
"","psychophysics","43","480490","0.0-43.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","10774",""," ","key"," ","16.66208049535608","500","250","instEB3","73","45","65","2","0","0"
"","psychophysics","44","490443","0.0-44.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","9951",""," ","key"," ","16.66204865771813","500","250","instEB4","52","40","40","2","0","0"
"","psychophysics","45","494252","0.0-45.0","64d95acd2edfa61eca0d3cfb","64dbc169d356e8b420712f9a","","","","","3807",""," ","key"," ","16.662131578947434","500","250","inst","","","","","",""
