pid sid task resp start version parA rt time_elapsed block
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -11 14 1 217 null 153501 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 25 25 1 234 248 153753 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -16 20 1 250 6444 160201 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -11 -13 1 251 5289 165497 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -9 -4 1 207 6132 171634 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -10 -11 1 276 6019 177658 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -13 -13 1 245 4793 182457 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -12 -4 1 245 null 190462 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -10 -25 1 252 7214 197682 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -11 16 1 284 6739 204426 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -8 -15 1 220 5233 209666 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -8 -16 1 210 5612 215282 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -12 10 1 232 null 223285 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -22 -22 1 229 0 223290 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br -11 -19 1 222 5500 228793 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 174 182 1 137 4316 271017 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 187 153 1 155 6796 277817 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 207 143 1 177 7122 284946 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 196 120 1 161 null 292948 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 146 146 1 140 265 293217 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 224 140 1 191 6421 299641 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 207 181 1 179 4282 303929 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 171 153 1 142 7636 311569 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 207 187 1 174 4116 315689 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 207 137 1 176 5453 321146 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 182 116 1 156 6139 327289 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 158 124 1 130 5564 332857 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 201 125 1 174 6394 339258 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 224 152 1 194 6034 345297 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pog 212 184 1 189 4437 349738 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 22 27 1 25 4790 402642 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 26 31 1 30 6374 409025 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 24 44 1 25 7376 416410 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 27 48 1 30 6149 422569 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 29 27 1 34 7764 430338 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 49 45 1 51 7102 437450 NA
