"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","block","jitterX","jitterY","start","parA"
"true","fullscreen","0","3105","0.0-0.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3175","0.0-1.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","html-button-response","2","10887","0.0-2.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","7711","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","","",""
"","psychophysics","3","30730","0.0-3.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","19834",""," ","key"," ","16.66640504201681","840","250","","","","","","","",""
"","psychophysics","4","33768","0.0-4.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","3037",""," ","key"," ","16.665999999999997","500","250","inst","","","","","","",""
"","psychophysics","5","39968","0.0-5.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","6197",""," ","key"," ","16.666000000000007","500","250","sample0","","","","","","",""
"","psychophysics","6","42414","0.0-6.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","2445",""," ","key"," ","16.66767808219178","500","250","sample1","","","","","","",""
"","psychophysics","7","60654","0.0-7.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","18238",""," ","key"," ","16.681700549450543","500","250","sample2","100","","","","","",""
"","psychophysics","8","67925","0.0-8.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","7264",""," ","key"," ","16.665999999999997","500","250","sample3","100","","","","","",""
"","psychophysics","9","75708","0.0-9.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","7790",""," ","key"," ","16.66685438972163","500","250","sample4","102","","","","","",""
"","psychophysics","10","79680","0.0-10.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","3973",""," ","key"," ","16.666000000000018","500","250","sample5","","","","","","",""
"","psychophysics","11","92254","0.0-11.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","12578",""," ","key"," ","16.666477453580907","500","250","sample6","502","","","","","",""
"","psychophysics","12","97286","0.0-12.0","6440152a313156f527ef2bd5","64dd6e026369cdd0386f739b","","","","","5032",""," ","key"," ","16.666","500","250","inst","","","","","","",""
